数据库：年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,162787.48	,158507.17	,156065.94	,147013.40	,137782.17	,123967.94	,113579.53	,109331.72	,106478.73	,
农业总产值 (亿元) 	,	,89614.50	,87073.38	,84438.58	,78339.51	,71748.23	,66066.45	,61452.60	,58059.76	,55659.89	,
林业总产值 (亿元) 	,	,7645.16	,7006.08	,6820.83	,6507.70	,5961.58	,5775.71	,5432.61	,4980.55	,4635.90	,
牧业总产值 (亿元) 	,	,38726.49	,38964.60	,40652.36	,39910.83	,40266.67	,33064.35	,28697.40	,29361.19	,30461.17	,
渔业总产值 (亿元) 	,	,16672.45	,16116.19	,15467.98	,14507.27	,12775.86	,12572.40	,12131.51	,11577.09	,10892.92	,
农林牧渔业总产值指数 (上年=100) 	,	,103.8	,104.2	,104.4	,107.9	,103.4	,102.8	,103.5	,104.0	,103.5	,
农业总产值指数 (上年=100) 	,	,104.0	,103.6	,104.0	,104.5	,104.1	,104.6	,103.9	,104.7	,104.2	,
林业总产值指数 (上年=100) 	,	,107.6	,106.2	,105.7	,104.4	,104.3	,105.2	,106.5	,106.9	,108.2	,
牧业总产值指数 (上年=100) 	,	,101.3	,104.5	,104.5	,115.6	,102.0	,97.9	,101.7	,102.1	,101.1	,
渔业总产值指数 (上年=100) 	,	,104.6	,104.5	,103.8	,104.1	,102.2	,102.5	,102.7	,102.8	,102.9	,
农林牧渔业总产值指数 (1952=100) 	,	,	,	,	,	,	,1867.1	,1815.5	,1754.4	,1686.8	,
农业总产值指数 (1952=100) 	,	,	,	,	,	,	,1240.9	,1186.8	,1142.3	,1091.5	,
林业总产值指数 (1952=100) 	,	,	,	,	,	,	,8382.1	,7965.2	,7477.4	,6994.8	,
牧业总产值指数 (1952=100) 	,	,	,	,	,	,	,3708.5	,3788.0	,3725.5	,3647.9	,
渔业总产值指数 (1952=100) 	,	,	,	,	,	,	,33167.4	,32354.8	,31503.5	,30646.3	,
注：1. 根据第三次全国农业普查结果,2007-2017年年度农林牧渔业总产值进行了修订。||2003年以后,农林牧渔业总产值包括农林牧渔服务业产值。
2. 2003年起执行国民经济行业分类标准,总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
3. 2003年以前农林牧渔业总产值指数按1990年不变价格计算,2003年以后按可比价计算。
数据来源：国家统计局
