数据库：年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,173000.08	,171624.47	,169990.92	,168695.13	,167487.14	,165930.66	,165902.38	,166331.91	,166939.04	,
粮食作物播种面积 (千公顷) 	,119410.00	,119319.07	,118968.54	,118332.11	,117630.82	,116768.17	,116063.60	,117038.21	,117989.06	,119230.06	,
夏收粮食播种面积 (千公顷) 	,	,	,	,26530.05	,26437.94	,26172.45	,26354.06	,26702.89	,26863.13	,27054.76	,
秋收粮食播种面积 (千公顷) 	,	,	,	,87046.99	,86458.80	,85845.01	,85259.53	,85543.97	,85984.36	,86865.98	,
谷物播种面积 (千公顷) 	,	,100457.97	,99926.36	,99268.82	,100176.66	,97964.23	,97847.03	,99671.44	,100764.56	,102701.72	,
稻谷播种面积 (千公顷) 	,29010.00	,29006.92	,28949.06	,29450.11	,29921.15	,30075.53	,29693.52	,30189.45	,30747.19	,30745.89	,
早稻播种面积 (千公顷) 	,	,	,	,4755.07	,4734.08	,4750.71	,4450.01	,4791.34	,5141.57	,5309.32	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,19588.67	,20097.36	,20147.33	,20269.37	,20125.30	,20028.12	,19779.91	,
双季晚稻播种面积 (千公顷) 	,	,	,	,5106.36	,5089.71	,5177.49	,4974.14	,5272.81	,5577.50	,5656.67	,
小麦播种面积 (千公顷) 	,23580.00	,23587.35	,23627.25	,23518.46	,23567.06	,23379.99	,23727.68	,24266.19	,24478.15	,24665.78	,
冬小麦播种面积 (千公顷) 	,	,	,	,22341.34	,22408.74	,22157.23	,22374.27	,22740.31	,22895.79	,23078.25	,
春小麦播种面积 (千公顷) 	,	,	,	,1177.12	,1158.32	,1222.76	,1353.41	,1525.88	,1582.36	,1587.53	,
