数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
国内生产总值 (亿元) 	,1401879.2	,1348066.2	,1294271.7	,1234029.4	,1173823.0	,1034867.6	,1005872.4	,936010.1	,847382.9	,761193.0	,
人均国内生产总值 (元) 	,99665	,95677	,91746	,87385	,83111	,73338	,71453	,66726	,60691	,54849	,
第一产业增加值 (亿元) 	,93346.8	,91635.8	,89169.1	,88207.0	,83216.5	,78030.9	,70473.6	,64745.2	,62099.5	,60139.2	,
第二产业增加值 (亿元) 	,499653.0	,490305.4	,475936.1	,467629.6	,447138.2	,381985.8	,379860.0	,364835.2	,331580.5	,295427.8	,
第三产业增加值 (亿元) 	,808879.3	,766124.9	,729166.5	,678192.7	,643468.4	,574850.9	,555538.9	,506429.8	,453702.9	,405626.0	,
工业增加值 (亿元) 	,416826.0	,404518.5	,392183.0	,388651.6	,369903.7	,311231.2	,311011.2	,301089.3	,275119.3	,245406.4	,
农林牧渔业增加值 (亿元) 	,99106.9	,96976.0	,93967.0	,92576.8	,86994.8	,81396.5	,73576.9	,67558.7	,64660.0	,62451.0	,
建筑业增加值 (亿元) 	,86425.1	,88862.8	,86640.6	,81439.8	,79269.8	,72751.2	,70789.8	,65493.0	,57905.6	,51498.9	,
批发和零售业增加值 (亿元) 	,145808.0	,139191.6	,130809.7	,122177.5	,114358.0	,98569.1	,96864.9	,88903.7	,81156.6	,73724.5	,
交通运输、仓储和邮政业增加值 (亿元) 	,62092.1	,59045.4	,56438.3	,50967.7	,48439.0	,40712.1	,42611.1	,40631.6	,37383.7	,33259.8	,
住宿和餐饮业增加值 (亿元) 	,26403.1	,24894.5	,23084.2	,19146.2	,19064.4	,15855.5	,18249.2	,16520.6	,15056.0	,13607.8	,
金融业增加值 (亿元) 	,101336.6	,96955.7	,93926.9	,88051.5	,86409.2	,81159.0	,75113.7	,70610.3	,64844.3	,59964.0	,
房地产业增加值 (亿元) 	,83024.3	,84047.0	,87981.5	,88015.2	,90397.5	,85533.9	,83320.7	,77632.9	,69257.1	,62066.4	,
其他行业增加值 (亿元) 	,380857.2	,353574.8	,329240.5	,303003.0	,278986.7	,247659.0	,234334.9	,207569.9	,182000.3	,159214.1	,
数据来源：国家统计局
