数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,257	,266	,271	,273	,273	,277	,283	,287	,291	,
天津市	,	,191	,198	,203	,208	,212	,217	,222	,232	,241	,
河北省	,	,2699	,2752	,2845	,2894	,2980	,3070	,3169	,3279	,3402	,
山西省	,	,1161	,1214	,1255	,1273	,1308	,1354	,1406	,1453	,1502	,
内蒙古自治区	,	,699	,729	,754	,763	,781	,810	,835	,861	,892	,
辽宁省	,	,1073	,1108	,1133	,1150	,1185	,1231	,1276	,1316	,1347	,
吉林省	,	,793	,825	,852	,870	,896	,939	,972	,1018	,1059	,
黑龙江省	,	,968	,1007	,1047	,1072	,1091	,1152	,1216	,1295	,1347	,
上海市	,	,252	,262	,264	,266	,266	,267	,269	,269	,271	,
江苏省	,	,2086	,2128	,2178	,2216	,2251	,2332	,2433	,2512	,2604	,
浙江省	,	,1637	,1708	,1751	,1788	,1800	,1812	,1881	,1918	,1960	,
安徽省	,	,2292	,2356	,2441	,2482	,2544	,2618	,2695	,2769	,2858	,
福建省	,	,1182	,1211	,1251	,1269	,1300	,1329	,1355	,1391	,1430	,
江西省	,	,1631	,1665	,1717	,1741	,1788	,1848	,1925	,1998	,2069	,
山东省	,	,3379	,3489	,3604	,3667	,3756	,3854	,3884	,3934	,4076	,
河南省	,	,3990	,4114	,4239	,4304	,4431	,4553	,4711	,4859	,5008	,
湖北省	,	,1963	,2016	,2065	,2094	,2132	,2262	,2308	,2369	,2438	,
湖南省	,	,2480	,2551	,2621	,2668	,2740	,2825	,2913	,3010	,3134	,
广东省	,	,3079	,3123	,3192	,3218	,3263	,3416	,3481	,3552	,3555	,
广西壮族自治区	,	,2136	,2173	,2238	,2263	,2299	,2343	,2383	,2425	,2465	,
海南省	,	,387	,392	,396	,398	,402	,404	,401	,408	,414	,
重庆市	,	,889	,904	,933	,953	,980	,1013	,1056	,1100	,1140	,
四川省	,	,3337	,3390	,3488	,3531	,3622	,3728	,3869	,3997	,4126	,
贵州省	,	,1673	,1703	,1742	,1759	,1807	,1867	,1929	,1987	,2046	,
云南省	,	,2136	,2200	,2266	,2296	,2359	,2420	,2472	,2521	,2589	,
西藏自治区	,	,223	,223	,228	,232	,235	,236	,234	,233	,233	,
陕西省	,	,1338	,1377	,1424	,1438	,1477	,1527	,1586	,1637	,1689	,
甘肃省	,	,1061	,1097	,1141	,1162	,1195	,1237	,1265	,1308	,1359	,
青海省	,	,214	,221	,229	,232	,237	,243	,251	,261	,270	,
宁夏回族自治区	,	,232	,238	,245	,246	,253	,261	,269	,275	,287	,
新疆维吾尔自治区	,	,1040	,1059	,1089	,1107	,1126	,1138	,1159	,1193	,1204	,
注：1. 常住人口包括：居住在本乡镇街道且户口在本乡镇街道或户口待定的人；居住在本乡镇街道且离开户口登记地所在的乡镇街道半年以上的人；户口在本乡镇街道且外出不满半年或在境外工作学习的人。
数据来源：国家统计局
