数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,1926	,1920	,1913	,1916	,1916	,1913	,1909	,1907	,1904	,
天津市	,	,1173	,1166	,1160	,1165	,1175	,1168	,1161	,1178	,1202	,
河北省	,	,4679	,4641	,4575	,4554	,4484	,4377	,4257	,4130	,3973	,
山西省	,	,2285	,2252	,2226	,2207	,2182	,2143	,2096	,2057	,2012	,
内蒙古自治区	,	,1689	,1667	,1647	,1637	,1622	,1605	,1587	,1572	,1544	,
辽宁省	,	,3082	,3074	,3064	,3079	,3070	,3046	,3015	,2996	,2980	,
吉林省	,	,1524	,1514	,1496	,1505	,1503	,1509	,1512	,1508	,1508	,
黑龙江省	,	,2061	,2055	,2052	,2053	,2080	,2103	,2111	,2104	,2116	,
上海市	,	,2228	,2225	,2211	,2223	,2222	,2214	,2206	,2197	,2196	,
江苏省	,	,6440	,6398	,6337	,6289	,6226	,6137	,6013	,5911	,5777	,
浙江省	,	,5033	,4919	,4826	,4752	,4668	,4563	,4392	,4252	,4112	,
安徽省	,	,3831	,3765	,3686	,3631	,3561	,3474	,3381	,3288	,3175	,
福建省	,	,3011	,2972	,2937	,2918	,2861	,2808	,2749	,2674	,2586	,
江西省	,	,2871	,2850	,2811	,2776	,2731	,2668	,2588	,2513	,2427	,
山东省	,	,6701	,6634	,6559	,6503	,6409	,6252	,6193	,6099	,5897	,
河南省	,	,5795	,5701	,5633	,5579	,5510	,5348	,5153	,4970	,4770	,
湖北省	,	,3871	,3822	,3779	,3736	,3613	,3665	,3609	,3535	,3447	,
湖南省	,	,4059	,4017	,3983	,3954	,3905	,3815	,3722	,3623	,3491	,
广东省	,	,9701	,9583	,9465	,9466	,9361	,9073	,8867	,8589	,8353	,
广西壮族自治区	,	,2877	,2854	,2809	,2774	,2720	,2639	,2564	,2482	,2392	,
海南省	,	,661	,651	,631	,622	,610	,591	,581	,564	,543	,
重庆市	,	,2301	,2287	,2280	,2259	,2229	,2175	,2107	,2044	,1970	,
四川省	,	,5027	,4978	,4886	,4841	,4749	,4623	,4452	,4292	,4126	,
贵州省	,	,2187	,2162	,2114	,2093	,2051	,1981	,1893	,1816	,1712	,
云南省	,	,2519	,2473	,2427	,2394	,2363	,2294	,2231	,2172	,2088	,
西藏自治区	,	,147	,142	,136	,134	,131	,125	,120	,116	,107	,
陕西省	,	,2615	,2575	,2532	,2516	,2478	,2417	,2345	,2267	,2185	,
甘肃省	,	,1397	,1368	,1351	,1328	,1306	,1272	,1250	,1214	,1161	,
青海省	,	,379	,373	,366	,362	,356	,347	,336	,325	,312	,
宁夏回族自治区	,	,497	,491	,483	,479	,468	,456	,441	,430	,408	,
新疆维吾尔自治区	,	,1583	,1539	,1498	,1482	,1464	,1421	,1361	,1287	,1224	,
注：1. 常住人口包括：居住在本乡镇街道且户口在本乡镇街道或户口待定的人；居住在本乡镇街道且离开户口登记地所在的乡镇街道半年以上的人；户口在本乡镇街道且外出不满半年或在境外工作学习的人。
数据来源：国家统计局
