数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,129.50	,123.94	,121.14	,121.25	,120.22	,122.84	,125.65	,133.51	,144.45	,
天津市	,	,367.69	,368.80	,370.77	,372.48	,365.08	,359.84	,347.98	,464.65	,470.00	,
河北省	,	,8527.12	,8403.77	,8249.08	,8096.81	,7965.74	,7830.72	,7706.20	,7580.58	,7401.97	,
山西省	,	,1881.00	,1803.54	,1714.27	,1654.25	,1595.26	,1517.57	,1441.09	,1376.30	,1744.26	,
内蒙古自治区	,	,5245.43	,4924.95	,4596.42	,4239.42	,4056.58	,3866.42	,3663.66	,3483.55	,3331.09	,
辽宁省	,	,2940.99	,2823.85	,2657.84	,2552.60	,2471.26	,2353.89	,2243.72	,2215.14	,2168.45	,
吉林省	,	,4640.70	,4548.57	,4357.86	,4149.23	,3896.95	,3653.74	,3466.00	,3284.65	,3105.27	,
黑龙江省	,	,7559.14	,7339.57	,7090.88	,6912.13	,6775.09	,6359.08	,6084.65	,5813.76	,5634.27	,
上海市	,	,97.31	,105.37	,100.19	,102.74	,102.12	,98.04	,93.97	,121.84	,122.31	,
江苏省	,	,5223.19	,5360.21	,5264.08	,5148.24	,5213.83	,5111.95	,5017.71	,4991.41	,4906.55	,
浙江省	,	,1763.20	,1794.03	,1767.56	,1773.65	,1813.17	,1908.04	,2009.33	,2072.27	,2136.69	,
安徽省	,	,7206.93	,7194.56	,7070.12	,6924.31	,6799.50	,6650.47	,6543.81	,6312.86	,6867.50	,
福建省	,	,1334.84	,1323.69	,1296.71	,1270.52	,1260.20	,1237.73	,1228.27	,1232.42	,1269.09	,
江西省	,	,3048.62	,2953.53	,2838.16	,2695.35	,2591.05	,2470.66	,2381.97	,2309.60	,2201.62	,
山东省	,	,12260.75	,11988.66	,11530.49	,11186.07	,10964.66	,10679.84	,10415.22	,10144.05	,9797.61	,
河南省	,	,11288.34	,11118.39	,10858.66	,10650.20	,10463.70	,10356.97	,10204.46	,10038.32	,9854.96	,
湖北省	,	,5021.46	,4975.49	,4878.65	,4731.46	,4626.07	,4515.73	,4424.61	,4335.09	,4187.75	,
湖南省	,	,6936.71	,6839.51	,6755.95	,6676.40	,6588.95	,6471.82	,6338.57	,6254.83	,6097.54	,
广东省	,	,2613.18	,2586.04	,2556.30	,2524.48	,2495.43	,2455.79	,2429.94	,2410.77	,2390.50	,
广西壮族自治区	,	,3886.37	,3850.93	,3825.26	,3886.35	,3901.40	,3840.04	,3750.82	,3658.33	,3527.26	,
海南省	,	,639.42	,633.09	,631.80	,630.75	,615.57	,581.23	,565.82	,569.80	,516.57	,
重庆市	,	,1629.22	,1586.37	,1565.60	,1532.45	,1497.99	,1464.67	,1428.12	,1352.60	,1318.66	,
四川省	,	,5169.30	,5027.19	,4923.33	,4833.88	,4754.00	,4682.30	,4603.88	,4420.30	,4267.32	,
贵州省	,	,2891.12	,2868.99	,2805.71	,2705.41	,2582.36	,2484.60	,2376.65	,2181.43	,2041.06	,
云南省	,	,3090.36	,3013.99	,2913.65	,2838.89	,2786.75	,2714.40	,2693.51	,3534.53	,3440.64	,
西藏自治区	,	,698.52	,654.04	,624.08	,595.90	,576.78	,559.02	,545.78	,523.09	,635.14	,
陕西省	,	,2565.24	,2520.78	,2473.88	,2431.21	,2387.96	,2331.49	,2311.79	,2242.51	,2171.91	,
甘肃省	,	,2769.96	,2638.66	,2516.66	,2384.85	,2289.53	,2174.01	,2102.80	,2018.59	,1903.90	,
青海省	,	,525.69	,517.82	,503.27	,493.32	,491.41	,484.24	,472.09	,462.35	,458.56	,
宁夏回族自治区	,	,683.29	,673.18	,663.43	,653.82	,644.09	,632.15	,621.88	,605.38	,580.54	,
新疆维吾尔自治区	,	,3253.81	,3181.07	,3075.35	,2995.88	,2929.44	,2788.97	,2731.79	,2638.84	,2552.15	,
注：1. 2001年起以后大中型拖拉机中不包括变形拖拉机。
数据来源：国家统计局
