数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,273.20	,269.17	,264.35	,255.16	,261.39	,282.27	,284.95	,303.78	,
粮食作物播种面积 (千公顷) 	,	,	,127.17	,122.81	,117.38	,114.26	,117.37	,129.87	,133.14	,158.48	,
夏收粮食播种面积 (千公顷) 	,	,	,	,17.43	,11.79	,8.03	,10.87	,23.21	,24.55	,45.98	,
秋收粮食播种面积 (千公顷) 	,	,	,	,105.38	,105.60	,106.24	,106.50	,106.66	,108.58	,112.50	,
谷物播种面积 (千公顷) 	,	,	,126.46	,122.09	,116.66	,113.37	,116.08	,128.60	,131.25	,154.81	,
稻谷播种面积 (千公顷) 	,	,	,104.35	,103.70	,103.84	,104.06	,103.65	,103.58	,104.11	,106.29	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,103.70	,103.84	,104.06	,103.65	,103.58	,104.11	,106.29	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,18.72	,15.36	,10.91	,7.51	,9.99	,21.34	,21.01	,35.64	,
冬小麦播种面积 (千公顷) 	,	,	,	,15.36	,10.91	,7.51	,9.99	,21.34	,21.01	,35.64	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,0.69	,0.96	,1.01	,1.24	,1.56	,1.81	,3.03	,3.97	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,1.87	,3.09	,8.91	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,1.87	,3.09	,8.91	,
豆类播种面积 (千公顷) 	,	,	,0.61	,0.55	,0.48	,0.54	,0.73	,0.64	,1.52	,3.25	,
大豆播种面积 (千公顷) 	,	,	,0.61	,0.55	,0.48	,0.54	,0.73	,0.64	,1.07	,1.82	,
绿豆播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
红小豆播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
薯类播种面积 (千公顷) 	,	,	,0.10	,0.17	,0.24	,0.36	,0.56	,0.63	,0.36	,0.42	,
马铃薯播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
油料播种面积 (千公顷) 	,	,	,2.33	,0.88	,1.62	,2.39	,2.83	,2.77	,3.23	,4.96	,
花生播种面积 (千公顷) 	,	,	,0.11	,0.17	,0.14	,0.23	,0.54	,0.59	,0.99	,1.05	,
油菜籽播种面积 (千公顷) 	,	,	,2.20	,0.68	,1.45	,2.10	,2.20	,2.09	,2.22	,3.85	,
芝麻播种面积 (千公顷) 	,	,	,0.02	,0.03	,0.04	,0.06	,0.09	,0.09	,0.01	,0.01	,
葵花籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.01	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,	,0.00	,0.01	,0.01	,0.06	,0.09	,0.40	,0.34	,
麻类播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,0.03	,0.02	,0.03	,0.05	,0.07	,0.07	,0.03	,0.06	,
甘蔗播种面积 (千公顷) 	,	,	,0.03	,0.02	,0.03	,0.05	,0.07	,0.07	,0.03	,0.05	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.01	,
烟叶播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烤烟播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
蔬菜播种面积 (千公顷) 	,	,	,85.62	,87.47	,85.21	,84.24	,86.80	,94.31	,92.88	,97.95	,
药材播种面积 (千公顷) 	,	,	,	,0.40	,0.24	,0.23	,0.26	,0.30	,0.45	,0.63	,
其他农作物播种面积 (千公顷) 	,	,	,	,53.15	,55.43	,48.90	,48.32	,48.74	,47.99	,34.54	,
青饲料播种面积 (千公顷) 	,	,	,	,3.02	,2.60	,3.08	,2.84	,3.86	,2.67	,2.98	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
