数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,7218.08	,7130.63	,7057.24	,6989.67	,6938.86	,6890.77	,6790.80	,6786.62	,
粮食作物播种面积 (千公顷) 	,	,	,4243.22	,4210.97	,4191.38	,4167.40	,4165.76	,4174.58	,4169.21	,4201.32	,
夏收粮食播种面积 (千公顷) 	,	,	,	,980.28	,971.04	,967.80	,974.10	,977.08	,987.52	,985.43	,
秋收粮食播种面积 (千公顷) 	,	,	,	,3203.93	,3192.12	,3168.07	,3152.36	,3158.35	,3142.61	,3177.04	,
谷物播种面积 (千公顷) 	,	,	,3126.63	,3115.89	,3126.50	,3138.95	,3151.74	,3173.53	,3173.12	,3207.11	,
稻谷播种面积 (千公顷) 	,	,	,683.62	,709.46	,753.83	,818.93	,841.50	,849.55	,870.56	,881.40	,
早稻播种面积 (千公顷) 	,	,	,	,26.76	,28.21	,31.53	,39.30	,39.15	,39.08	,38.84	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,670.80	,710.44	,758.20	,772.60	,780.48	,802.15	,813.07	,
双季晚稻播种面积 (千公顷) 	,	,	,	,11.90	,15.18	,29.20	,29.60	,29.91	,29.33	,29.48	,
小麦播种面积 (千公顷) 	,	,	,257.02	,266.76	,291.13	,320.00	,328.90	,339.20	,343.68	,344.24	,
冬小麦播种面积 (千公顷) 	,	,	,	,266.76	,291.13	,320.00	,328.90	,339.20	,343.68	,344.24	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,1943.68	,1917.51	,1879.37	,1802.46	,1782.40	,1785.20	,1763.81	,1784.81	,
谷子播种面积 (千公顷) 	,	,	,	,0.04	,0.88	,0.44	,0.42	,0.41	,0.42	,0.43	,
高粱播种面积 (千公顷) 	,	,	,	,4.27	,4.10	,4.50	,3.50	,3.30	,3.41	,3.44	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,195.87	,191.24	,192.79	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,99.09	,95.80	,93.95	,
豆类播种面积 (千公顷) 	,	,	,503.23	,495.53	,464.42	,484.60	,482.00	,469.41	,468.44	,466.20	,
大豆播种面积 (千公顷) 	,	,	,175.23	,160.76	,149.61	,186.60	,185.20	,176.32	,173.05	,170.87	,
绿豆播种面积 (千公顷) 	,	,	,	,1.95	,2.07	,3.80	,3.90	,3.80	,3.95	,4.00	,
红小豆播种面积 (千公顷) 	,	,	,	,1.70	,2.53	,4.90	,4.50	,4.40	,4.51	,4.67	,
薯类播种面积 (千公顷) 	,	,	,613.36	,599.56	,600.46	,543.85	,532.02	,531.64	,527.65	,528.00	,
马铃薯播种面积 (千公顷) 	,	,	,	,518.88	,529.82	,484.05	,474.37	,473.88	,470.97	,470.00	,
油料播种面积 (千公顷) 	,	,	,338.84	,303.59	,305.80	,311.25	,314.05	,309.47	,288.82	,292.67	,
花生播种面积 (千公顷) 	,	,	,45.31	,43.03	,44.04	,43.40	,42.21	,41.03	,37.52	,38.00	,
油菜籽播种面积 (千公顷) 	,	,	,283.14	,251.76	,253.17	,257.74	,260.87	,256.14	,232.14	,237.33	,
芝麻播种面积 (千公顷) 	,	,	,0.12	,0.08	,0.15	,0.12	,0.13	,0.13	,0.22	,0.23	,
葵花籽播种面积 (千公顷) 	,	,	,	,2.80	,3.36	,4.18	,4.29	,4.58	,4.59	,4.67	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,0.01	,0.01	,0.01	,0.01	,0.03	,0.02	,
棉花播种面积 (千公顷) 	,	,	,	,	,	,0.01	,0.01	,0.02	,0.00	,0.08	,
麻类播种面积 (千公顷) 	,	,	,0.09	,0.27	,0.56	,2.92	,0.69	,0.11	,0.20	,0.45	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.16	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.07	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.01	,0.01	,0.02	,
糖料播种面积 (千公顷) 	,	,	,215.13	,219.11	,227.84	,235.66	,246.12	,260.05	,239.90	,247.33	,
甘蔗播种面积 (千公顷) 	,	,	,215.13	,219.11	,227.84	,235.66	,246.12	,260.05	,239.90	,247.33	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,426.11	,418.39	,408.59	,408.58	,409.45	,412.32	,424.62	,438.33	,
烤烟播种面积 (千公顷) 	,	,	,415.94	,408.42	,397.58	,395.81	,398.64	,401.58	,412.52	,424.67	,
蔬菜播种面积 (千公顷) 	,	,	,1339.05	,1315.04	,1291.58	,1223.70	,1164.96	,1131.91	,1084.81	,1040.14	,
药材播种面积 (千公顷) 	,	,	,	,241.80	,248.23	,223.52	,212.67	,187.59	,172.64	,152.33	,
其他农作物播种面积 (千公顷) 	,	,	,	,373.64	,344.38	,382.92	,400.26	,390.33	,386.31	,387.18	,
青饲料播种面积 (千公顷) 	,	,	,	,211.89	,205.77	,180.32	,183.61	,184.48	,177.84	,168.73	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
