数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,8808.87	,8750.68	,8743.34	,8882.81	,8885.02	,8824.07	,9014.22	,8957.21	,
粮食作物播种面积 (千公顷) 	,	,	,6984.73	,6951.84	,6884.32	,6833.17	,6827.50	,6789.85	,6780.92	,6803.40	,
夏收粮食播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋收粮食播种面积 (千公顷) 	,	,	,	,6951.84	,6884.32	,6833.17	,6827.50	,6789.85	,6780.92	,6803.41	,
谷物播种面积 (千公顷) 	,	,	,5417.94	,5399.40	,5571.88	,5171.96	,5133.60	,5130.90	,5177.37	,5266.40	,
稻谷播种面积 (千公顷) 	,	,	,103.42	,117.23	,155.14	,160.86	,160.70	,150.45	,122.19	,108.84	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,117.23	,155.14	,160.86	,160.70	,150.45	,122.19	,108.84	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,400.95	,386.16	,442.15	,478.96	,538.00	,596.73	,673.94	,658.79	,
冬小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
春小麦播种面积 (千公顷) 	,	,	,	,386.16	,442.15	,478.96	,538.00	,596.73	,673.94	,658.79	,
玉米播种面积 (千公顷) 	,	,	,4280.25	,4194.58	,4204.60	,3823.90	,3776.30	,3742.14	,3716.34	,3843.56	,
谷子播种面积 (千公顷) 	,	,	,	,253.60	,286.58	,253.30	,208.40	,181.93	,234.44	,230.30	,
高粱播种面积 (千公顷) 	,	,	,	,122.88	,160.05	,149.97	,165.40	,171.12	,90.16	,90.66	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,288.53	,340.29	,334.24	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,25.82	,42.74	,52.24	,
豆类播种面积 (千公顷) 	,	,	,1319.42	,1325.33	,1042.05	,1380.72	,1394.40	,1307.38	,1171.36	,1087.44	,
大豆播种面积 (千公顷) 	,	,	,1235.28	,1222.05	,893.21	,1201.68	,1189.80	,1094.24	,988.96	,923.40	,
绿豆播种面积 (千公顷) 	,	,	,	,59.23	,100.05	,135.34	,158.90	,176.65	,139.71	,116.56	,
红小豆播种面积 (千公顷) 	,	,	,	,15.27	,13.59	,13.19	,17.70	,17.37	,22.44	,19.37	,
薯类播种面积 (千公顷) 	,	,	,247.37	,227.11	,270.39	,280.49	,299.50	,351.57	,432.19	,449.57	,
马铃薯播种面积 (千公顷) 	,	,	,	,224.02	,267.86	,277.42	,297.40	,350.97	,432.14	,449.22	,
油料播种面积 (千公顷) 	,	,	,834.22	,742.80	,815.66	,909.48	,930.90	,891.02	,1113.07	,1111.96	,
花生播种面积 (千公顷) 	,	,	,44.82	,35.18	,68.44	,53.45	,36.99	,28.57	,23.35	,21.71	,
油菜籽播种面积 (千公顷) 	,	,	,263.58	,253.70	,223.94	,246.07	,259.13	,246.24	,309.64	,302.25	,
芝麻播种面积 (千公顷) 	,	,	,0.00	,0.03	,0.19	,1.08	,1.25	,1.12	,1.96	,1.56	,
葵花籽播种面积 (千公顷) 	,	,	,	,422.55	,484.03	,571.24	,587.98	,564.38	,713.11	,711.10	,
胡麻籽播种面积 (千公顷) 	,	,	,	,30.98	,38.99	,37.36	,44.90	,50.16	,63.34	,74.56	,
棉花播种面积 (千公顷) 	,	,	,	,	,0.02	,0.06	,0.07	,0.08	,0.00	,0.22	,
麻类播种面积 (千公顷) 	,	,	,1.90	,1.24	,0.42	,0.87	,1.22	,0.51	,1.25	,0.24	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.04	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.41	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.10	,1.25	,0.24	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,66.21	,87.92	,76.24	,127.25	,127.41	,122.04	,82.72	,67.30	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,65.92	,87.30	,76.14	,125.82	,127.41	,122.04	,82.72	,67.30	,
烟叶播种面积 (千公顷) 	,	,	,0.94	,1.08	,0.78	,1.25	,1.11	,1.36	,1.65	,2.70	,
烤烟播种面积 (千公顷) 	,	,	,0.54	,0.55	,0.53	,1.10	,1.08	,1.02	,1.28	,2.06	,
蔬菜播种面积 (千公顷) 	,	,	,218.70	,191.83	,181.93	,197.68	,200.52	,189.76	,218.72	,228.62	,
药材播种面积 (千公顷) 	,	,	,	,107.01	,116.05	,135.37	,122.77	,141.62	,118.83	,89.69	,
其他农作物播种面积 (千公顷) 	,	,	,	,635.51	,631.90	,627.98	,613.04	,629.44	,630.35	,592.46	,
青饲料播种面积 (千公顷) 	,	,	,	,456.55	,404.17	,380.27	,371.19	,383.67	,352.64	,325.63	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
