数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,158.98	,143.81	,117.85	,98.18	,88.55	,103.79	,120.94	,145.55	,
粮食作物播种面积 (千公顷) 	,	,	,89.47	,76.73	,60.92	,48.90	,46.52	,55.64	,66.84	,85.54	,
夏收粮食播种面积 (千公顷) 	,	,	,	,18.22	,13.10	,8.49	,8.21	,10.14	,11.45	,15.96	,
秋收粮食播种面积 (千公顷) 	,	,	,	,58.51	,47.82	,40.41	,38.30	,45.50	,55.40	,69.58	,
谷物播种面积 (千公顷) 	,	,	,82.93	,71.43	,57.56	,45.82	,43.41	,51.82	,62.89	,82.14	,
稻谷播种面积 (千公顷) 	,	,	,0.33	,0.42	,0.31	,0.20	,0.15	,0.17	,0.12	,0.20	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,0.42	,0.31	,0.20	,0.15	,0.17	,0.12	,0.20	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,24.99	,18.19	,13.07	,8.39	,8.04	,9.79	,11.27	,15.89	,
冬小麦播种面积 (千公顷) 	,	,	,	,17.63	,13.00	,8.20	,8.00	,9.75	,11.20	,15.88	,
春小麦播种面积 (千公顷) 	,	,	,	,0.56	,0.06	,0.19	,0.04	,0.05	,0.08	,0.02	,
玉米播种面积 (千公顷) 	,	,	,56.14	,51.15	,42.77	,35.65	,33.66	,40.09	,49.74	,64.26	,
谷子播种面积 (千公顷) 	,	,	,	,0.98	,1.09	,1.11	,1.14	,1.31	,1.45	,1.55	,
高粱播种面积 (千公顷) 	,	,	,	,0.48	,0.28	,0.35	,0.26	,0.37	,0.23	,0.19	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.08	,0.07	,0.03	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类播种面积 (千公顷) 	,	,	,4.47	,4.05	,1.74	,1.68	,1.94	,2.63	,2.87	,2.38	,
大豆播种面积 (千公顷) 	,	,	,4.26	,3.77	,1.40	,1.24	,1.40	,1.85	,2.20	,1.96	,
绿豆播种面积 (千公顷) 	,	,	,	,0.05	,0.06	,0.06	,0.08	,0.09	,0.11	,0.07	,
红小豆播种面积 (千公顷) 	,	,	,	,0.18	,0.23	,0.27	,0.28	,0.31	,0.35	,0.29	,
薯类播种面积 (千公顷) 	,	,	,2.07	,1.25	,1.63	,1.40	,1.16	,1.18	,1.09	,1.01	,
马铃薯播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
油料播种面积 (千公顷) 	,	,	,3.54	,3.18	,1.47	,1.23	,1.23	,1.58	,2.15	,2.21	,
花生播种面积 (千公顷) 	,	,	,2.71	,2.76	,1.25	,0.94	,0.87	,1.15	,1.44	,1.49	,
油菜籽播种面积 (千公顷) 	,	,	,0.29	,0.23	,0.01	,0.06	,0.03	,0.03	,0.03	,0.00	,
芝麻播种面积 (千公顷) 	,	,	,0.02	,0.04	,0.03	,0.02	,0.02	,0.02	,0.02	,0.03	,
葵花籽播种面积 (千公顷) 	,	,	,	,0.14	,0.18	,0.21	,0.31	,0.38	,0.66	,0.69	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.01	,0.01	,0.01	,0.01	,0.00	,0.04	,
麻类播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
烤烟播种面积 (千公顷) 	,	,	,	,	,	,	,0.00	,0.00	,0.00	,0.00	,
蔬菜播种面积 (千公顷) 	,	,	,51.49	,51.35	,44.62	,36.61	,30.08	,36.01	,40.32	,46.12	,
药材播种面积 (千公顷) 	,	,	,	,1.54	,1.67	,1.91	,2.03	,2.07	,2.16	,2.52	,
其他农作物播种面积 (千公顷) 	,	,	,	,8.00	,5.90	,6.41	,5.43	,4.87	,5.55	,4.88	,
青饲料播种面积 (千公顷) 	,	,	,	,5.49	,4.35	,4.04	,3.11	,2.42	,2.53	,2.53	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
