数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,6292.47	,6226.36	,6187.06	,6150.99	,6117.05	,6080.89	,6086.20	,6063.25	,
粮食作物播种面积 (千公顷) 	,	,	,5825.61	,5785.14	,5721.25	,5681.78	,5644.93	,5599.72	,5543.97	,5542.39	,
夏收粮食播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋收粮食播种面积 (千公顷) 	,	,	,	,5785.14	,5721.25	,5681.78	,5644.93	,5599.72	,5543.97	,5542.39	,
谷物播种面积 (千公顷) 	,	,	,5425.28	,5382.41	,5366.59	,5243.71	,5194.10	,5209.85	,5152.90	,5193.25	,
稻谷播种面积 (千公顷) 	,	,	,828.82	,833.18	,837.27	,837.14	,840.39	,839.71	,820.83	,800.19	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,833.18	,837.27	,837.14	,840.39	,839.71	,820.83	,800.19	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,4.99	,5.40	,4.46	,4.76	,2.94	,1.20	,2.42	,0.41	,
冬小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
春小麦播种面积 (千公顷) 	,	,	,	,5.40	,4.46	,4.76	,2.94	,1.20	,2.42	,0.41	,
玉米播种面积 (千公顷) 	,	,	,4544.30	,4469.40	,4401.23	,4287.24	,4219.61	,4231.47	,4164.01	,4241.97	,
谷子播种面积 (千公顷) 	,	,	,	,22.79	,44.09	,48.28	,46.82	,29.13	,46.24	,43.74	,
高粱播种面积 (千公顷) 	,	,	,	,46.98	,73.81	,63.11	,80.77	,107.12	,117.77	,105.70	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,1.23	,1.63	,1.25	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类播种面积 (千公顷) 	,	,	,372.28	,373.42	,311.77	,393.67	,403.82	,343.52	,328.97	,287.90	,
大豆播种面积 (千公顷) 	,	,	,328.81	,309.87	,252.74	,321.13	,345.00	,279.24	,220.22	,187.54	,
绿豆播种面积 (千公顷) 	,	,	,	,43.38	,48.54	,55.37	,48.92	,55.98	,100.40	,93.76	,
红小豆播种面积 (千公顷) 	,	,	,	,9.27	,5.69	,4.99	,7.07	,8.29	,8.34	,6.60	,
薯类播种面积 (千公顷) 	,	,	,28.06	,29.31	,42.89	,44.40	,47.01	,46.34	,62.10	,61.24	,
马铃薯播种面积 (千公顷) 	,	,	,	,26.89	,39.84	,41.52	,45.57	,44.33	,60.06	,59.04	,
油料播种面积 (千公顷) 	,	,	,237.43	,223.51	,254.62	,256.35	,257.38	,280.79	,408.67	,390.04	,
花生播种面积 (千公顷) 	,	,	,226.89	,213.81	,242.61	,239.18	,234.44	,244.89	,332.65	,268.67	,
油菜籽播种面积 (千公顷) 	,	,	,0.00	,0.00	,	,0.20	,0.21	,0.22	,0.48	,0.30	,
芝麻播种面积 (千公顷) 	,	,	,0.01	,0.02	,0.33	,1.58	,1.72	,0.94	,0.27	,0.35	,
葵花籽播种面积 (千公顷) 	,	,	,	,4.87	,6.77	,9.78	,14.31	,28.73	,52.28	,98.75	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,0.00	,0.21	,0.21	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
麻类播种面积 (千公顷) 	,	,	,	,	,	,0.59	,0.06	,0.00	,0.06	,0.02	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.02	,0.02	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,0.30	,0.30	,0.29	,1.09	,0.87	,0.64	,0.68	,0.18	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,0.30	,0.30	,0.29	,1.09	,0.87	,0.64	,0.68	,0.18	,
烟叶播种面积 (千公顷) 	,	,	,7.85	,7.70	,8.13	,8.63	,8.54	,9.89	,6.24	,7.51	,
烤烟播种面积 (千公顷) 	,	,	,4.11	,3.91	,3.99	,4.40	,4.87	,6.08	,2.97	,4.33	,
蔬菜播种面积 (千公顷) 	,	,	,142.20	,138.65	,130.67	,126.65	,121.45	,110.90	,82.84	,80.57	,
药材播种面积 (千公顷) 	,	,	,	,23.51	,25.57	,27.79	,26.00	,23.03	,14.29	,13.19	,
其他农作物播种面积 (千公顷) 	,	,	,	,12.15	,10.54	,11.91	,14.02	,15.44	,7.35	,8.24	,
青饲料播种面积 (千公顷) 	,	,	,	,8.81	,6.20	,5.46	,5.24	,5.40	,1.33	,0.86	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
