数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,10264.41	,10227.36	,9999.92	,9849.89	,9692.98	,9615.32	,9575.05	,9493.82	,
粮食作物播种面积 (千公顷) 	,	,	,6403.97	,6463.45	,6357.72	,6312.61	,6279.32	,6265.57	,6292.00	,6291.32	,
夏收粮食播种面积 (千公顷) 	,	,	,	,1105.76	,1090.38	,1095.01	,1103.42	,1113.17	,1135.33	,1147.80	,
秋收粮食播种面积 (千公顷) 	,	,	,	,5357.69	,5267.34	,5217.60	,5175.90	,5152.40	,5156.66	,5143.52	,
谷物播种面积 (千公顷) 	,	,	,4473.17	,4478.15	,4463.28	,4444.29	,4459.12	,4479.47	,4507.73	,4538.16	,
稻谷播种面积 (千公顷) 	,	,	,1845.20	,1874.00	,1875.00	,1866.32	,1870.00	,1874.00	,1874.93	,1874.00	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,1874.00	,1875.00	,1866.32	,1870.00	,1874.00	,1874.93	,1874.00	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,593.00	,588.78	,582.92	,596.82	,611.14	,635.00	,652.67	,684.00	,
冬小麦播种面积 (千公顷) 	,	,	,	,581.20	,575.00	,588.00	,602.00	,625.00	,641.89	,672.80	,
春小麦播种面积 (千公顷) 	,	,	,	,7.58	,7.92	,8.82	,9.14	,10.00	,10.77	,11.20	,
玉米播种面积 (千公顷) 	,	,	,1866.00	,1855.00	,1849.40	,1839.36	,1844.00	,1856.00	,1863.87	,1866.00	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,65.00	,64.00	,54.92	,50.00	,36.00	,33.00	,30.43	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,78.47	,83.27	,83.73	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,11.47	,11.67	,12.20	,
豆类播种面积 (千公顷) 	,	,	,725.00	,696.20	,615.16	,599.45	,559.80	,524.90	,518.40	,496.00	,
大豆播种面积 (千公顷) 	,	,	,554.00	,520.00	,443.40	,432.67	,402.00	,377.00	,369.33	,350.67	,
绿豆播种面积 (千公顷) 	,	,	,	,12.55	,12.62	,12.58	,11.60	,11.80	,11.87	,12.00	,
红小豆播种面积 (千公顷) 	,	,	,	,1.83	,1.52	,1.44	,1.30	,1.30	,1.27	,1.33	,
薯类播种面积 (千公顷) 	,	,	,1205.80	,1289.10	,1279.28	,1268.87	,1260.40	,1261.20	,1265.86	,1257.16	,
马铃薯播种面积 (千公顷) 	,	,	,	,734.10	,688.28	,683.58	,679.40	,677.20	,684.08	,676.57	,
油料播种面积 (千公顷) 	,	,	,1728.94	,1688.61	,1651.97	,1583.87	,1495.14	,1491.20	,1478.89	,1440.41	,
花生播种面积 (千公顷) 	,	,	,305.97	,295.36	,290.19	,283.42	,264.73	,263.49	,261.12	,260.21	,
油菜籽播种面积 (千公顷) 	,	,	,1413.85	,1386.57	,1354.06	,1292.17	,1222.61	,1218.49	,1206.18	,1166.82	,
芝麻播种面积 (千公顷) 	,	,	,1.94	,1.78	,1.77	,1.58	,1.39	,1.56	,1.44	,1.44	,
葵花籽播种面积 (千公顷) 	,	,	,	,1.41	,1.52	,2.05	,2.32	,2.26	,2.63	,3.64	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,0.15	,0.33	,2.11	,2.28	,2.85	,4.03	,4.40	,4.53	,
麻类播种面积 (千公顷) 	,	,	,19.44	,18.90	,18.31	,18.12	,17.21	,17.01	,16.82	,16.93	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.17	,0.17	,0.17	,0.17	,0.17	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.08	,0.01	,0.01	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,16.75	,16.58	,16.73	,
糖料播种面积 (千公顷) 	,	,	,9.62	,9.64	,9.65	,9.68	,9.63	,9.45	,9.33	,9.43	,
甘蔗播种面积 (千公顷) 	,	,	,9.61	,9.63	,9.64	,9.66	,9.61	,9.34	,9.05	,9.15	,
甜菜播种面积 (千公顷) 	,	,	,0.01	,0.01	,0.01	,0.02	,0.02	,0.11	,0.28	,0.29	,
烟叶播种面积 (千公顷) 	,	,	,79.66	,75.80	,72.59	,73.56	,74.65	,76.54	,86.34	,88.68	,
烤烟播种面积 (千公顷) 	,	,	,74.38	,70.78	,67.53	,68.46	,65.22	,67.74	,81.30	,83.39	,
蔬菜播种面积 (千公顷) 	,	,	,1582.83	,1542.34	,1480.37	,1444.02	,1412.99	,1369.17	,1324.27	,1295.66	,
药材播种面积 (千公顷) 	,	,	,	,158.79	,149.81	,144.01	,135.94	,124.11	,108.17	,93.95	,
其他农作物播种面积 (千公顷) 	,	,	,	,217.89	,206.38	,210.44	,214.38	,208.68	,207.19	,205.98	,
青饲料播种面积 (千公顷) 	,	,	,	,152.32	,142.41	,144.27	,147.19	,148.87	,149.82	,149.19	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
