数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,453.10	,443.51	,437.00	,419.17	,410.27	,429.27	,439.52	,443.66	,
粮食作物播种面积 (千公顷) 	,	,	,390.03	,376.67	,373.48	,350.20	,339.27	,350.21	,351.40	,362.00	,
夏收粮食播种面积 (千公顷) 	,	,	,	,118.77	,118.51	,103.96	,101.12	,110.84	,108.77	,107.29	,
秋收粮食播种面积 (千公顷) 	,	,	,	,257.89	,254.96	,246.25	,238.15	,239.37	,242.63	,254.71	,
谷物播种面积 (千公顷) 	,	,	,381.96	,370.42	,369.46	,344.35	,332.32	,342.39	,344.70	,356.10	,
稻谷播种面积 (千公顷) 	,	,	,53.91	,55.26	,58.50	,53.45	,45.53	,39.90	,30.49	,26.51	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,55.26	,58.50	,53.45	,45.53	,39.90	,30.49	,26.51	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,122.88	,118.77	,118.51	,103.96	,101.12	,110.84	,108.77	,107.29	,
冬小麦播种面积 (千公顷) 	,	,	,	,95.11	,102.21	,88.96	,84.09	,96.04	,95.73	,95.56	,
春小麦播种面积 (千公顷) 	,	,	,	,23.66	,16.30	,14.99	,17.03	,14.80	,13.04	,11.73	,
玉米播种面积 (千公顷) 	,	,	,194.22	,187.24	,185.63	,178.86	,180.78	,186.77	,201.42	,219.53	,
谷子播种面积 (千公顷) 	,	,	,	,0.05	,0.14	,0.86	,0.44	,0.27	,1.10	,0.81	,
高粱播种面积 (千公顷) 	,	,	,	,9.09	,6.67	,7.23	,4.40	,4.57	,2.56	,1.59	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.03	,0.37	,0.37	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类播种面积 (千公顷) 	,	,	,5.82	,4.83	,2.62	,4.40	,5.47	,6.52	,3.78	,3.84	,
大豆播种面积 (千公顷) 	,	,	,5.68	,4.64	,2.38	,4.11	,5.15	,6.21	,3.37	,3.54	,
绿豆播种面积 (千公顷) 	,	,	,	,0.04	,0.05	,0.10	,0.12	,0.12	,0.13	,0.07	,
红小豆播种面积 (千公顷) 	,	,	,	,0.13	,0.14	,0.15	,0.17	,0.10	,0.13	,0.07	,
薯类播种面积 (千公顷) 	,	,	,2.25	,1.42	,1.39	,1.45	,1.48	,1.30	,2.92	,2.06	,
马铃薯播种面积 (千公顷) 	,	,	,	,0.29	,0.30	,0.34	,0.29	,0.52	,1.73	,1.37	,
油料播种面积 (千公顷) 	,	,	,1.55	,1.22	,0.89	,0.84	,1.11	,2.09	,5.58	,5.59	,
花生播种面积 (千公顷) 	,	,	,0.62	,0.53	,0.79	,0.70	,0.91	,1.43	,1.46	,1.27	,
油菜籽播种面积 (千公顷) 	,	,	,0.68	,0.06	,0.04	,0.08	,0.02	,0.03	,0.25	,0.14	,
芝麻播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.00	,0.00	,0.01	,0.03	,0.03	,0.04	,
葵花籽播种面积 (千公顷) 	,	,	,	,0.42	,0.02	,0.04	,0.10	,0.53	,3.62	,4.13	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.01	,
棉花播种面积 (千公顷) 	,	,	,1.15	,2.48	,3.65	,7.80	,14.11	,17.10	,20.67	,12.93	,
麻类播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.00	,0.00	,	,0.00	,0.00	,0.00	,
甘蔗播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.00	,0.00	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,	,0.00	,0.00	,	,	,0.00	,0.00	,0.00	,
烤烟播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
蔬菜播种面积 (千公顷) 	,	,	,55.00	,55.50	,52.30	,52.92	,48.34	,49.75	,49.28	,46.89	,
药材播种面积 (千公顷) 	,	,	,	,0.15	,0.38	,0.37	,0.56	,1.09	,3.37	,3.53	,
其他农作物播种面积 (千公顷) 	,	,	,	,2.08	,2.28	,2.08	,2.48	,4.25	,4.88	,8.10	,
青饲料播种面积 (千公顷) 	,	,	,	,1.42	,1.81	,1.61	,1.99	,1.80	,1.62	,2.49	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
