数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,1199.10	,1189.49	,1175.91	,1174.23	,1152.96	,1164.57	,1132.63	,1118.85	,
粮食作物播种面积 (千公顷) 	,	,	,693.89	,692.29	,689.29	,679.18	,677.36	,735.68	,722.51	,717.92	,
夏收粮食播种面积 (千公顷) 	,	,	,	,85.25	,73.67	,102.25	,119.33	,143.12	,133.80	,128.67	,
秋收粮食播种面积 (千公顷) 	,	,	,	,607.04	,615.62	,576.93	,558.03	,592.56	,588.71	,589.26	,
谷物播种面积 (千公顷) 	,	,	,586.38	,584.16	,580.42	,571.41	,567.40	,603.15	,585.14	,574.76	,
稻谷播种面积 (千公顷) 	,	,	,20.12	,29.38	,50.84	,60.82	,68.05	,78.01	,81.09	,80.86	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,29.38	,50.84	,60.82	,68.05	,78.01	,81.09	,80.86	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,68.90	,81.36	,67.04	,92.92	,107.77	,128.59	,123.13	,117.33	,
冬小麦播种面积 (千公顷) 	,	,	,	,30.33	,38.67	,52.95	,53.42	,62.43	,57.20	,55.07	,
春小麦播种面积 (千公顷) 	,	,	,	,51.02	,28.37	,39.97	,54.35	,66.16	,65.93	,62.27	,
玉米播种面积 (千公顷) 	,	,	,390.20	,365.59	,367.42	,322.73	,299.78	,310.79	,306.33	,313.23	,
谷子播种面积 (千公顷) 	,	,	,	,20.58	,18.16	,15.91	,10.37	,9.53	,14.67	,15.33	,
高粱播种面积 (千公顷) 	,	,	,	,0.77	,0.69	,	,	,	,3.13	,0.00	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,76.23	,56.80	,48.00	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
豆类播种面积 (千公顷) 	,	,	,30.07	,27.46	,8.88	,12.66	,17.25	,22.60	,18.70	,19.83	,
大豆播种面积 (千公顷) 	,	,	,27.24	,24.03	,2.45	,3.45	,4.89	,6.90	,8.04	,8.50	,
绿豆播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
红小豆播种面积 (千公顷) 	,	,	,	,0.20	,	,	,	,	,0.00	,0.00	,
薯类播种面积 (千公顷) 	,	,	,77.44	,80.68	,99.99	,95.11	,92.71	,109.93	,118.67	,123.33	,
马铃薯播种面积 (千公顷) 	,	,	,	,80.68	,99.99	,95.11	,92.71	,109.93	,118.67	,123.33	,
油料播种面积 (千公顷) 	,	,	,30.13	,26.67	,27.25	,33.00	,38.98	,33.73	,33.27	,35.42	,
花生播种面积 (千公顷) 	,	,	,0.00	,0.01	,0.04	,0.02	,0.03	,0.08	,0.05	,0.09	,
油菜籽播种面积 (千公顷) 	,	,	,9.99	,4.75	,4.17	,4.47	,3.25	,2.57	,1.94	,1.68	,
芝麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
葵花籽播种面积 (千公顷) 	,	,	,	,3.87	,5.35	,6.31	,9.86	,7.58	,8.76	,10.46	,
胡麻籽播种面积 (千公顷) 	,	,	,	,18.04	,17.70	,22.20	,24.74	,22.12	,19.42	,20.10	,
棉花播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.04	,
麻类播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.01	,	,0.02	,0.00	,0.00	,0.00	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.01	,	,0.02	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,0.24	,0.23	,0.23	,0.27	,0.27	,0.32	,0.21	,0.23	,
烤烟播种面积 (千公顷) 	,	,	,0.24	,0.23	,0.23	,0.27	,0.27	,0.32	,0.21	,0.23	,
蔬菜播种面积 (千公顷) 	,	,	,133.65	,129.39	,131.79	,135.19	,131.19	,121.77	,118.57	,117.03	,
药材播种面积 (千公顷) 	,	,	,	,44.31	,48.99	,59.42	,56.47	,58.24	,52.70	,48.70	,
其他农作物播种面积 (千公顷) 	,	,	,	,244.41	,222.09	,203.43	,182.94	,152.58	,146.27	,138.13	,
青饲料播种面积 (千公顷) 	,	,	,	,196.62	,166.16	,127.60	,115.53	,89.86	,88.89	,82.20	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
