数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,9043.96	,8933.59	,8886.77	,8817.99	,8781.96	,8771.11	,8726.68	,8790.10	,
粮食作物播种面积 (千公顷) 	,	,	,7334.46	,7314.25	,7309.61	,7289.52	,7287.00	,7316.33	,7321.79	,7359.01	,
夏收粮食播种面积 (千公顷) 	,	,	,	,2849.93	,2846.63	,2825.98	,2836.38	,2876.31	,2823.47	,2888.14	,
秋收粮食播种面积 (千公顷) 	,	,	,	,4292.91	,4292.10	,4293.24	,4286.04	,4257.32	,4290.96	,4245.43	,
谷物播种面积 (千公顷) 	,	,	,6594.37	,6595.82	,6622.78	,6584.00	,6551.07	,6568.55	,6597.80	,6651.23	,
稻谷播种面积 (千公顷) 	,	,	,2500.69	,2496.48	,2512.15	,2512.08	,2509.04	,2544.76	,2605.15	,2537.36	,
早稻播种面积 (千公顷) 	,	,	,	,171.40	,170.88	,170.30	,164.58	,182.70	,207.36	,225.45	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,2143.94	,2163.41	,2162.60	,2168.45	,2172.80	,2190.11	,2096.27	,
双季晚稻播种面积 (千公顷) 	,	,	,	,181.13	,177.86	,179.18	,176.01	,189.26	,207.68	,215.65	,
小麦播种面积 (千公顷) 	,	,	,2862.70	,2849.37	,2846.00	,2825.20	,2835.60	,2875.86	,2822.79	,2887.59	,
冬小麦播种面积 (千公顷) 	,	,	,	,2849.37	,2846.00	,2825.20	,2835.60	,2875.86	,2822.79	,2887.59	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,1209.61	,1228.94	,1252.74	,1234.76	,1196.45	,1138.56	,1160.07	,1203.33	,
谷子播种面积 (千公顷) 	,	,	,	,2.14	,1.31	,1.39	,1.15	,6.48	,8.79	,22.13	,
高粱播种面积 (千公顷) 	,	,	,	,12.84	,6.46	,6.13	,5.73	,0.30	,0.31	,0.27	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,2.59	,0.68	,0.55	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.45	,0.10	,0.11	,
豆类播种面积 (千公顷) 	,	,	,675.31	,654.17	,627.11	,641.98	,672.95	,687.63	,658.70	,637.14	,
大豆播种面积 (千公顷) 	,	,	,631.51	,610.71	,587.22	,605.06	,636.24	,649.89	,620.55	,599.49	,
绿豆播种面积 (千公顷) 	,	,	,	,35.90	,32.97	,30.53	,30.23	,31.32	,31.62	,31.10	,
红小豆播种面积 (千公顷) 	,	,	,	,7.57	,6.92	,6.38	,6.48	,6.42	,6.54	,6.55	,
薯类播种面积 (千公顷) 	,	,	,64.78	,64.25	,59.72	,63.55	,62.98	,60.15	,65.29	,70.64	,
马铃薯播种面积 (千公顷) 	,	,	,	,4.40	,4.15	,4.59	,4.84	,4.78	,2.45	,6.49	,
油料播种面积 (千公顷) 	,	,	,643.46	,561.90	,542.20	,521.44	,528.15	,520.24	,518.32	,542.67	,
花生播种面积 (千公顷) 	,	,	,147.78	,146.15	,146.18	,145.82	,142.20	,144.15	,138.87	,138.67	,
油菜籽播种面积 (千公顷) 	,	,	,469.75	,393.16	,372.94	,350.43	,363.88	,357.02	,354.14	,375.33	,
芝麻播种面积 (千公顷) 	,	,	,17.89	,13.39	,13.50	,12.20	,11.02	,7.33	,4.52	,5.04	,
葵花籽播种面积 (千公顷) 	,	,	,	,0.58	,0.63	,0.97	,1.04	,1.07	,1.35	,0.80	,
胡麻籽播种面积 (千公顷) 	,	,	,	,0.06	,0.38	,0.36	,0.27	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,22.66	,30.29	,34.43	,51.20	,60.30	,86.30	,88.13	,110.06	,
麻类播种面积 (千公顷) 	,	,	,1.80	,2.05	,2.13	,2.21	,2.13	,0.99	,0.88	,0.89	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.69	,0.69	,0.29	,0.27	,0.28	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.01	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.58	,0.60	,0.59	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.11	,0.01	,0.01	,
糖料播种面积 (千公顷) 	,	,	,2.13	,2.32	,2.48	,2.70	,2.79	,2.57	,2.93	,2.90	,
甘蔗播种面积 (千公顷) 	,	,	,1.26	,1.48	,1.66	,1.86	,1.98	,1.74	,1.90	,2.89	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,1.03	,0.01	,
烟叶播种面积 (千公顷) 	,	,	,9.85	,9.33	,8.62	,8.64	,8.67	,8.09	,8.28	,8.78	,
烤烟播种面积 (千公顷) 	,	,	,9.79	,9.25	,8.55	,8.58	,7.25	,7.98	,8.16	,8.65	,
蔬菜播种面积 (千公顷) 	,	,	,787.24	,769.22	,749.39	,717.95	,682.72	,652.16	,628.17	,610.85	,
药材播种面积 (千公顷) 	,	,	,	,112.19	,108.19	,102.25	,95.12	,85.22	,70.95	,68.75	,
