数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,11002.72	,10964.14	,10948.59	,10889.06	,10933.09	,11076.80	,11107.79	,11278.61	,
粮食作物播种面积 (千公顷) 	,	,	,8387.90	,8372.21	,8355.14	,8281.54	,8312.81	,8404.84	,8455.60	,8517.33	,
夏收粮食播种面积 (千公顷) 	,	,	,	,4004.67	,3995.46	,3935.38	,4002.71	,4059.96	,4086.11	,4070.00	,
秋收粮食播种面积 (千公顷) 	,	,	,	,4367.55	,4359.67	,4346.16	,4310.10	,4344.89	,4369.49	,4447.33	,
谷物播种面积 (千公顷) 	,	,	,8026.17	,8024.95	,8039.99	,7954.46	,8001.78	,8142.96	,8228.02	,8265.33	,
稻谷播种面积 (千公顷) 	,	,	,101.01	,106.43	,113.04	,112.48	,115.60	,113.83	,108.86	,106.67	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,106.43	,113.04	,112.48	,115.60	,113.83	,108.86	,106.67	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,4008.86	,4003.55	,3994.03	,3934.43	,4001.75	,4058.59	,4083.87	,4068.00	,
冬小麦播种面积 (千公顷) 	,	,	,	,4003.55	,3994.03	,3934.43	,4001.75	,4058.59	,4083.87	,4068.00	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,3881.06	,3880.26	,3897.01	,3871.09	,3846.47	,3934.68	,4000.12	,4059.33	,
谷子播种面积 (千公顷) 	,	,	,	,31.81	,32.73	,33.16	,34.80	,31.43	,30.61	,27.33	,
高粱播种面积 (千公顷) 	,	,	,	,2.13	,2.22	,2.35	,2.27	,3.26	,3.33	,2.67	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,1.16	,1.24	,1.33	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.61	,0.69	,0.67	,
豆类播种面积 (千公顷) 	,	,	,236.00	,218.79	,187.54	,193.04	,187.84	,158.02	,124.98	,131.33	,
大豆播种面积 (千公顷) 	,	,	,232.37	,214.96	,182.82	,188.67	,183.53	,153.52	,119.55	,124.67	,
绿豆播种面积 (千公顷) 	,	,	,	,1.56	,1.92	,1.97	,1.93	,2.01	,2.05	,2.00	,
红小豆播种面积 (千公顷) 	,	,	,	,0.65	,0.68	,0.72	,0.70	,0.73	,0.74	,0.67	,
薯类播种面积 (千公顷) 	,	,	,125.73	,128.48	,127.61	,134.04	,123.20	,103.86	,102.60	,120.67	,
马铃薯播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
油料播种面积 (千公顷) 	,	,	,627.77	,624.10	,646.76	,666.40	,682.17	,711.36	,725.20	,735.77	,
花生播种面积 (千公顷) 	,	,	,613.25	,609.76	,631.74	,650.86	,666.49	,695.28	,709.23	,718.96	,
油菜籽播种面积 (千公顷) 	,	,	,8.92	,8.98	,9.26	,8.58	,8.87	,8.60	,8.05	,8.48	,
芝麻播种面积 (千公顷) 	,	,	,1.10	,0.68	,0.71	,0.66	,0.58	,0.49	,0.39	,0.49	,
葵花籽播种面积 (千公顷) 	,	,	,	,1.19	,1.27	,1.36	,1.25	,1.44	,1.86	,1.92	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,96.48	,113.35	,110.18	,142.88	,169.28	,183.27	,174.67	,279.13	,
麻类播种面积 (千公顷) 	,	,	,0.01	,0.01	,0.03	,0.03	,0.03	,0.05	,0.04	,0.15	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.02	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.04	,0.04	,0.15	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,0.00	,0.01	,0.01	,0.01	,	,0.00	,0.00	,0.00	,
甘蔗播种面积 (千公顷) 	,	,	,0.00	,0.00	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,	,0.01	,0.01	,0.01	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,20.64	,19.05	,17.97	,18.18	,17.77	,17.90	,21.39	,23.69	,
烤烟播种面积 (千公顷) 	,	,	,20.61	,18.99	,17.88	,18.04	,17.15	,17.88	,21.38	,23.69	,
蔬菜播种面积 (千公顷) 	,	,	,1578.92	,1548.50	,1524.68	,1487.34	,1464.19	,1479.55	,1462.04	,1454.33	,
药材播种面积 (千公顷) 	,	,	,	,56.78	,56.91	,54.27	,42.97	,35.02	,30.45	,27.34	,
其他农作物播种面积 (千公顷) 	,	,	,	,22.04	,28.19	,26.95	,31.84	,30.30	,23.46	,22.38	,
青饲料播种面积 (千公顷) 	,	,	,	,16.93	,16.18	,8.74	,6.68	,3.57	,3.68	,2.16	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
