数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,3641.72	,3611.59	,3587.95	,3541.51	,3524.42	,3555.16	,3577.62	,3591.54	,
粮食作物播种面积 (千公顷) 	,	,	,3160.96	,3150.33	,3138.06	,3130.02	,3126.17	,3137.06	,3180.92	,3227.31	,
夏收粮食播种面积 (千公顷) 	,	,	,	,535.05	,536.84	,536.46	,554.80	,569.19	,570.12	,573.55	,
秋收粮食播种面积 (千公顷) 	,	,	,	,2615.28	,2601.22	,2593.56	,2571.37	,2567.87	,2610.79	,2653.76	,
谷物播种面积 (千公顷) 	,	,	,2831.29	,2821.09	,2800.10	,2762.88	,2716.54	,2711.80	,2757.88	,2807.45	,
稻谷播种面积 (千公顷) 	,	,	,2.21	,2.16	,2.65	,2.45	,2.53	,0.80	,0.76	,0.79	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,2.16	,2.65	,2.45	,2.53	,0.80	,0.76	,0.79	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,535.87	,535.05	,536.84	,535.88	,546.80	,560.27	,560.53	,564.00	,
冬小麦播种面积 (千公顷) 	,	,	,	,534.88	,536.65	,535.60	,546.80	,560.27	,560.53	,564.00	,
春小麦播种面积 (千公顷) 	,	,	,	,0.17	,0.19	,0.28	,	,0.00	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,1842.21	,1813.88	,1772.57	,1742.22	,1715.04	,1747.67	,1806.85	,1860.67	,
谷子播种面积 (千公顷) 	,	,	,	,219.13	,221.01	,220.30	,211.55	,197.80	,199.18	,195.87	,
高粱播种面积 (千公顷) 	,	,	,	,103.50	,104.76	,87.62	,66.49	,32.93	,22.48	,20.49	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,172.33	,168.07	,165.65	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类播种面积 (千公顷) 	,	,	,150.27	,153.90	,145.11	,183.84	,225.67	,250.73	,238.29	,240.56	,
大豆播种面积 (千公顷) 	,	,	,117.00	,112.45	,92.21	,119.61	,129.14	,150.53	,130.79	,134.13	,
绿豆播种面积 (千公顷) 	,	,	,	,10.80	,12.37	,22.35	,39.78	,41.00	,47.18	,48.09	,
红小豆播种面积 (千公顷) 	,	,	,	,3.51	,4.65	,6.39	,10.89	,11.81	,10.89	,10.55	,
薯类播种面积 (千公顷) 	,	,	,179.40	,175.34	,192.85	,183.30	,183.95	,174.53	,184.75	,179.29	,
马铃薯播种面积 (千公顷) 	,	,	,	,153.65	,169.90	,160.73	,162.38	,157.00	,168.11	,163.33	,
油料播种面积 (千公顷) 	,	,	,97.96	,89.48	,84.35	,88.32	,99.76	,111.86	,114.08	,118.03	,
花生播种面积 (千公顷) 	,	,	,5.71	,4.97	,5.03	,4.76	,5.18	,5.39	,5.77	,6.23	,
油菜籽播种面积 (千公顷) 	,	,	,19.18	,19.04	,18.76	,17.67	,22.90	,25.27	,18.80	,12.77	,
芝麻播种面积 (千公顷) 	,	,	,1.62	,1.13	,1.48	,1.74	,1.72	,2.15	,1.73	,1.75	,
葵花籽播种面积 (千公顷) 	,	,	,	,27.00	,24.52	,25.37	,25.63	,29.44	,31.75	,36.87	,
胡麻籽播种面积 (千公顷) 	,	,	,	,19.33	,19.15	,21.18	,26.98	,32.49	,35.42	,39.34	,
棉花播种面积 (千公顷) 	,	,	,0.10	,0.32	,0.70	,1.13	,2.26	,2.58	,2.87	,3.53	,
麻类播种面积 (千公顷) 	,	,	,0.01	,0.15	,0.60	,1.68	,0.08	,0.05	,0.07	,0.05	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.32	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.05	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,0.04	,0.05	,0.11	,0.04	,0.02	,0.03	,0.13	,0.53	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,0.00	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,0.04	,0.05	,0.11	,0.04	,0.02	,0.03	,0.13	,0.53	,
烟叶播种面积 (千公顷) 	,	,	,1.58	,1.51	,1.54	,1.35	,1.29	,1.35	,1.50	,1.93	,
烤烟播种面积 (千公顷) 	,	,	,1.52	,1.50	,1.50	,1.35	,1.29	,1.27	,1.50	,1.93	,
蔬菜播种面积 (千公顷) 	,	,	,227.05	,226.22	,216.21	,188.98	,180.39	,176.94	,169.85	,158.77	,
药材播种面积 (千公顷) 	,	,	,	,99.55	,97.61	,77.49	,61.04	,74.67	,67.54	,45.05	,
其他农作物播种面积 (千公顷) 	,	,	,	,28.56	,33.90	,36.66	,36.17	,34.44	,26.14	,21.60	,
青饲料播种面积 (千公顷) 	,	,	,	,25.29	,29.10	,33.32	,31.13	,27.88	,22.00	,19.42	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
