数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,4587.27	,4553.47	,4498.36	,4451.81	,4357.38	,4279.36	,4227.51	,4181.56	,
粮食作物播种面积 (千公顷) 	,	,	,2229.51	,2230.29	,2213.04	,2204.69	,2160.64	,2151.04	,2169.73	,2177.78	,
夏收粮食播种面积 (千公顷) 	,	,	,	,142.88	,137.91	,136.55	,135.86	,136.82	,137.79	,138.88	,
秋收粮食播种面积 (千公顷) 	,	,	,	,1223.18	,1216.57	,1199.01	,1190.12	,1175.03	,1178.45	,1186.09	,
谷物播种面积 (千公顷) 	,	,	,1963.56	,1969.55	,1958.78	,1959.93	,1916.64	,1910.18	,1929.18	,1934.15	,
稻谷播种面积 (千公顷) 	,	,	,1827.61	,1835.90	,1827.42	,1834.43	,1793.67	,1787.39	,1805.42	,1806.03	,
早稻播种面积 (千公顷) 	,	,	,	,864.23	,858.56	,869.13	,834.66	,839.19	,853.48	,852.81	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
双季晚稻播种面积 (千公顷) 	,	,	,	,971.67	,968.86	,965.30	,959.01	,948.20	,951.94	,953.22	,
小麦播种面积 (千公顷) 	,	,	,0.66	,0.42	,0.25	,0.38	,0.42	,0.42	,0.46	,0.90	,
冬小麦播种面积 (千公顷) 	,	,	,	,0.42	,0.25	,0.38	,0.42	,0.42	,0.46	,0.90	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,134.03	,131.91	,129.79	,123.14	,120.15	,120.08	,120.95	,123.80	,
谷子播种面积 (千公顷) 	,	,	,	,0.09	,0.09	,0.06	,0.06	,0.06	,0.10	,0.17	,
高粱播种面积 (千公顷) 	,	,	,	,0.12	,0.11	,0.04	,0.04	,0.04	,0.02	,0.03	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,2.19	,2.23	,3.23	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
豆类播种面积 (千公顷) 	,	,	,45.60	,44.40	,42.87	,41.87	,41.51	,41.05	,40.52	,40.91	,
大豆播种面积 (千公顷) 	,	,	,35.86	,34.70	,32.63	,32.61	,32.57	,31.79	,31.16	,32.31	,
绿豆播种面积 (千公顷) 	,	,	,	,1.71	,1.64	,1.48	,1.32	,1.21	,1.48	,1.44	,
红小豆播种面积 (千公顷) 	,	,	,	,1.03	,1.00	,0.90	,0.85	,0.72	,0.87	,0.70	,
薯类播种面积 (千公顷) 	,	,	,220.35	,216.34	,211.39	,202.89	,202.49	,199.81	,200.02	,202.71	,
马铃薯播种面积 (千公顷) 	,	,	,	,44.00	,46.52	,48.17	,50.14	,50.64	,51.14	,50.49	,
油料播种面积 (千公顷) 	,	,	,362.10	,355.21	,357.44	,355.29	,348.28	,340.99	,331.82	,329.49	,
花生播种面积 (千公顷) 	,	,	,353.50	,346.79	,349.68	,347.57	,340.52	,332.48	,319.10	,314.51	,
油菜籽播种面积 (千公顷) 	,	,	,5.10	,5.08	,4.42	,4.36	,4.39	,4.69	,8.74	,10.01	,
芝麻播种面积 (千公顷) 	,	,	,3.35	,3.24	,3.22	,3.24	,3.20	,3.33	,3.12	,3.09	,
葵花籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.50	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.26	,
麻类播种面积 (千公顷) 	,	,	,0.05	,0.04	,0.06	,0.06	,0.07	,0.07	,0.08	,0.08	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.06	,0.07	,0.07	,0.08	,0.08	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,142.54	,147.20	,150.11	,158.92	,169.68	,172.56	,169.16	,165.55	,
甘蔗播种面积 (千公顷) 	,	,	,142.54	,147.20	,150.11	,158.92	,169.68	,172.56	,169.16	,165.55	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,15.10	,15.32	,15.85	,16.49	,16.73	,17.47	,17.41	,17.81	,
烤烟播种面积 (千公顷) 	,	,	,14.21	,13.97	,14.06	,14.56	,14.74	,15.42	,15.61	,15.64	,
蔬菜播种面积 (千公顷) 	,	,	,1453.73	,1428.38	,1392.25	,1363.55	,1320.52	,1272.24	,1227.22	,1189.86	,
药材播种面积 (千公顷) 	,	,	,	,68.49	,56.38	,53.07	,48.79	,42.33	,34.89	,28.49	,
其他农作物播种面积 (千公顷) 	,	,	,	,265.28	,270.11	,257.36	,250.39	,240.60	,235.97	,232.19	,
青饲料播种面积 (千公顷) 	,	,	,	,43.39	,45.62	,46.36	,46.65	,46.91	,46.78	,47.27	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
