数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,6352.35	,6271.40	,6177.52	,6107.32	,5989.21	,5972.38	,5969.88	,5966.74	,
粮食作物播种面积 (千公顷) 	,	,	,2834.72	,2829.31	,2822.94	,2806.09	,2747.00	,2802.12	,2853.06	,2897.14	,
夏收粮食播种面积 (千公顷) 	,	,	,	,117.98	,116.01	,113.58	,104.60	,107.30	,108.88	,111.23	,
秋收粮食播种面积 (千公顷) 	,	,	,	,1900.68	,1899.42	,1887.33	,1874.50	,1904.36	,1933.43	,1957.74	,
谷物播种面积 (千公顷) 	,	,	,2396.32	,2393.79	,2391.57	,2377.95	,2333.86	,2379.07	,2436.47	,2482.48	,
稻谷播种面积 (千公顷) 	,	,	,1760.76	,1758.03	,1756.74	,1760.11	,1712.91	,1752.55	,1801.71	,1836.70	,
早稻播种面积 (千公顷) 	,	,	,	,810.65	,807.52	,805.18	,767.90	,790.46	,810.75	,828.18	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,133.58	,137.29	,133.74	,134.12	,135.54	,141.04	,136.76	,
双季晚稻播种面积 (千公顷) 	,	,	,	,813.80	,811.93	,821.20	,810.89	,826.55	,849.92	,871.76	,
小麦播种面积 (千公顷) 	,	,	,4.60	,4.44	,3.81	,3.86	,3.03	,3.00	,3.08	,3.20	,
冬小麦播种面积 (千公顷) 	,	,	,	,4.44	,3.81	,3.86	,3.03	,3.00	,3.08	,3.20	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,616.52	,616.33	,615.05	,596.97	,580.14	,584.43	,591.23	,603.25	,
谷子播种面积 (千公顷) 	,	,	,	,3.13	,3.24	,3.54	,4.68	,4.64	,5.42	,4.73	,
高粱播种面积 (千公顷) 	,	,	,	,3.77	,3.68	,3.89	,5.53	,5.55	,5.84	,6.25	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,28.90	,29.19	,28.35	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类播种面积 (千公顷) 	,	,	,168.61	,167.94	,164.02	,160.87	,149.76	,155.40	,149.35	,145.33	,
大豆播种面积 (千公顷) 	,	,	,110.07	,108.06	,101.51	,96.42	,93.89	,97.71	,94.25	,91.33	,
绿豆播种面积 (千公顷) 	,	,	,	,14.26	,15.42	,16.42	,17.13	,17.72	,17.21	,16.67	,
红小豆播种面积 (千公顷) 	,	,	,	,0.75	,0.77	,0.72	,0.70	,0.77	,0.80	,0.67	,
薯类播种面积 (千公顷) 	,	,	,269.79	,267.58	,267.35	,267.27	,263.38	,267.65	,267.24	,269.33	,
马铃薯播种面积 (千公顷) 	,	,	,	,53.55	,53.56	,52.81	,51.20	,52.84	,55.34	,60.00	,
油料播种面积 (千公顷) 	,	,	,282.34	,265.58	,267.05	,262.20	,253.65	,243.39	,239.27	,233.15	,
花生播种面积 (千公顷) 	,	,	,232.98	,224.66	,226.25	,223.35	,218.51	,211.47	,206.03	,199.81	,
油菜籽播种面积 (千公顷) 	,	,	,43.87	,35.32	,35.13	,32.50	,28.45	,24.43	,20.77	,20.68	,
芝麻播种面积 (千公顷) 	,	,	,3.04	,3.12	,2.96	,2.96	,3.05	,2.96	,2.81	,2.82	,
葵花籽播种面积 (千公顷) 	,	,	,	,0.34	,0.57	,0.71	,0.88	,0.97	,1.05	,1.09	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,0.84	,1.04	,1.08	,1.12	,1.11	,1.21	,1.27	,1.54	,
麻类播种面积 (千公顷) 	,	,	,2.06	,2.61	,2.60	,2.56	,2.60	,2.42	,1.92	,2.07	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,2.14	,2.17	,1.99	,1.65	,1.78	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.43	,0.27	,0.28	,
糖料播种面积 (千公顷) 	,	,	,835.09	,847.95	,857.81	,874.83	,890.23	,886.40	,876.12	,891.14	,
甘蔗播种面积 (千公顷) 	,	,	,835.09	,847.95	,857.81	,874.83	,890.23	,886.40	,876.12	,891.14	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,11.88	,10.13	,10.23	,10.58	,10.11	,10.46	,11.80	,13.28	,
烤烟播种面积 (千公顷) 	,	,	,10.52	,8.66	,8.51	,8.93	,8.50	,8.87	,9.91	,11.51	,
蔬菜播种面积 (千公顷) 	,	,	,1704.96	,1653.69	,1596.33	,1535.92	,1485.16	,1439.67	,1399.74	,1351.84	,
药材播种面积 (千公顷) 	,	,	,	,150.41	,119.50	,107.59	,94.66	,83.61	,74.13	,70.87	,
其他农作物播种面积 (千公顷) 	,	,	,	,394.42	,381.12	,384.55	,385.95	,384.78	,394.66	,388.49	,
青饲料播种面积 (千公顷) 	,	,	,	,88.26	,86.56	,47.51	,46.74	,44.71	,40.29	,38.07	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
