数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,6839.83	,6493.13	,6387.42	,6280.01	,6169.99	,6068.89	,5886.96	,5921.27	,
粮食作物播种面积 (千公顷) 	,	,	,2824.76	,2433.90	,2371.65	,2230.19	,2203.61	,2219.63	,2295.85	,2405.28	,
夏收粮食播种面积 (千公顷) 	,	,	,	,1158.08	,1139.35	,1072.45	,1068.87	,1037.20	,1128.06	,1218.51	,
秋收粮食播种面积 (千公顷) 	,	,	,	,1275.82	,1232.30	,1157.74	,1134.74	,1182.44	,1167.80	,1186.77	,
谷物播种面积 (千公顷) 	,	,	,2706.46	,2358.41	,2309.24	,2177.20	,2133.76	,2158.55	,2229.87	,2341.91	,
稻谷播种面积 (千公顷) 	,	,	,39.65	,36.71	,44.32	,47.63	,56.92	,78.39	,74.24	,83.10	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,36.71	,44.32	,47.63	,56.92	,78.39	,74.24	,83.09	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,1209.22	,1153.60	,1135.25	,1069.02	,1061.59	,1031.47	,1126.83	,1215.87	,
冬小麦播种面积 (千公顷) 	,	,	,	,830.69	,855.72	,750.67	,724.76	,657.40	,718.83	,762.58	,
春小麦播种面积 (千公顷) 	,	,	,	,322.91	,279.53	,318.35	,336.83	,374.07	,408.01	,453.29	,
玉米播种面积 (千公顷) 	,	,	,1437.66	,1145.56	,1110.26	,1051.05	,997.20	,1033.29	,1019.93	,1026.40	,
谷子播种面积 (千公顷) 	,	,	,	,3.62	,2.10	,0.54	,1.33	,1.35	,1.80	,3.18	,
高粱播种面积 (千公顷) 	,	,	,	,10.00	,10.46	,4.27	,8.75	,8.33	,4.94	,7.22	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,5.73	,2.13	,6.15	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,5.73	,2.13	,4.38	,
豆类播种面积 (千公顷) 	,	,	,93.85	,52.36	,39.32	,32.68	,49.79	,44.51	,42.43	,40.29	,
大豆播种面积 (千公顷) 	,	,	,77.52	,40.08	,18.95	,16.35	,38.96	,35.41	,29.46	,29.24	,
绿豆播种面积 (千公顷) 	,	,	,	,3.83	,0.47	,0.39	,	,5.04	,1.60	,1.82	,
红小豆播种面积 (千公顷) 	,	,	,	,0.96	,0.14	,0.05	,	,1.73	,0.87	,0.58	,
薯类播种面积 (千公顷) 	,	,	,24.45	,23.13	,23.09	,20.31	,20.06	,16.58	,23.55	,23.08	,
马铃薯播种面积 (千公顷) 	,	,	,	,18.95	,19.52	,19.57	,17.16	,15.12	,19.30	,21.86	,
油料播种面积 (千公顷) 	,	,	,138.14	,116.82	,113.17	,177.21	,218.62	,224.13	,237.18	,259.68	,
花生播种面积 (千公顷) 	,	,	,14.81	,13.13	,2.36	,1.82	,2.54	,6.14	,3.64	,4.79	,
油菜籽播种面积 (千公顷) 	,	,	,33.26	,29.46	,29.85	,33.73	,52.43	,63.45	,51.29	,36.15	,
芝麻播种面积 (千公顷) 	,	,	,0.17	,0.03	,0.20	,0.11	,0.11	,0.26	,0.11	,0.22	,
葵花籽播种面积 (千公顷) 	,	,	,	,52.38	,62.98	,121.36	,137.01	,127.86	,152.38	,188.18	,
胡麻籽播种面积 (千公顷) 	,	,	,	,0.58	,0.45	,1.39	,1.68	,4.02	,5.00	,6.42	,
棉花播种面积 (千公顷) 	,	,	,2369.30	,2496.89	,2506.07	,2501.92	,2540.50	,2491.30	,2217.47	,2059.60	,
麻类播种面积 (千公顷) 	,	,	,3.72	,4.52	,3.73	,5.51	,4.34	,2.19	,1.45	,1.95	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,2.13	,0.55	,0.94	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,61.58	,53.40	,47.60	,62.32	,59.91	,57.26	,61.06	,63.94	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,61.58	,53.40	,47.60	,62.32	,59.91	,57.26	,61.06	,63.94	,
烟叶播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.08	,0.00	,0.00	,
烤烟播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
蔬菜播种面积 (千公顷) 	,	,	,371.40	,337.40	,321.11	,323.21	,274.83	,273.26	,302.19	,308.88	,
药材播种面积 (千公顷) 	,	,	,	,99.96	,94.34	,70.42	,71.51	,63.59	,74.02	,68.17	,
其他农作物播种面积 (千公顷) 	,	,	,	,846.58	,820.31	,792.76	,675.55	,626.09	,566.08	,592.88	,
青饲料播种面积 (千公顷) 	,	,	,	,454.85	,482.08	,249.62	,235.63	,164.00	,140.30	,110.10	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
