数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,7589.96	,7534.24	,7514.45	,7478.40	,7442.63	,7520.23	,7556.40	,7639.90	,
粮食作物播种面积 (千公顷) 	,	,	,5458.94	,5444.43	,5427.54	,5405.64	,5381.48	,5475.93	,5527.31	,5583.28	,
夏收粮食播种面积 (千公顷) 	,	,	,	,2470.76	,2461.62	,2444.18	,2451.05	,2501.49	,2514.20	,2551.37	,
秋收粮食播种面积 (千公顷) 	,	,	,	,2973.67	,2965.92	,2961.46	,2930.43	,2974.44	,3013.11	,3031.90	,
谷物播种面积 (千公顷) 	,	,	,5135.07	,5129.12	,5119.85	,5095.33	,5079.51	,5183.22	,5251.80	,5305.31	,
稻谷播种面积 (千公顷) 	,	,	,2221.02	,2221.42	,2219.20	,2202.84	,2184.29	,2214.72	,2237.72	,2256.26	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,2221.42	,2219.20	,2202.84	,2184.29	,2214.72	,2237.72	,2256.26	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,2389.52	,2377.27	,2357.87	,2338.89	,2346.93	,2403.96	,2412.75	,2436.81	,
冬小麦播种面积 (千公顷) 	,	,	,	,2377.27	,2357.87	,2338.89	,2346.93	,2403.96	,2412.75	,2436.81	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,488.31	,495.04	,500.60	,509.76	,504.24	,515.77	,543.21	,540.17	,
谷子播种面积 (千公顷) 	,	,	,	,0.02	,0.09	,0.18	,0.10	,0.10	,0.14	,0.15	,
高粱播种面积 (千公顷) 	,	,	,	,1.68	,0.65	,0.26	,0.23	,0.26	,0.18	,0.22	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,48.41	,57.80	,71.70	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,45.02	,53.10	,67.21	,
豆类播种面积 (千公顷) 	,	,	,290.45	,280.12	,267.89	,271.25	,265.99	,257.05	,249.71	,251.24	,
大豆播种面积 (千公顷) 	,	,	,225.36	,210.38	,192.79	,196.39	,191.79	,193.75	,194.40	,196.89	,
绿豆播种面积 (千公顷) 	,	,	,	,2.41	,3.19	,3.28	,3.76	,3.98	,2.04	,2.07	,
红小豆播种面积 (千公顷) 	,	,	,	,6.30	,7.62	,7.80	,8.29	,8.22	,6.29	,6.37	,
薯类播种面积 (千公顷) 	,	,	,33.42	,35.19	,39.80	,39.07	,35.98	,35.66	,25.80	,26.73	,
马铃薯播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
油料播种面积 (千公顷) 	,	,	,311.54	,288.75	,296.39	,278.67	,283.16	,262.76	,267.58	,283.40	,
花生播种面积 (千公顷) 	,	,	,95.13	,94.22	,97.20	,99.70	,103.53	,98.38	,88.15	,90.14	,
油菜籽播种面积 (千公顷) 	,	,	,208.89	,188.59	,193.12	,172.91	,173.54	,159.08	,175.27	,188.84	,
芝麻播种面积 (千公顷) 	,	,	,7.20	,5.80	,5.94	,5.86	,5.77	,5.14	,4.00	,4.33	,
葵花籽播种面积 (千公顷) 	,	,	,	,0.11	,0.10	,0.12	,0.12	,0.16	,0.17	,0.09	,
胡麻籽播种面积 (千公顷) 	,	,	,	,0.00	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,3.46	,4.15	,5.78	,8.35	,11.60	,16.60	,21.00	,31.70	,
麻类播种面积 (千公顷) 	,	,	,0.18	,0.19	,0.20	,0.21	,0.21	,0.24	,0.28	,0.30	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.01	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.02	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.24	,0.26	,0.30	,
糖料播种面积 (千公顷) 	,	,	,2.95	,3.12	,3.22	,3.42	,3.60	,0.87	,0.82	,0.82	,
甘蔗播种面积 (千公顷) 	,	,	,0.57	,0.64	,0.72	,0.81	,0.87	,0.85	,0.80	,0.80	,
甜菜播种面积 (千公顷) 	,	,	,2.38	,2.49	,2.50	,2.61	,2.73	,0.02	,0.02	,0.01	,
烟叶播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.00	,	,	,0.00	,0.00	,0.00	,
烤烟播种面积 (千公顷) 	,	,	,	,0.00	,0.00	,	,	,0.00	,0.00	,0.00	,
蔬菜播种面积 (千公顷) 	,	,	,1484.34	,1471.32	,1453.00	,1443.80	,1424.47	,1424.99	,1407.63	,1430.36	,
药材播种面积 (千公顷) 	,	,	,	,17.66	,17.50	,18.03	,16.94	,13.99	,13.67	,14.83	,
其他农作物播种面积 (千公顷) 	,	,	,	,145.55	,153.93	,161.05	,157.85	,160.94	,156.04	,138.15	,
青饲料播种面积 (千公顷) 	,	,	,	,24.71	,26.72	,26.16	,26.45	,27.27	,29.97	,28.11	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
