数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,5797.01	,5730.55	,5672.94	,5644.37	,5521.18	,5555.81	,5638.46	,5668.88	,
粮食作物播种面积 (千公顷) 	,	,	,3774.29	,3776.36	,3772.84	,3772.38	,3665.14	,3721.33	,3786.32	,3807.23	,
夏收粮食播种面积 (千公顷) 	,	,	,	,72.76	,70.64	,70.40	,70.20	,70.20	,69.54	,68.31	,
秋收粮食播种面积 (千公顷) 	,	,	,	,2483.47	,2483.40	,2484.45	,2499.07	,2443.53	,2437.57	,2442.82	,
谷物播种面积 (千公顷) 	,	,	,3463.77	,3477.56	,3490.04	,3510.03	,3413.17	,3491.67	,3561.07	,3583.37	,
稻谷播种面积 (千公顷) 	,	,	,3383.88	,3403.00	,3419.20	,3441.83	,3346.20	,3436.20	,3504.69	,3527.07	,
早稻播种面积 (千公顷) 	,	,	,	,1220.13	,1218.80	,1217.53	,1095.87	,1207.60	,1279.21	,1296.10	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,936.00	,940.00	,945.80	,1040.87	,909.80	,858.65	,845.23	,
双季晚稻播种面积 (千公顷) 	,	,	,	,1246.87	,1260.40	,1278.50	,1209.47	,1318.80	,1366.83	,1385.75	,
小麦播种面积 (千公顷) 	,	,	,11.25	,12.00	,13.60	,14.40	,14.40	,14.62	,14.51	,14.39	,
冬小麦播种面积 (千公顷) 	,	,	,	,12.00	,13.60	,14.40	,14.40	,14.62	,14.51	,14.39	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,60.60	,55.60	,50.90	,47.60	,46.50	,35.00	,35.65	,35.62	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,3.60	,3.20	,2.60	,2.53	,2.40	,2.48	,2.53	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,3.45	,3.74	,3.76	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.25	,0.30	,0.30	,
豆类播种面积 (千公顷) 	,	,	,155.70	,147.34	,141.40	,142.65	,130.43	,127.64	,123.33	,122.36	,
大豆播种面积 (千公顷) 	,	,	,112.70	,109.20	,106.00	,113.50	,108.80	,106.23	,102.11	,101.91	,
绿豆播种面积 (千公顷) 	,	,	,	,4.00	,3.80	,3.35	,3.33	,3.20	,3.25	,3.17	,
红小豆播种面积 (千公顷) 	,	,	,	,0.50	,0.40	,0.30	,0.30	,0.30	,0.23	,0.20	,
薯类播种面积 (千公顷) 	,	,	,154.82	,151.46	,141.40	,119.70	,121.53	,102.02	,101.92	,101.50	,
马铃薯播种面积 (千公顷) 	,	,	,	,26.86	,25.60	,30.30	,37.60	,37.42	,36.99	,36.55	,
油料播种面积 (千公顷) 	,	,	,808.24	,737.48	,713.38	,678.43	,677.08	,680.12	,698.99	,698.15	,
花生播种面积 (千公顷) 	,	,	,182.31	,180.97	,177.19	,171.45	,165.14	,167.27	,162.46	,160.45	,
油菜籽播种面积 (千公顷) 	,	,	,592.77	,524.60	,504.51	,475.43	,482.29	,483.00	,509.06	,510.64	,
芝麻播种面积 (千公顷) 	,	,	,32.75	,31.53	,31.51	,31.29	,29.14	,29.83	,27.47	,27.06	,
葵花籽播种面积 (千公顷) 	,	,	,	,0.39	,0.01	,0.01	,0.01	,0.01	,0.00	,0.00	,
胡麻籽播种面积 (千公顷) 	,	,	,	,0.01	,0.01	,0.01	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,19.38	,19.72	,11.03	,35.00	,42.70	,46.69	,69.00	,67.04	,
麻类播种面积 (千公顷) 	,	,	,2.39	,2.59	,2.33	,3.43	,3.60	,3.62	,3.67	,3.78	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.01	,0.02	,0.02	,0.03	,0.10	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,3.60	,3.63	,3.67	,
糖料播种面积 (千公顷) 	,	,	,13.33	,13.66	,13.40	,13.57	,13.95	,14.34	,14.64	,14.72	,
甘蔗播种面积 (千公顷) 	,	,	,13.33	,13.66	,13.40	,13.57	,13.95	,14.34	,14.64	,14.72	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,13.71	,13.37	,12.69	,13.23	,12.30	,17.42	,25.69	,31.26	,
烤烟播种面积 (千公顷) 	,	,	,13.62	,13.25	,12.56	,12.81	,11.88	,16.83	,25.07	,30.16	,
蔬菜播种面积 (千公顷) 	,	,	,713.80	,704.36	,686.34	,661.04	,644.36	,632.89	,619.30	,607.40	,
药材播种面积 (千公顷) 	,	,	,	,114.57	,107.93	,103.54	,82.34	,54.92	,35.50	,24.24	,
其他农作物播种面积 (千公顷) 	,	,	,	,261.75	,265.13	,276.99	,295.48	,301.86	,304.43	,335.57	,
青饲料播种面积 (千公顷) 	,	,	,	,64.68	,60.02	,69.61	,77.59	,76.00	,71.75	,76.67	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
