数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,8098.23	,8113.99	,8097.20	,8089.44	,8132.69	,8197.13	,8381.65	,8467.51	,
粮食作物播种面积 (千公顷) 	,	,	,6455.19	,6443.78	,6428.61	,6388.80	,6469.17	,6538.68	,6658.52	,6791.38	,
夏收粮食播种面积 (千公顷) 	,	,	,	,2271.64	,2270.82	,2243.18	,2346.68	,2385.07	,2400.53	,2408.27	,
秋收粮食播种面积 (千公顷) 	,	,	,	,4172.14	,4157.79	,4145.62	,4122.49	,4153.61	,4257.99	,4383.11	,
谷物播种面积 (千公顷) 	,	,	,6083.31	,6097.23	,6109.29	,6035.97	,6121.66	,6196.52	,6356.75	,6490.56	,
稻谷播种面积 (千公顷) 	,	,	,73.49	,76.59	,78.35	,78.72	,78.17	,78.43	,75.02	,76.32	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,76.59	,78.35	,78.72	,78.17	,78.43	,75.02	,76.32	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,2247.67	,2247.29	,2246.58	,2216.92	,2322.50	,2357.19	,2373.36	,2389.75	,
冬小麦播种面积 (千公顷) 	,	,	,	,2219.33	,2233.00	,2203.48	,2307.07	,2347.93	,2364.09	,2380.04	,
春小麦播种面积 (千公顷) 	,	,	,	,27.95	,13.58	,13.44	,15.43	,9.26	,9.27	,9.72	,
玉米播种面积 (千公顷) 	,	,	,3442.24	,3455.87	,3454.11	,3417.10	,3408.20	,3437.74	,3544.06	,3696.14	,
谷子播种面积 (千公顷) 	,	,	,	,114.46	,124.15	,129.48	,115.60	,118.37	,127.20	,130.03	,
高粱播种面积 (千公顷) 	,	,	,	,33.61	,28.07	,20.74	,10.80	,9.78	,2.41	,2.02	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,195.01	,234.69	,196.30	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.01	,0.15	,0.24	,
豆类播种面积 (千公顷) 	,	,	,138.90	,125.03	,96.71	,122.13	,125.08	,115.97	,90.12	,89.06	,
大豆播种面积 (千公顷) 	,	,	,113.60	,98.31	,66.77	,89.48	,93.46	,87.57	,70.10	,68.73	,
绿豆播种面积 (千公顷) 	,	,	,	,7.21	,8.99	,10.32	,10.82	,10.46	,6.88	,6.64	,
红小豆播种面积 (千公顷) 	,	,	,	,3.68	,4.58	,4.56	,4.87	,4.62	,3.46	,3.55	,
薯类播种面积 (千公顷) 	,	,	,232.99	,221.52	,222.61	,230.70	,222.43	,226.19	,211.65	,211.76	,
马铃薯播种面积 (千公顷) 	,	,	,	,155.20	,148.84	,156.90	,154.17	,163.13	,162.83	,162.60	,
油料播种面积 (千公顷) 	,	,	,343.39	,334.59	,350.26	,355.37	,364.49	,367.88	,394.59	,383.15	,
花生播种面积 (千公顷) 	,	,	,232.94	,232.38	,247.29	,246.05	,250.21	,258.08	,266.79	,270.64	,
油菜籽播种面积 (千公顷) 	,	,	,36.30	,31.24	,31.99	,31.81	,19.85	,19.42	,24.52	,19.48	,
芝麻播种面积 (千公顷) 	,	,	,1.81	,1.63	,1.87	,1.75	,1.38	,1.62	,1.41	,1.49	,
葵花籽播种面积 (千公顷) 	,	,	,	,44.49	,42.48	,46.76	,50.23	,51.75	,62.08	,60.14	,
胡麻籽播种面积 (千公顷) 	,	,	,	,23.53	,25.46	,27.98	,41.61	,35.66	,38.09	,30.18	,
棉花播种面积 (千公顷) 	,	,	,86.04	,116.14	,139.77	,189.20	,203.89	,210.39	,220.60	,230.86	,
麻类播种面积 (千公顷) 	,	,	,0.13	,	,0.00	,0.00	,0.02	,0.01	,0.00	,0.00	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
