数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,14747.14	,14711.51	,14705.13	,14687.99	,14713.98	,14783.35	,14732.53	,14902.72	,
粮食作物播种面积 (千公顷) 	,	,	,10785.29	,10778.35	,10772.31	,10738.79	,10734.54	,10906.08	,10915.13	,11219.55	,
夏收粮食播种面积 (千公顷) 	,	,	,	,5683.76	,5692.14	,5676.28	,5718.65	,5770.11	,5741.31	,5730.24	,
秋收粮食播种面积 (千公顷) 	,	,	,	,5094.59	,5080.17	,5062.51	,5015.89	,5135.97	,5173.82	,5489.31	,
谷物播种面积 (千公顷) 	,	,	,10180.95	,10183.58	,10194.47	,10168.26	,10193.87	,10367.18	,10412.61	,10608.13	,
稻谷播种面积 (千公顷) 	,	,	,590.75	,601.70	,608.23	,617.07	,616.60	,620.41	,615.03	,614.09	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,601.70	,608.23	,617.07	,616.60	,620.41	,615.03	,614.09	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,5686.07	,5682.45	,5690.69	,5673.67	,5706.65	,5739.85	,5714.64	,5704.91	,
冬小麦播种面积 (千公顷) 	,	,	,	,5682.45	,5690.69	,5673.67	,5706.65	,5739.85	,5714.64	,5704.91	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,3864.37	,3857.52	,3853.33	,3818.01	,3801.33	,3918.96	,3998.94	,4210.46	,
谷子播种面积 (千公顷) 	,	,	,	,25.94	,27.97	,37.33	,36.62	,36.36	,36.00	,38.67	,
高粱播种面积 (千公顷) 	,	,	,	,15.49	,12.73	,19.33	,20.67	,21.34	,21.33	,14.67	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,30.26	,26.67	,25.33	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,30.26	,26.67	,25.33	,
豆类播种面积 (千公顷) 	,	,	,403.01	,390.97	,364.34	,406.13	,428.00	,424.00	,389.85	,366.40	,
大豆播种面积 (千公顷) 	,	,	,380.80	,363.56	,333.15	,375.17	,394.67	,385.55	,345.17	,341.06	,
绿豆播种面积 (千公顷) 	,	,	,	,22.30	,25.49	,24.43	,33.33	,38.45	,40.00	,25.33	,
红小豆播种面积 (千公顷) 	,	,	,	,2.51	,2.88	,3.01	,	,	,0.00	,0.00	,
薯类播种面积 (千公顷) 	,	,	,201.33	,203.80	,213.50	,164.40	,112.67	,114.90	,112.67	,245.03	,
马铃薯播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
油料播种面积 (千公顷) 	,	,	,1610.25	,1592.45	,1604.37	,1597.53	,1533.93	,1461.39	,1397.49	,1302.35	,
花生播种面积 (千公顷) 	,	,	,1307.04	,1287.12	,1292.93	,1261.84	,1223.11	,1203.18	,1151.93	,1051.03	,
油菜籽播种面积 (千公顷) 	,	,	,194.20	,187.45	,189.89	,176.99	,171.51	,145.02	,155.69	,162.19	,
芝麻播种面积 (千公顷) 	,	,	,102.90	,111.75	,115.23	,117.95	,114.73	,108.67	,84.07	,83.15	,
葵花籽播种面积 (千公顷) 	,	,	,	,6.13	,6.29	,6.27	,5.37	,4.52	,5.80	,5.98	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,6.12	,10.85	,11.50	,16.20	,33.80	,36.68	,40.00	,50.03	,
麻类播种面积 (千公顷) 	,	,	,0.71	,1.14	,1.35	,1.59	,2.82	,3.00	,3.29	,4.11	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,1.57	,2.82	,2.95	,3.24	,3.88	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.01	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,1.10	,1.21	,1.41	,1.51	,1.62	,2.03	,2.31	,2.42	,
甘蔗播种面积 (千公顷) 	,	,	,1.10	,1.21	,1.41	,1.51	,1.62	,2.03	,2.31	,2.42	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,73.19	,75.98	,76.38	,80.52	,86.50	,94.88	,103.95	,109.21	,
烤烟播种面积 (千公顷) 	,	,	,71.66	,74.24	,76.19	,79.75	,84.11	,93.42	,102.79	,106.45	,
蔬菜播种面积 (千公顷) 	,	,	,1799.40	,1782.50	,1758.07	,1753.78	,1732.94	,1721.09	,1736.14	,1682.12	,
药材播种面积 (千公顷) 	,	,	,	,168.29	,159.55	,159.52	,153.59	,132.44	,112.19	,99.81	,
其他农作物播种面积 (千公顷) 	,	,	,	,13.60	,36.77	,37.48	,125.64	,118.07	,103.80	,120.77	,
青饲料播种面积 (千公顷) 	,	,	,	,11.10	,7.72	,5.74	,4.89	,6.87	,6.30	,3.40	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
