数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,2041.38	,2027.16	,2014.59	,2014.50	,1999.62	,1978.68	,1981.11	,1946.46	,
粮食作物播种面积 (千公顷) 	,	,	,1024.68	,1020.45	,1006.71	,993.40	,977.44	,975.73	,977.19	,951.36	,
夏收粮食播种面积 (千公顷) 	,	,	,	,183.58	,166.16	,138.62	,127.38	,129.75	,162.28	,145.32	,
秋收粮食播种面积 (千公顷) 	,	,	,	,723.78	,738.57	,753.56	,751.24	,748.88	,728.48	,719.50	,
谷物播种面积 (千公顷) 	,	,	,838.44	,827.46	,817.30	,804.25	,791.27	,789.90	,784.86	,757.99	,
稻谷播种面积 (千公顷) 	,	,	,648.98	,629.19	,633.36	,636.02	,627.52	,651.07	,620.68	,613.09	,
早稻播种面积 (千公顷) 	,	,	,	,113.09	,101.99	,101.22	,98.81	,97.10	,86.43	,86.53	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,416.11	,440.97	,445.21	,425.73	,454.94	,439.58	,433.94	,
双季晚稻播种面积 (千公顷) 	,	,	,	,99.99	,90.41	,89.60	,102.98	,99.03	,94.67	,92.62	,
小麦播种面积 (千公顷) 	,	,	,152.62	,130.64	,114.81	,93.36	,82.66	,85.36	,103.67	,85.32	,
冬小麦播种面积 (千公顷) 	,	,	,	,130.64	,114.81	,93.36	,82.66	,85.36	,103.67	,85.32	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,27.99	,55.40	,57.97	,63.28	,76.42	,49.34	,51.88	,49.94	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,4.13	,8.62	,9.64	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.38	,5.12	,5.76	,
豆类播种面积 (千公顷) 	,	,	,106.93	,110.48	,108.04	,115.81	,118.73	,113.14	,108.25	,114.38	,
大豆播种面积 (千公顷) 	,	,	,81.00	,77.78	,75.95	,82.75	,90.16	,85.21	,80.41	,83.82	,
绿豆播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
红小豆播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
薯类播种面积 (千公顷) 	,	,	,79.31	,82.51	,81.37	,73.35	,67.44	,72.68	,84.08	,78.99	,
马铃薯播种面积 (千公顷) 	,	,	,	,27.17	,27.45	,23.54	,32.81	,34.29	,44.99	,41.87	,
油料播种面积 (千公顷) 	,	,	,160.44	,144.94	,141.90	,137.27	,140.38	,128.45	,122.29	,126.00	,
花生播种面积 (千公顷) 	,	,	,16.26	,16.00	,16.30	,17.01	,16.63	,15.84	,17.14	,17.33	,
油菜籽播种面积 (千公顷) 	,	,	,137.96	,124.14	,120.10	,113.73	,116.76	,104.87	,96.15	,99.33	,
芝麻播种面积 (千公顷) 	,	,	,5.94	,4.59	,4.86	,5.18	,5.45	,5.12	,0.00	,0.00	,
葵花籽播种面积 (千公顷) 	,	,	,	,0.01	,0.03	,0.10	,	,0.00	,0.00	,0.67	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,2.43	,3.43	,4.00	,4.81	,5.62	,5.71	,4.53	,5.62	,
麻类播种面积 (千公顷) 	,	,	,0.01	,0.01	,0.02	,0.02	,0.03	,0.04	,0.04	,0.06	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.00	,0.02	,0.02	,0.03	,0.05	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.01	,0.01	,0.01	,
糖料播种面积 (千公顷) 	,	,	,5.95	,6.31	,6.66	,7.17	,6.92	,6.15	,5.71	,6.27	,
甘蔗播种面积 (千公顷) 	,	,	,5.95	,6.31	,6.66	,7.17	,6.92	,6.15	,5.71	,6.27	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,0.00	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,0.37	,0.39	,0.41	,0.50	,0.51	,0.54	,0.61	,0.63	,
烤烟播种面积 (千公顷) 	,	,	,0.15	,0.16	,0.18	,0.12	,	,0.00	,0.00	,0.00	,
蔬菜播种面积 (千公顷) 	,	,	,671.35	,670.76	,664.21	,659.62	,645.83	,638.98	,644.09	,633.21	,
药材播种面积 (千公顷) 	,	,	,	,46.55	,47.30	,50.41	,53.49	,50.32	,48.60	,43.01	,
其他农作物播种面积 (千公顷) 	,	,	,	,50.60	,55.68	,64.64	,70.61	,73.00	,75.90	,78.46	,
青饲料播种面积 (千公顷) 	,	,	,	,5.53	,5.72	,4.87	,4.48	,4.69	,4.83	,4.98	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
