数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,702.36	,687.18	,684.78	,676.86	,676.24	,712.94	,709.44	,731.90	,
粮食作物播种面积 (千公顷) 	,	,	,273.59	,273.01	,271.44	,270.73	,272.65	,286.11	,282.48	,292.03	,
夏收粮食播种面积 (千公顷) 	,	,	,	,24.01	,23.66	,22.12	,22.73	,20.62	,21.27	,23.00	,
秋收粮食播种面积 (千公顷) 	,	,	,	,136.68	,136.50	,138.66	,135.52	,138.56	,136.76	,138.72	,
谷物播种面积 (千公顷) 	,	,	,228.68	,228.69	,226.61	,227.53	,229.73	,246.10	,246.68	,253.58	,
稻谷播种面积 (千公顷) 	,	,	,228.68	,228.69	,226.61	,227.53	,229.70	,246.10	,246.65	,253.33	,
早稻播种面积 (千公顷) 	,	,	,	,112.32	,111.27	,109.95	,114.40	,126.93	,124.46	,130.32	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
双季晚稻播种面积 (千公顷) 	,	,	,	,116.37	,115.34	,117.58	,115.30	,119.17	,122.20	,123.01	,
小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
冬小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.03	,0.25	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
豆类播种面积 (千公顷) 	,	,	,4.28	,4.68	,5.09	,5.31	,5.22	,5.96	,5.51	,6.17	,
大豆播种面积 (千公顷) 	,	,	,1.77	,1.57	,1.82	,2.90	,1.92	,2.01	,2.10	,2.33	,
绿豆播种面积 (千公顷) 	,	,	,	,0.29	,0.26	,0.20	,0.15	,0.18	,0.19	,0.16	,
红小豆播种面积 (千公顷) 	,	,	,	,0.31	,0.29	,0.41	,0.31	,0.35	,0.38	,0.36	,
薯类播种面积 (千公顷) 	,	,	,40.63	,39.65	,39.73	,37.89	,37.70	,34.05	,30.29	,32.29	,
马铃薯播种面积 (千公顷) 	,	,	,	,	,0.05	,0.97	,0.06	,	,0.09	,0.00	,
油料播种面积 (千公顷) 	,	,	,30.83	,29.60	,30.47	,30.65	,31.60	,31.56	,32.96	,34.32	,
花生播种面积 (千公顷) 	,	,	,30.18	,28.85	,29.73	,29.88	,30.60	,30.58	,32.06	,33.40	,
油菜籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
芝麻播种面积 (千公顷) 	,	,	,0.65	,0.75	,0.73	,0.77	,1.01	,0.98	,0.89	,0.92	,
葵花籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.02	,
麻类播种面积 (千公顷) 	,	,	,0.00	,	,0.00	,	,0.01	,0.00	,0.00	,0.08	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,0.01	,0.00	,0.00	,0.08	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,13.29	,13.71	,16.76	,17.93	,18.45	,20.77	,21.23	,27.04	,
甘蔗播种面积 (千公顷) 	,	,	,13.29	,13.71	,16.76	,17.93	,18.45	,20.77	,21.23	,27.04	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,0.33	,0.27	,0.22	,0.13	,0.10	,0.08	,0.14	,0.13	,
烤烟播种面积 (千公顷) 	,	,	,0.33	,0.27	,0.22	,0.13	,0.10	,0.00	,0.14	,0.13	,
蔬菜播种面积 (千公顷) 	,	,	,275.70	,267.81	,262.90	,258.98	,258.77	,257.73	,252.89	,257.40	,
药材播种面积 (千公顷) 	,	,	,	,22.59	,19.48	,16.48	,14.95	,14.46	,12.75	,10.25	,
其他农作物播种面积 (千公顷) 	,	,	,	,33.36	,41.03	,42.79	,44.93	,69.58	,75.14	,79.74	,
青饲料播种面积 (千公顷) 	,	,	,	,0.51	,0.42	,0.28	,0.26	,0.48	,0.60	,0.43	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
