数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,8309.25	,8191.92	,8109.24	,7974.39	,7815.89	,7952.90	,7956.14	,7908.50	,
粮食作物播种面积 (千公顷) 	,	,	,4706.97	,4688.96	,4685.98	,4645.27	,4608.60	,4847.01	,4853.00	,4816.14	,
夏收粮食播种面积 (千公顷) 	,	,	,	,1293.15	,1305.84	,1276.06	,1253.74	,1321.33	,1363.19	,1344.81	,
秋收粮食播种面积 (千公顷) 	,	,	,	,3269.48	,3259.93	,3246.78	,3212.33	,3361.15	,3315.76	,3246.59	,
谷物播种面积 (千公顷) 	,	,	,4103.53	,4092.96	,4103.11	,4078.32	,4046.03	,4291.79	,4331.80	,4312.00	,
稻谷播种面积 (千公顷) 	,	,	,2274.16	,2263.96	,2272.59	,2280.73	,2286.76	,2391.00	,2368.07	,2358.67	,
早稻播种面积 (千公顷) 	,	,	,	,126.32	,120.22	,122.43	,142.53	,164.53	,174.04	,224.74	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,1995.73	,2019.15	,1998.97	,1977.02	,2034.30	,1991.65	,1920.49	,
双季晚稻播种面积 (千公顷) 	,	,	,	,141.90	,133.21	,159.33	,167.20	,192.17	,202.38	,213.43	,
小麦播种面积 (千公顷) 	,	,	,1038.39	,1031.26	,1052.06	,1031.38	,1017.74	,1104.96	,1153.22	,1140.67	,
冬小麦播种面积 (千公顷) 	,	,	,	,1031.26	,1052.06	,1031.38	,1017.74	,1104.96	,1153.22	,1140.67	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,765.30	,775.82	,762.71	,751.99	,727.53	,781.20	,794.78	,797.33	,
谷子播种面积 (千公顷) 	,	,	,	,0.10	,0.12	,0.10	,0.11	,0.00	,0.10	,0.12	,
高粱播种面积 (千公顷) 	,	,	,	,9.65	,5.99	,5.07	,4.31	,4.25	,5.03	,5.33	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,10.38	,10.60	,9.88	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,8.29	,8.16	,7.58	,
豆类播种面积 (千公顷) 	,	,	,271.81	,262.17	,254.05	,247.72	,240.10	,247.09	,238.47	,227.79	,
大豆播种面积 (千公顷) 	,	,	,242.23	,229.87	,223.77	,219.72	,211.72	,219.77	,212.34	,202.25	,
绿豆播种面积 (千公顷) 	,	,	,	,7.64	,7.69	,7.25	,6.27	,6.88	,4.51	,4.37	,
红小豆播种面积 (千公顷) 	,	,	,	,2.99	,2.94	,3.06	,2.90	,2.85	,1.77	,1.77	,
薯类播种面积 (千公顷) 	,	,	,331.63	,333.83	,328.82	,319.23	,322.47	,308.13	,282.72	,276.35	,
