数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,8714.95	,8591.54	,8504.26	,8400.13	,8122.79	,8111.09	,8321.97	,8341.50	,
粮食作物播种面积 (千公顷) 	,	,	,4763.48	,4765.52	,4758.37	,4754.75	,4616.38	,4747.90	,4978.95	,5010.66	,
夏收粮食播种面积 (千公顷) 	,	,	,	,112.64	,113.87	,106.31	,102.46	,123.70	,135.94	,126.19	,
秋收粮食播种面积 (千公顷) 	,	,	,	,3440.11	,3424.90	,3422.71	,3419.32	,3386.00	,3394.81	,3397.17	,
谷物播种面积 (千公顷) 	,	,	,4395.93	,4402.81	,4411.26	,4420.52	,4285.49	,4411.15	,4650.56	,4689.54	,
稻谷播种面积 (千公顷) 	,	,	,3946.99	,3967.67	,3971.10	,3993.85	,3855.20	,4009.00	,4238.71	,4277.58	,
早稻播种面积 (千公顷) 	,	,	,	,1212.77	,1219.60	,1225.73	,1094.60	,1238.20	,1448.20	,1487.30	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,1481.90	,1479.20	,1476.10	,1602.10	,1472.50	,1291.28	,1262.98	,
双季晚稻播种面积 (千公顷) 	,	,	,	,1273.00	,1272.30	,1292.02	,1158.50	,1298.30	,1499.23	,1527.30	,
小麦播种面积 (千公顷) 	,	,	,22.70	,22.38	,23.36	,23.25	,22.37	,23.35	,28.34	,22.79	,
冬小麦播种面积 (千公顷) 	,	,	,	,22.38	,23.36	,23.25	,22.37	,23.35	,28.34	,22.79	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,406.98	,393.58	,397.60	,384.38	,386.60	,359.20	,365.81	,370.47	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,9.13	,8.97	,8.77	,10.70	,9.60	,6.30	,6.10	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,10.00	,11.40	,12.60	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,1.40	,1.40	,1.50	,
豆类播种面积 (千公顷) 	,	,	,178.17	,170.62	,155.95	,150.78	,149.19	,148.19	,141.01	,137.63	,
大豆播种面积 (千公顷) 	,	,	,139.73	,132.10	,117.80	,114.66	,113.30	,106.50	,99.71	,98.53	,
绿豆播种面积 (千公顷) 	,	,	,	,11.22	,11.18	,11.07	,11.53	,11.60	,10.70	,10.10	,
红小豆播种面积 (千公顷) 	,	,	,	,1.17	,1.19	,1.18	,1.23	,1.22	,1.10	,0.80	,
薯类播种面积 (千公顷) 	,	,	,189.39	,192.09	,191.16	,183.45	,181.70	,188.56	,187.38	,183.49	,
马铃薯播种面积 (千公顷) 	,	,	,	,62.49	,63.06	,57.53	,55.30	,69.86	,75.20	,71.60	,
油料播种面积 (千公顷) 	,	,	,1614.83	,1518.19	,1479.83	,1453.50	,1365.53	,1344.69	,1311.61	,1299.79	,
花生播种面积 (千公顷) 	,	,	,118.90	,115.36	,113.99	,112.70	,110.91	,109.23	,106.14	,104.33	,
油菜籽播种面积 (千公顷) 	,	,	,1481.38	,1388.56	,1351.55	,1326.45	,1240.98	,1222.22	,1188.91	,1176.16	,
芝麻播种面积 (千公顷) 	,	,	,11.66	,11.41	,11.43	,11.48	,11.10	,10.86	,10.49	,11.66	,
葵花籽播种面积 (千公顷) 	,	,	,	,1.66	,1.66	,1.65	,1.32	,1.33	,1.27	,1.20	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.61	,0.62	,
