数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,4139.59	,4061.94	,3997.94	,3931.82	,3831.57	,3773.55	,3752.03	,3749.20	,
粮食作物播种面积 (千公顷) 	,	,	,2710.93	,2699.76	,2676.76	,2638.29	,2581.11	,2645.25	,2647.16	,2684.24	,
夏收粮食播种面积 (千公顷) 	,	,	,	,883.13	,867.18	,876.93	,881.34	,900.74	,871.17	,878.57	,
秋收粮食播种面积 (千公顷) 	,	,	,	,1816.63	,1809.58	,1761.36	,1699.77	,1744.51	,1775.99	,1805.67	,
谷物播种面积 (千公顷) 	,	,	,1985.72	,1964.19	,1929.95	,1899.83	,1880.83	,1937.01	,1953.96	,2003.15	,
稻谷播种面积 (千公顷) 	,	,	,2.29	,2.49	,3.13	,3.39	,3.59	,3.82	,4.04	,4.19	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,2.49	,3.13	,3.39	,3.59	,3.82	,4.04	,4.19	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,740.15	,739.49	,711.27	,708.72	,739.94	,775.56	,766.47	,774.69	,
冬小麦播种面积 (千公顷) 	,	,	,	,524.20	,525.84	,521.45	,531.75	,553.73	,569.09	,571.21	,
春小麦播种面积 (千公顷) 	,	,	,	,215.29	,185.43	,187.26	,208.19	,221.83	,197.38	,203.48	,
玉米播种面积 (千公顷) 	,	,	,1099.17	,1074.47	,1051.82	,1000.81	,987.92	,1012.74	,1040.97	,1056.73	,
谷子播种面积 (千公顷) 	,	,	,	,9.54	,12.02	,12.69	,11.83	,10.31	,9.72	,9.96	,
高粱播种面积 (千公顷) 	,	,	,	,6.76	,7.12	,6.98	,5.99	,8.16	,14.14	,12.35	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,126.43	,118.61	,145.23	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,24.89	,20.95	,20.77	,
豆类播种面积 (千公顷) 	,	,	,156.63	,159.47	,160.74	,163.81	,141.55	,137.51	,127.89	,127.12	,
大豆播种面积 (千公顷) 	,	,	,62.00	,58.81	,47.49	,46.95	,41.40	,44.99	,64.42	,64.07	,
绿豆播种面积 (千公顷) 	,	,	,	,0.69	,1.32	,1.05	,1.40	,0.67	,0.35	,0.19	,
红小豆播种面积 (千公顷) 	,	,	,	,1.92	,3.22	,3.14	,3.23	,2.93	,2.07	,1.95	,
薯类播种面积 (千公顷) 	,	,	,568.59	,576.11	,586.06	,574.65	,558.72	,570.73	,565.31	,553.97	,
马铃薯播种面积 (千公顷) 	,	,	,	,576.11	,586.06	,574.65	,558.72	,570.73	,565.31	,553.97	,
油料播种面积 (千公顷) 	,	,	,277.61	,269.90	,262.71	,276.05	,289.99	,325.82	,346.48	,358.59	,
花生播种面积 (千公顷) 	,	,	,0.15	,0.31	,0.37	,0.44	,0.54	,0.55	,0.59	,0.62	,
油菜籽播种面积 (千公顷) 	,	,	,160.70	,152.77	,144.00	,148.84	,164.18	,174.91	,198.53	,194.85	,
芝麻播种面积 (千公顷) 	,	,	,	,0.00	,0.00	,0.00	,	,0.00	,0.00	,0.00	,
葵花籽播种面积 (千公顷) 	,	,	,	,24.65	,29.72	,34.80	,32.72	,50.75	,62.46	,82.31	,
胡麻籽播种面积 (千公顷) 	,	,	,	,73.68	,74.42	,76.99	,79.91	,81.85	,66.35	,66.34	,
棉花播种面积 (千公顷) 	,	,	,20.41	,20.31	,16.23	,16.59	,19.33	,21.53	,19.40	,15.22	,
麻类播种面积 (千公顷) 	,	,	,0.36	,0.39	,1.04	,1.61	,1.57	,1.58	,1.67	,1.65	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,1.58	,1.67	,1.65	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,2.35	,2.22	,2.63	,3.45	,4.14	,3.77	,4.29	,3.35	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,2.35	,2.22	,2.63	,3.45	,4.14	,3.77	,4.29	,3.35	,
烟叶播种面积 (千公顷) 	,	,	,1.66	,1.57	,1.60	,1.63	,1.70	,1.94	,1.50	,1.87	,
烤烟播种面积 (千公顷) 	,	,	,1.62	,1.50	,1.54	,1.58	,1.55	,1.80	,1.43	,1.82	,
蔬菜播种面积 (千公顷) 	,	,	,485.72	,453.52	,434.11	,401.77	,381.25	,352.57	,337.04	,323.53	,
药材播种面积 (千公顷) 	,	,	,	,298.56	,291.63	,286.84	,271.13	,234.24	,226.47	,218.52	,
其他农作物播种面积 (千公顷) 	,	,	,	,225.13	,229.31	,234.96	,217.50	,132.19	,116.80	,97.56	,
青饲料播种面积 (千公顷) 	,	,	,	,142.01	,144.96	,124.41	,116.87	,67.85	,58.39	,64.19	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
