数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,1712.25	,1682.14	,1651.87	,1631.27	,1599.29	,1577.31	,1549.34	,1548.80	,
粮食作物播种面积 (千公顷) 	,	,	,841.10	,837.62	,835.13	,834.43	,822.43	,833.51	,833.22	,832.83	,
夏收粮食播种面积 (千公顷) 	,	,	,	,55.45	,55.20	,55.34	,53.24	,50.48	,49.17	,49.04	,
秋收粮食播种面积 (千公顷) 	,	,	,	,684.77	,682.90	,681.40	,671.83	,677.56	,665.49	,644.73	,
谷物播种面积 (千公顷) 	,	,	,641.17	,638.61	,637.75	,639.17	,634.00	,653.23	,660.18	,661.96	,
稻谷播种面积 (千公顷) 	,	,	,601.11	,599.45	,599.35	,601.72	,599.23	,619.61	,628.59	,630.90	,
早稻播种面积 (千公顷) 	,	,	,	,97.39	,97.04	,97.70	,97.36	,105.48	,118.56	,139.05	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,252.32	,258.10	,258.43	,256.69	,262.71	,256.70	,247.41	,
双季晚稻播种面积 (千公顷) 	,	,	,	,249.74	,244.22	,245.59	,245.18	,251.42	,253.33	,244.44	,
小麦播种面积 (千公顷) 	,	,	,0.06	,0.06	,0.07	,0.08	,0.11	,0.19	,0.20	,0.21	,
冬小麦播种面积 (千公顷) 	,	,	,	,0.06	,0.07	,0.08	,0.11	,0.19	,0.20	,0.21	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,36.09	,34.73	,33.99	,33.05	,30.49	,28.79	,26.81	,26.20	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,0.03	,0.04	,0.06	,0.10	,0.09	,0.09	,0.09	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,4.55	,4.50	,4.56	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.04	,0.04	,0.04	,
豆类播种面积 (千公顷) 	,	,	,43.65	,43.11	,42.60	,42.40	,39.93	,37.92	,36.03	,35.69	,
大豆播种面积 (千公顷) 	,	,	,35.83	,35.15	,34.58	,34.36	,32.74	,31.06	,28.98	,28.70	,
绿豆播种面积 (千公顷) 	,	,	,	,0.89	,0.93	,0.95	,0.85	,0.70	,0.57	,0.56	,
红小豆播种面积 (千公顷) 	,	,	,	,0.40	,0.42	,0.39	,0.36	,0.32	,0.28	,0.27	,
薯类播种面积 (千公顷) 	,	,	,156.28	,155.89	,154.78	,152.86	,148.50	,142.37	,137.00	,135.17	,
马铃薯播种面积 (千公顷) 	,	,	,	,49.24	,49.34	,49.96	,49.23	,46.89	,45.56	,45.32	,
油料播种面积 (千公顷) 	,	,	,84.91	,81.38	,80.44	,79.31	,77.51	,75.42	,72.46	,73.46	,
花生播种面积 (千公顷) 	,	,	,75.50	,74.24	,73.74	,73.18	,71.51	,69.64	,67.08	,68.06	,
油菜籽播种面积 (千公顷) 	,	,	,9.06	,6.77	,6.34	,5.72	,5.61	,5.29	,4.90	,4.91	,
芝麻播种面积 (千公顷) 	,	,	,0.27	,0.28	,0.27	,0.26	,0.24	,0.24	,0.29	,0.30	,
葵花籽播种面积 (千公顷) 	,	,	,	,0.07	,0.07	,0.08	,0.09	,0.16	,0.19	,0.19	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,	,0.04	,0.04	,0.04	,0.05	,0.09	,	,0.11	,
麻类播种面积 (千公顷) 	,	,	,	,0.00	,0.00	,0.01	,0.01	,0.01	,0.01	,0.01	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.01	,0.01	,0.01	,0.01	,0.01	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,5.10	,5.17	,5.16	,4.90	,4.83	,4.90	,4.94	,5.29	,
甘蔗播种面积 (千公顷) 	,	,	,5.10	,5.17	,5.16	,4.90	,4.83	,4.90	,4.94	,5.29	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,62.95	,57.15	,49.08	,47.53	,50.19	,48.56	,52.74	,55.92	,
烤烟播种面积 (千公顷) 	,	,	,62.80	,57.05	,49.01	,47.47	,50.04	,48.43	,52.62	,55.73	,
蔬菜播种面积 (千公顷) 	,	,	,641.01	,627.23	,611.11	,596.98	,579.80	,558.33	,533.44	,530.31	,
药材播种面积 (千公顷) 	,	,	,	,28.32	,26.97	,25.43	,24.10	,21.25	,19.14	,17.67	,
其他农作物播种面积 (千公顷) 	,	,	,	,25.62	,24.38	,22.87	,21.10	,16.88	,15.66	,15.58	,
青饲料播种面积 (千公顷) 	,	,	,	,3.35	,3.35	,3.15	,3.23	,2.97	,3.17	,3.18	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
