数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,281.40	,277.24	,274.19	,272.08	,271.53	,270.38	,254.05	,263.15	,
粮食作物播种面积 (千公顷) 	,	,	,194.58	,192.59	,186.48	,182.31	,184.77	,184.68	,185.65	,188.45	,
夏收粮食播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋收粮食播种面积 (千公顷) 	,	,	,	,192.59	,186.48	,182.31	,184.77	,184.68	,185.65	,188.45	,
谷物播种面积 (千公顷) 	,	,	,188.40	,186.53	,179.80	,175.39	,178.50	,179.19	,180.01	,181.76	,
稻谷播种面积 (千公顷) 	,	,	,0.86	,0.83	,0.77	,0.95	,0.77	,0.94	,0.89	,1.14	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,0.83	,0.77	,0.95	,0.77	,0.94	,0.89	,1.14	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,32.96	,32.62	,32.49	,29.86	,32.35	,31.73	,39.35	,42.61	,
冬小麦播种面积 (千公顷) 	,	,	,	,20.89	,20.98	,20.74	,21.65	,23.35	,25.76	,32.15	,
春小麦播种面积 (千公顷) 	,	,	,	,11.73	,11.51	,9.12	,10.70	,8.39	,13.59	,10.47	,
玉米播种面积 (千公顷) 	,	,	,4.91	,4.55	,4.77	,4.43	,4.74	,5.16	,4.88	,4.90	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,141.36	,134.89	,133.10	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.06	,0.87	,0.07	,
豆类播种面积 (千公顷) 	,	,	,4.71	,4.74	,5.16	,5.22	,5.00	,4.55	,4.67	,5.67	,
大豆播种面积 (千公顷) 	,	,	,0.01	,0.02	,0.14	,0.01	,0.05	,0.09	,0.04	,1.91	,
绿豆播种面积 (千公顷) 	,	,	,	,	,0.22	,	,	,	,0.00	,0.00	,
红小豆播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
薯类播种面积 (千公顷) 	,	,	,1.47	,1.33	,1.52	,1.71	,1.27	,0.94	,0.97	,1.02	,
马铃薯播种面积 (千公顷) 	,	,	,	,1.33	,1.52	,1.70	,1.27	,0.94	,0.97	,1.02	,
油料播种面积 (千公顷) 	,	,	,19.55	,18.67	,19.01	,20.17	,21.51	,22.54	,19.59	,22.61	,
花生播种面积 (千公顷) 	,	,	,0.03	,0.04	,0.06	,0.05	,0.06	,0.11	,0.08	,0.12	,
油菜籽播种面积 (千公顷) 	,	,	,19.52	,18.64	,18.96	,20.12	,21.45	,22.43	,19.51	,22.48	,
芝麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
葵花籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.01	,
麻类播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,0.00	,0.00	,	,0.00	,	,	,0.00	,0.00	,
甘蔗播种面积 (千公顷) 	,	,	,0.00	,0.00	,	,	,	,	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,0.00	,	,	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.00	,0.00	,0.00	,	,0.00	,0.00	,
烤烟播种面积 (千公顷) 	,	,	,0.00	,0.00	,0.00	,0.00	,	,	,0.00	,0.00	,
蔬菜播种面积 (千公顷) 	,	,	,28.69	,27.85	,29.36	,25.82	,25.83	,24.00	,23.30	,23.02	,
药材播种面积 (千公顷) 	,	,	,	,0.66	,0.77	,0.86	,1.33	,1.48	,0.00	,0.00	,
其他农作物播种面积 (千公顷) 	,	,	,	,36.53	,38.01	,42.49	,37.66	,37.31	,25.38	,28.90	,
青饲料播种面积 (千公顷) 	,	,	,	,35.97	,37.39	,42.25	,37.57	,36.78	,24.81	,28.58	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
