数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,5344.29	,5359.45	,5422.88	,5475.35	,5481.56	,5477.16	,5659.37	,5604.80	,
粮食作物播种面积 (千公顷) 	,	,	,2773.80	,2788.70	,2787.69	,2754.13	,2709.41	,2740.20	,3052.78	,3122.18	,
夏收粮食播种面积 (千公顷) 	,	,	,	,866.45	,883.61	,883.15	,826.23	,771.71	,782.84	,786.18	,
秋收粮食播种面积 (千公顷) 	,	,	,	,1922.25	,1904.08	,1870.98	,1883.18	,1968.49	,2269.94	,2336.00	,
谷物播种面积 (千公顷) 	,	,	,1534.95	,1515.05	,1496.57	,1429.58	,1443.14	,1513.17	,1938.80	,2005.16	,
稻谷播种面积 (千公顷) 	,	,	,573.71	,613.77	,645.23	,665.12	,664.72	,671.78	,700.50	,714.25	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,613.77	,645.23	,665.12	,664.72	,671.78	,700.50	,714.25	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,110.51	,114.25	,135.30	,138.05	,137.22	,141.62	,155.97	,169.19	,
冬小麦播种面积 (千公顷) 	,	,	,	,114.25	,135.30	,138.05	,137.22	,141.62	,155.97	,169.19	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,687.12	,622.20	,550.39	,501.46	,530.59	,602.12	,1006.38	,1041.63	,
谷子播种面积 (千公顷) 	,	,	,	,2.50	,3.56	,4.30	,3.97	,3.78	,4.21	,4.56	,
高粱播种面积 (千公顷) 	,	,	,	,112.59	,101.23	,83.69	,72.69	,61.48	,45.06	,46.93	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,32.39	,26.67	,28.61	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,2.49	,2.50	,1.81	,
豆类播种面积 (千公顷) 	,	,	,369.22	,365.39	,340.46	,336.47	,317.71	,325.06	,298.17	,311.77	,
大豆播种面积 (千公顷) 	,	,	,238.32	,231.78	,211.71	,211.77	,191.82	,198.90	,194.65	,209.66	,
绿豆播种面积 (千公顷) 	,	,	,	,2.35	,3.17	,3.40	,3.23	,3.32	,4.06	,4.43	,
红小豆播种面积 (千公顷) 	,	,	,	,3.80	,3.80	,4.02	,4.27	,3.78	,3.89	,4.35	,
薯类播种面积 (千公顷) 	,	,	,869.63	,908.26	,950.67	,988.08	,948.56	,901.97	,815.81	,805.25	,
马铃薯播种面积 (千公顷) 	,	,	,	,742.89	,758.08	,826.88	,782.15	,730.06	,699.80	,687.84	,
油料播种面积 (千公顷) 	,	,	,606.74	,551.34	,502.56	,579.36	,598.14	,651.90	,661.17	,662.52	,
花生播种面积 (千公顷) 	,	,	,40.61	,39.41	,46.47	,47.27	,50.24	,51.93	,51.53	,51.28	,
油菜籽播种面积 (千公顷) 	,	,	,559.30	,506.46	,446.73	,430.88	,445.69	,497.68	,516.12	,520.01	,
芝麻播种面积 (千公顷) 	,	,	,0.30	,0.27	,0.42	,0.49	,0.40	,0.38	,0.47	,0.46	,
葵花籽播种面积 (千公顷) 	,	,	,	,4.58	,7.06	,8.16	,10.06	,9.88	,16.07	,14.50	,
胡麻籽播种面积 (千公顷) 	,	,	,	,0.00	,0.00	,0.00	,0.02	,0.01	,0.02	,0.02	,
棉花播种面积 (千公顷) 	,	,	,0.34	,0.39	,0.40	,0.37	,0.44	,0.65	,1.40	,1.84	,
麻类播种面积 (千公顷) 	,	,	,0.05	,0.10	,0.16	,0.27	,0.25	,0.28	,0.60	,0.68	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.10	,	,0.00	,0.02	,0.02	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.13	,0.28	,0.29	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.03	,0.08	,0.08	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.11	,0.19	,0.29	,
糖料播种面积 (千公顷) 	,	,	,6.39	,7.35	,9.07	,10.47	,10.59	,10.74	,8.68	,12.73	,
甘蔗播种面积 (千公顷) 	,	,	,6.39	,7.35	,9.06	,10.23	,10.58	,10.58	,8.28	,12.13	,
甜菜播种面积 (千公顷) 	,	,	,	,0.00	,0.01	,0.24	,0.01	,0.02	,0.40	,0.59	,
烟叶播种面积 (千公顷) 	,	,	,142.23	,131.78	,136.82	,133.11	,138.98	,145.73	,155.70	,167.95	,
烤烟播种面积 (千公顷) 	,	,	,137.60	,126.21	,130.22	,126.63	,129.98	,134.48	,143.24	,155.61	,
蔬菜播种面积 (千公顷) 	,	,	,1437.42	,1458.67	,1514.41	,1511.33	,1435.60	,1401.01	,1253.11	,1145.11	,
药材播种面积 (千公顷) 	,	,	,	,157.21	,169.51	,168.72	,219.99	,174.60	,185.32	,163.62	,
其他农作物播种面积 (千公顷) 	,	,	,	,237.43	,274.66	,289.06	,335.96	,319.45	,310.71	,298.82	,
青饲料播种面积 (千公顷) 	,	,	,	,147.97	,174.38	,187.48	,210.28	,185.00	,154.76	,141.65	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
