数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,4361.42	,4326.86	,4328.94	,4287.78	,4217.10	,4207.11	,4172.32	,4242.73	,
粮食作物播种面积 (千公顷) 	,	,	,3578.39	,3561.51	,3543.56	,3527.16	,3488.73	,3484.03	,3467.48	,3514.97	,
夏收粮食播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋收粮食播种面积 (千公顷) 	,	,	,	,3561.51	,3543.56	,3527.16	,3488.73	,3484.03	,3467.48	,3514.97	,
谷物播种面积 (千公顷) 	,	,	,3395.77	,3382.89	,3369.10	,3344.10	,3303.24	,3311.23	,3291.77	,3356.79	,
稻谷播种面积 (千公顷) 	,	,	,500.46	,516.39	,520.63	,520.41	,507.11	,488.36	,492.67	,476.39	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,516.39	,520.63	,520.41	,507.11	,488.36	,492.67	,476.39	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,1.95	,2.01	,2.74	,3.08	,2.39	,2.39	,3.57	,2.90	,
冬小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
春小麦播种面积 (千公顷) 	,	,	,	,2.01	,2.74	,3.08	,2.39	,2.39	,3.57	,2.90	,
玉米播种面积 (千公顷) 	,	,	,2803.94	,2757.99	,2724.19	,2699.31	,2675.00	,2712.98	,2691.98	,2789.78	,
谷子播种面积 (千公顷) 	,	,	,	,57.10	,68.44	,66.32	,62.35	,55.34	,54.03	,38.24	,
高粱播种面积 (千公顷) 	,	,	,	,41.66	,44.00	,44.62	,41.06	,37.57	,36.05	,36.90	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,14.60	,13.47	,12.58	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
豆类播种面积 (千公顷) 	,	,	,128.52	,120.58	,113.45	,116.17	,93.40	,82.82	,85.26	,79.19	,
大豆播种面积 (千公顷) 	,	,	,122.76	,115.27	,103.88	,103.16	,83.89	,73.46	,74.30	,69.45	,
绿豆播种面积 (千公顷) 	,	,	,	,2.20	,5.10	,7.35	,5.78	,4.87	,4.10	,4.69	,
红小豆播种面积 (千公顷) 	,	,	,	,0.94	,1.96	,2.16	,2.83	,3.45	,4.68	,2.35	,
薯类播种面积 (千公顷) 	,	,	,54.10	,58.04	,61.00	,66.88	,92.09	,89.98	,90.45	,78.99	,
马铃薯播种面积 (千公顷) 	,	,	,	,38.20	,41.97	,44.54	,60.38	,60.21	,63.45	,56.69	,
油料播种面积 (千公顷) 	,	,	,320.21	,311.43	,334.83	,309.61	,293.51	,290.94	,278.39	,278.14	,
花生播种面积 (千公顷) 	,	,	,317.28	,308.59	,332.32	,306.22	,289.16	,286.08	,271.66	,269.77	,
油菜籽播种面积 (千公顷) 	,	,	,0.19	,0.52	,0.60	,0.69	,0.81	,0.82	,0.78	,0.73	,
芝麻播种面积 (千公顷) 	,	,	,0.02	,0.05	,0.02	,0.05	,0.14	,0.23	,0.30	,0.10	,
葵花籽播种面积 (千公顷) 	,	,	,	,2.13	,1.82	,2.60	,3.23	,3.44	,4.08	,4.21	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,	,0.00	,	,0.00	,0.01	,0.01	,0.00	,0.07	,
麻类播种面积 (千公顷) 	,	,	,	,	,	,	,0.01	,0.01	,0.15	,1.28	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,0.14	,0.21	,0.21	,1.49	,2.42	,2.00	,2.03	,1.83	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,0.14	,0.21	,0.21	,1.49	,2.42	,2.00	,2.03	,1.83	,
烟叶播种面积 (千公顷) 	,	,	,4.01	,3.98	,4.25	,5.20	,5.02	,6.40	,8.00	,9.48	,
烤烟播种面积 (千公顷) 	,	,	,2.87	,3.21	,3.46	,4.54	,4.55	,5.41	,7.38	,8.95	,
蔬菜播种面积 (千公顷) 	,	,	,343.50	,335.97	,328.78	,325.58	,312.15	,313.44	,308.63	,332.13	,
药材播种面积 (千公顷) 	,	,	,	,30.45	,29.29	,30.45	,28.19	,26.33	,24.33	,20.32	,
其他农作物播种面积 (千公顷) 	,	,	,	,37.48	,41.46	,42.65	,41.74	,38.69	,39.32	,38.80	,
青饲料播种面积 (千公顷) 	,	,	,	,26.72	,25.87	,27.99	,28.82	,26.49	,25.92	,26.72	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
