数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,3506.19	,3479.02	,3409.26	,3372.54	,3345.74	,3348.49	,3339.56	,3333.10	,
粮食作物播种面积 (千公顷) 	,	,	,2025.93	,2046.71	,2013.19	,2003.06	,1999.28	,2017.85	,2030.71	,2039.07	,
夏收粮食播种面积 (千公顷) 	,	,	,	,373.31	,371.84	,370.30	,375.73	,385.07	,390.36	,393.27	,
秋收粮食播种面积 (千公顷) 	,	,	,	,1673.40	,1641.36	,1632.76	,1623.54	,1632.77	,1640.35	,1645.80	,
谷物播种面积 (千公顷) 	,	,	,1149.11	,1149.89	,1142.66	,1137.45	,1134.72	,1143.85	,1156.77	,1169.40	,
稻谷播种面积 (千公顷) 	,	,	,657.00	,659.19	,658.91	,657.27	,655.14	,656.45	,658.94	,660.91	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,659.19	,658.91	,657.27	,655.14	,656.45	,658.94	,660.91	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,18.66	,18.85	,18.68	,18.52	,21.03	,24.79	,30.13	,34.34	,
冬小麦播种面积 (千公顷) 	,	,	,	,18.85	,18.68	,18.52	,21.03	,24.79	,30.13	,34.34	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,448.56	,447.78	,443.77	,440.93	,438.33	,442.33	,447.34	,453.87	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,18.72	,16.96	,16.46	,15.98	,16.05	,15.97	,15.53	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,4.23	,4.39	,4.75	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.47	,0.53	,0.66	,
豆类播种面积 (千公顷) 	,	,	,223.36	,212.43	,203.95	,201.97	,200.29	,201.44	,200.20	,197.80	,
大豆播种面积 (千公顷) 	,	,	,118.39	,107.38	,99.45	,98.12	,96.92	,97.08	,96.68	,95.28	,
绿豆播种面积 (千公顷) 	,	,	,	,11.54	,11.66	,11.57	,11.45	,11.25	,11.23	,11.07	,
红小豆播种面积 (千公顷) 	,	,	,	,1.73	,1.60	,1.65	,1.64	,1.61	,1.51	,1.49	,
薯类播种面积 (千公顷) 	,	,	,653.45	,684.39	,666.59	,663.64	,664.27	,672.55	,673.73	,671.87	,
马铃薯播种面积 (千公顷) 	,	,	,	,347.87	,328.38	,326.88	,329.35	,334.24	,335.03	,334.63	,
油料播种面积 (千公顷) 	,	,	,376.13	,346.71	,337.98	,333.87	,329.95	,325.07	,318.52	,310.44	,
花生播种面积 (千公顷) 	,	,	,66.03	,64.27	,63.55	,63.06	,62.35	,62.75	,62.12	,61.55	,
油菜籽播种面积 (千公顷) 	,	,	,297.82	,269.72	,261.50	,258.26	,254.99	,250.15	,244.28	,236.86	,
芝麻播种面积 (千公顷) 	,	,	,3.97	,4.01	,4.12	,4.20	,4.30	,4.08	,9.70	,9.73	,
葵花籽播种面积 (千公顷) 	,	,	,	,2.07	,2.20	,2.11	,2.11	,2.05	,2.41	,2.30	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.05	,
麻类播种面积 (千公顷) 	,	,	,1.59	,1.66	,1.79	,2.11	,2.22	,3.84	,4.16	,4.48	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,0.04	,0.04	,0.04	,0.04	,0.04	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.01	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,3.80	,4.12	,4.43	,
糖料播种面积 (千公顷) 	,	,	,1.84	,1.86	,1.86	,1.87	,1.87	,2.19	,2.12	,2.17	,
甘蔗播种面积 (千公顷) 	,	,	,1.84	,1.86	,1.86	,1.87	,1.87	,2.19	,2.12	,2.17	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
烟叶播种面积 (千公顷) 	,	,	,29.06	,28.40	,26.99	,27.36	,29.84	,32.40	,34.90	,43.45	,
烤烟播种面积 (千公顷) 	,	,	,25.12	,23.97	,22.07	,22.27	,25.19	,28.09	,30.66	,39.44	,
蔬菜播种面积 (千公顷) 	,	,	,828.96	,812.02	,791.38	,772.03	,753.22	,739.18	,727.17	,714.67	,
药材播种面积 (千公顷) 	,	,	,	,130.75	,124.58	,118.56	,114.87	,113.73	,109.38	,108.27	,
其他农作物播种面积 (千公顷) 	,	,	,	,83.40	,84.43	,85.91	,87.46	,87.44	,87.92	,86.76	,
青饲料播种面积 (千公顷) 	,	,	,	,50.14	,50.44	,51.45	,46.47	,55.09	,56.14	,52.85	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
