数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,4239.94	,4212.23	,4189.27	,4160.85	,4132.09	,4091.01	,4063.88	,4160.15	,
粮食作物播种面积 (千公顷) 	,	,	,3022.97	,3017.47	,3004.34	,3001.05	,2998.92	,3005.98	,3019.40	,3143.96	,
夏收粮食播种面积 (千公顷) 	,	,	,	,1105.10	,1104.67	,1103.65	,1104.35	,1108.29	,1105.50	,1118.77	,
秋收粮食播种面积 (千公顷) 	,	,	,	,1912.37	,1899.67	,1897.40	,1894.57	,1897.69	,1913.90	,2025.19	,
谷物播种面积 (千公顷) 	,	,	,2477.34	,2471.79	,2463.38	,2468.27	,2467.77	,2472.68	,2483.72	,2644.57	,
稻谷播种面积 (千公顷) 	,	,	,105.44	,106.09	,106.05	,105.09	,105.32	,105.39	,105.64	,107.42	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,106.09	,106.05	,105.09	,105.32	,105.39	,105.64	,107.42	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,941.05	,958.01	,955.07	,964.19	,965.93	,967.31	,963.15	,980.78	,
冬小麦播种面积 (千公顷) 	,	,	,	,958.01	,955.07	,964.19	,965.93	,967.31	,963.15	,980.78	,
春小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
玉米播种面积 (千公顷) 	,	,	,1212.33	,1188.43	,1182.48	,1179.44	,1177.05	,1179.47	,1196.88	,1341.75	,
谷子播种面积 (千公顷) 	,	,	,	,70.52	,73.18	,67.73	,67.41	,68.37	,67.01	,65.72	,
高粱播种面积 (千公顷) 	,	,	,	,24.68	,22.86	,17.98	,17.92	,17.07	,16.33	,16.04	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,135.06	,134.72	,132.86	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,3.35	,3.62	,3.64	,
豆类播种面积 (千公顷) 	,	,	,223.13	,222.32	,201.58	,188.27	,188.04	,188.42	,189.11	,189.63	,
大豆播种面积 (千公顷) 	,	,	,177.01	,174.28	,151.36	,151.34	,151.11	,151.61	,151.90	,151.18	,
绿豆播种面积 (千公顷) 	,	,	,	,11.75	,13.05	,9.19	,9.37	,9.25	,9.36	,9.64	,
红小豆播种面积 (千公顷) 	,	,	,	,15.95	,17.06	,13.63	,13.47	,13.58	,13.72	,13.93	,
薯类播种面积 (千公顷) 	,	,	,322.50	,323.37	,339.38	,344.51	,343.11	,344.88	,346.57	,309.75	,
马铃薯播种面积 (千公顷) 	,	,	,	,282.81	,297.99	,308.79	,308.10	,309.65	,310.99	,291.87	,
油料播种面积 (千公顷) 	,	,	,268.60	,251.35	,263.82	,266.72	,273.94	,284.00	,278.55	,272.77	,
花生播种面积 (千公顷) 	,	,	,37.03	,38.21	,37.95	,37.99	,39.64	,39.86	,39.45	,39.02	,
油菜籽播种面积 (千公顷) 	,	,	,184.03	,167.08	,178.43	,175.72	,175.50	,175.89	,179.55	,179.81	,
芝麻播种面积 (千公顷) 	,	,	,7.48	,7.22	,7.08	,7.32	,7.20	,6.44	,9.23	,9.11	,
葵花籽播种面积 (千公顷) 	,	,	,	,16.77	,17.48	,20.22	,19.68	,20.04	,29.35	,26.37	,
胡麻籽播种面积 (千公顷) 	,	,	,	,1.80	,1.45	,2.37	,2.49	,3.40	,4.63	,3.77	,
棉花播种面积 (千公顷) 	,	,	,0.10	,0.14	,0.30	,0.72	,5.46	,6.92	,8.47	,12.04	,
麻类播种面积 (千公顷) 	,	,	,0.18	,0.19	,0.40	,0.40	,0.86	,0.45	,0.33	,0.33	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.10	,0.09	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.30	,0.22	,0.23	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.14	,0.01	,0.01	,
糖料播种面积 (千公顷) 	,	,	,0.08	,0.09	,0.09	,0.20	,0.09	,0.09	,1.42	,1.66	,
甘蔗播种面积 (千公顷) 	,	,	,0.06	,0.06	,0.06	,0.17	,0.04	,0.04	,1.38	,1.59	,
甜菜播种面积 (千公顷) 	,	,	,0.02	,0.03	,0.03	,0.03	,0.05	,0.05	,0.04	,0.07	,
烟叶播种面积 (千公顷) 	,	,	,24.53	,23.42	,22.66	,22.18	,22.40	,16.82	,17.09	,20.54	,
烤烟播种面积 (千公顷) 	,	,	,24.43	,23.34	,22.62	,22.13	,22.26	,14.66	,17.09	,20.52	,
蔬菜播种面积 (千公顷) 	,	,	,558.33	,551.27	,538.48	,522.47	,507.13	,495.06	,480.65	,465.83	,
药材播种面积 (千公顷) 	,	,	,	,239.78	,237.96	,226.88	,209.47	,188.22	,174.38	,160.55	,
其他农作物播种面积 (千公顷) 	,	,	,	,54.62	,47.00	,43.79	,37.31	,18.11	,12.13	,10.62	,
青饲料播种面积 (千公顷) 	,	,	,	,35.83	,32.89	,29.82	,14.34	,6.39	,4.05	,3.42	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
