数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,598.80	,586.19	,583.87	,571.42	,553.54	,557.25	,555.31	,557.75	,
粮食作物播种面积 (千公顷) 	,	,	,304.90	,303.47	,302.41	,290.03	,280.20	,281.26	,282.56	,284.70	,
夏收粮食播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋收粮食播种面积 (千公顷) 	,	,	,	,303.47	,302.41	,290.03	,280.20	,281.26	,282.56	,284.70	,
谷物播种面积 (千公顷) 	,	,	,222.67	,221.49	,216.82	,201.64	,189.10	,180.23	,182.48	,187.74	,
稻谷播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,101.04	,101.26	,98.82	,94.79	,102.41	,111.60	,82.58	,84.69	,
冬小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
春小麦播种面积 (千公顷) 	,	,	,	,101.26	,98.82	,94.79	,102.41	,111.60	,82.58	,84.69	,
玉米播种面积 (千公顷) 	,	,	,22.77	,22.67	,22.54	,21.37	,20.97	,18.45	,18.90	,20.07	,
谷子播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
高粱播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,50.18	,81.01	,82.98	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,49.77	,53.51	,
豆类播种面积 (千公顷) 	,	,	,14.42	,14.13	,15.10	,14.91	,14.00	,12.76	,13.25	,11.41	,
大豆播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.19	,
绿豆播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
红小豆播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
薯类播种面积 (千公顷) 	,	,	,67.81	,67.85	,70.49	,73.48	,77.10	,88.27	,86.83	,85.55	,
马铃薯播种面积 (千公顷) 	,	,	,	,67.85	,70.49	,73.48	,77.10	,88.27	,86.83	,85.55	,
油料播种面积 (千公顷) 	,	,	,147.20	,146.60	,143.50	,143.57	,142.25	,147.91	,155.30	,148.80	,
花生播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
油菜籽播种面积 (千公顷) 	,	,	,146.24	,145.60	,142.43	,142.46	,140.43	,145.76	,153.64	,147.07	,
芝麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
葵花籽播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
胡麻籽播种面积 (千公顷) 	,	,	,	,1.00	,1.08	,1.11	,1.82	,2.15	,1.65	,1.73	,
棉花播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
麻类播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,	,	,	,	,0.02	,0.02	,0.01	,0.03	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,	,	,	,	,0.02	,0.02	,0.01	,0.03	,
烟叶播种面积 (千公顷) 	,	,	,0.01	,0.01	,0.01	,0.01	,	,0.00	,0.00	,0.00	,
烤烟播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
蔬菜播种面积 (千公顷) 	,	,	,43.84	,43.37	,42.30	,43.55	,44.39	,43.96	,43.11	,43.21	,
药材播种面积 (千公顷) 	,	,	,	,32.36	,35.97	,43.10	,44.52	,44.06	,37.92	,34.76	,
其他农作物播种面积 (千公顷) 	,	,	,	,59.94	,59.16	,50.62	,41.33	,38.97	,34.79	,44.62	,
青饲料播种面积 (千公顷) 	,	,	,	,51.84	,50.50	,46.20	,38.13	,35.34	,31.96	,40.64	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
