数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农作物总播种面积 (千公顷) 	,	,	,15304.22	,15209.41	,15065.03	,14910.13	,14770.08	,14673.33	,14767.59	,14829.46	,
粮食作物播种面积 (千公顷) 	,	,	,14743.09	,14683.23	,14551.30	,14438.38	,14338.10	,14214.54	,14154.28	,14201.81	,
夏收粮食播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
秋收粮食播种面积 (千公顷) 	,	,	,	,14683.23	,14551.30	,14438.38	,14338.10	,14214.54	,14154.28	,14201.81	,
谷物播种面积 (千公顷) 	,	,	,9762.64	,9611.44	,10493.86	,9438.32	,9803.57	,10312.49	,10006.41	,10635.40	,
稻谷播种面积 (千公顷) 	,	,	,3268.54	,3601.37	,3867.39	,3872.03	,3812.55	,3783.10	,3948.89	,3925.33	,
早稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
中稻和一季晚稻播种面积 (千公顷) 	,	,	,	,3601.37	,3867.39	,3872.03	,3812.55	,3783.10	,3948.89	,3925.33	,
双季晚稻播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
小麦播种面积 (千公顷) 	,	,	,19.29	,21.43	,67.27	,48.74	,55.96	,109.41	,101.79	,78.58	,
冬小麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,	,0.00	,0.00	,
春小麦播种面积 (千公顷) 	,	,	,	,21.43	,67.27	,48.74	,55.96	,109.41	,101.79	,78.58	,
玉米播种面积 (千公顷) 	,	,	,6451.71	,5970.18	,6524.24	,5480.67	,5874.63	,6317.82	,5862.81	,6528.42	,
谷子播种面积 (千公顷) 	,	,	,	,1.62	,7.58	,8.75	,11.45	,21.21	,18.37	,24.19	,
高粱播种面积 (千公顷) 	,	,	,	,15.10	,24.05	,23.77	,44.28	,57.79	,53.89	,45.17	,
其他谷物播种面积 (千公顷) 	,	,	,	,	,	,	,	,23.16	,20.66	,33.71	,
大麦播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.53	,0.59	,0.02	,
豆类播种面积 (千公顷) 	,	,	,4950.74	,5025.44	,3991.14	,4930.47	,4419.07	,3741.87	,3982.13	,3411.50	,
大豆播种面积 (千公顷) 	,	,	,4886.88	,4931.64	,3887.75	,4832.09	,4279.47	,3567.74	,3735.49	,3223.10	,
绿豆播种面积 (千公顷) 	,	,	,	,3.83	,4.91	,10.02	,20.01	,33.53	,47.22	,26.78	,
红小豆播种面积 (千公顷) 	,	,	,	,71.09	,66.66	,49.30	,64.84	,85.25	,123.98	,91.55	,
薯类播种面积 (千公顷) 	,	,	,29.71	,46.35	,66.29	,69.59	,115.46	,160.18	,165.74	,154.91	,
马铃薯播种面积 (千公顷) 	,	,	,	,45.73	,65.44	,69.32	,114.66	,157.93	,164.12	,152.48	,
油料播种面积 (千公顷) 	,	,	,45.63	,39.76	,41.05	,41.82	,51.64	,51.55	,76.32	,123.75	,
花生播种面积 (千公顷) 	,	,	,27.80	,24.59	,22.79	,19.77	,20.11	,17.41	,18.70	,23.07	,
油菜籽播种面积 (千公顷) 	,	,	,0.11	,0.08	,0.21	,0.20	,1.96	,1.82	,0.27	,0.05	,
芝麻播种面积 (千公顷) 	,	,	,0.40	,0.13	,0.00	,0.07	,0.51	,0.39	,0.05	,0.51	,
葵花籽播种面积 (千公顷) 	,	,	,	,0.47	,1.21	,3.57	,2.06	,4.52	,8.52	,13.11	,
胡麻籽播种面积 (千公顷) 	,	,	,	,	,	,0.26	,0.20	,0.00	,0.00	,0.00	,
棉花播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
麻类播种面积 (千公顷) 	,	,	,10.01	,17.17	,15.85	,19.27	,21.30	,16.68	,19.29	,12.11	,
黄红麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
亚麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.96	,1.22	,1.36	,
大麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,15.72	,18.00	,10.69	,
苎麻播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
糖料播种面积 (千公顷) 	,	,	,4.18	,3.52	,3.42	,3.08	,8.90	,12.04	,9.35	,3.26	,
甘蔗播种面积 (千公顷) 	,	,	,	,	,	,	,	,0.00	,0.00	,0.00	,
甜菜播种面积 (千公顷) 	,	,	,4.18	,3.52	,3.42	,3.08	,8.90	,12.04	,9.35	,3.26	,
烟叶播种面积 (千公顷) 	,	,	,9.90	,9.39	,9.52	,10.66	,9.97	,11.95	,14.98	,19.90	,
烤烟播种面积 (千公顷) 	,	,	,9.32	,8.84	,8.87	,9.96	,9.60	,11.68	,14.63	,18.48	,
蔬菜播种面积 (千公顷) 	,	,	,193.92	,162.84	,157.39	,152.38	,147.05	,161.52	,205.34	,177.08	,
药材播种面积 (千公顷) 	,	,	,	,164.35	,163.12	,117.72	,70.73	,41.57	,32.89	,28.70	,
其他农作物播种面积 (千公顷) 	,	,	,	,93.08	,85.13	,87.03	,80.27	,123.71	,199.98	,203.39	,
青饲料播种面积 (千公顷) 	,	,	,	,47.69	,39.50	,32.23	,28.96	,39.89	,43.29	,71.16	,
注：1. 根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
2. 其他谷物不含谷子、高粱。
数据来源：国家统计局
