数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,	,	,	,	,790.00	,497.50	,2430.00	,2430.00	,2417.00	,
天津市	,	,	,	,	,	,1185.00	,1185.41	,1469.00	,333.00	,1556.00	,
河北省	,	,	,	,	,	,56629.00	,59859.98	,67103.00	,61054.00	,48227.00	,
山西省	,	,	,	,	,	,31216.00	,30229.52	,42452.00	,39129.00	,40244.00	,
内蒙古自治区	,	,	,	,	,	,20658.00	,21713.75	,19325.00	,19632.00	,19731.00	,
辽宁省	,	,	,	,	,	,97359.00	,66495.74	,81074.00	,69017.00	,88783.00	,
吉林省	,	,	,	,	,	,191139.00	,146308.52	,179867.00	,160373.00	,188684.00	,
黑龙江省	,	,	,	,	,	,139720.00	,123749.07	,93647.00	,88602.00	,87369.00	,
上海市	,	,	,	,	,	,	,	,	,	,	,
江苏省	,	,	,	,	,	,4716.00	,4922.60	,8915.00	,9619.00	,6110.00	,
浙江省	,	,	,	,	,	,819774.00	,1157885.30	,834464.00	,850917.00	,1222584.00	,
安徽省	,	,	,	,	,	,288225.00	,201675.76	,249476.00	,255110.00	,296465.00	,
福建省	,	,	,	,	,	,1642428.00	,2463828.51	,1861904.00	,2330107.00	,3512294.00	,
江西省	,	,	,	,	,	,891421.00	,1016555.96	,732371.00	,966182.00	,1204507.00	,
山东省	,	,	,	,	,	,6857.00	,4861.73	,5158.00	,6096.00	,633.00	,
河南省	,	,	,	,	,	,84692.00	,75960.04	,105334.00	,107048.00	,89763.00	,
湖北省	,	,	,	,	,	,1197363.00	,718851.87	,935802.00	,1191820.00	,1009238.00	,
湖南省	,	,	,	,	,	,1947753.00	,2044526.34	,1738922.00	,1945672.00	,2160128.00	,
广东省	,	,	,	,	,	,1576566.00	,2394819.20	,1675262.00	,2061747.00	,2901420.00	,
广西壮族自治区	,	,	,	,	,	,1439877.00	,1497366.98	,1309217.00	,1427558.00	,1434723.00	,
海南省	,	,	,	,	,	,110594.00	,112535.42	,153719.00	,141428.00	,113975.00	,
重庆市	,	,	,	,	,	,870557.00	,721821.99	,725152.00	,792445.00	,727992.00	,
四川省	,	,	,	,	,	,4405264.00	,4354129.65	,4347891.00	,4260817.00	,4132790.00	,
贵州省	,	,	,	,	,	,1326471.00	,1126750.57	,1055652.00	,1022253.00	,1046676.00	,
云南省	,	,	,	,	,	,3840865.00	,3855897.76	,4305958.00	,4296614.00	,4078090.00	,
西藏自治区	,	,	,	,	,	,107191.00	,87382.68	,86225.00	,85774.00	,85050.00	,
陕西省	,	,	,	,	,	,529259.00	,491819.39	,422839.00	,396179.00	,342794.00	,
甘肃省	,	,	,	,	,	,1202732.00	,1175644.60	,1094117.00	,975145.00	,886317.00	,
青海省	,	,	,	,	,	,563671.00	,536366.10	,521638.00	,480702.00	,416327.00	,
宁夏回族自治区	,	,	,	,	,	,710.00	,760.00	,690.00	,710.00	,620.00	,
新疆维吾尔自治区	,	,	,	,	,	,804222.00	,803430.68	,766399.00	,689081.00	,648041.00	,
注：1. 农村水电建设数据由水利部农村水电及电气化发展局提供。农村水电是以小水电为主体，直接为农村经济社会发展服务的水电站及其供电网络。2008年起，对农村水电统计范围进行了调整，有关数据作了相应调整。
数据来源：国家统计局
