数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,39856	,37358	,34754	,33303	,30126	,28928	,26490	,24240	,22310	,
天津市	,	,32715	,30851	,29018	,27955	,25691	,24804	,23065	,21754	,20076	,
河北省	,	,22022	,20688	,19364	,18179	,16467	,15373	,14031	,12881	,11919	,
山西省	,	,18741	,17677	,16323	,15308	,13878	,12902	,11750	,10788	,10082	,
内蒙古自治区	,	,22543	,21221	,19641	,18337	,16567	,15283	,13803	,12584	,11609	,
辽宁省	,	,22744	,21483	,19908	,19217	,17450	,16108	,14656	,13747	,12881	,
吉林省	,	,20704	,19472	,18134	,17642	,16067	,14936	,13748	,12950	,12123	,
黑龙江省	,	,20963	,19756	,18577	,17889	,16168	,14982	,13804	,12665	,11832	,
上海市	,	,45644	,42988	,39729	,38521	,34911	,33195	,30375	,27825	,25520	,
江苏省	,	,32414	,30488	,28486	,26791	,24198	,22675	,20845	,19158	,17606	,
浙江省	,	,42786	,40311	,37565	,35247	,31930	,29876	,27302	,24956	,22866	,
安徽省	,	,22507	,21144	,19575	,18372	,16620	,15416	,13996	,12758	,11720	,
福建省	,	,28525	,26722	,24987	,23229	,20880	,19568	,17821	,16335	,14999	,
江西省	,	,22673	,21358	,19936	,18684	,16981	,15796	,14460	,13242	,12138	,
山东省	,	,25257	,23776	,22110	,20794	,18753	,17775	,16297	,15118	,13954	,
河南省	,	,21330	,20053	,18697	,17533	,16108	,15164	,13831	,12719	,11697	,
湖北省	,	,22580	,21293	,19709	,18259	,16306	,16391	,14978	,13812	,12725	,
湖南省	,	,22204	,20921	,19546	,18295	,16585	,15395	,14093	,12936	,11930	,
广东省	,	,26729	,25142	,23598	,22306	,20143	,18818	,17168	,15780	,14512	,
广西壮族自治区	,	,19954	,18656	,17433	,16363	,14815	,13676	,12435	,11325	,10359	,
海南省	,	,22146	,20708	,19117	,18076	,16279	,15113	,13989	,12902	,11843	,
重庆市	,	,22221	,20820	,19313	,18100	,16361	,15133	,13781	,12638	,11549	,
四川省	,	,21303	,19978	,18672	,17575	,15929	,14670	,13331	,12227	,11203	,
贵州省	,	,15856	,14817	,13707	,12856	,11642	,10756	,9716	,8869	,8090	,
云南省	,	,17450	,16361	,15147	,14197	,12842	,11902	,10768	,9862	,9020	,
西藏自治区	,	,21578	,19924	,18209	,16932	,14598	,12951	,11450	,10330	,9094	,
陕西省	,	,18199	,16992	,15704	,14745	,13316	,12326	,11213	,10265	,9396	,
甘肃省	,	,14105	,13131	,12165	,11433	,10344	,9629	,8804	,8076	,7457	,
青海省	,	,16715	,15614	,14456	,13604	,12342	,11499	,10393	,9462	,8664	,
宁夏回族自治区	,	,19015	,17772	,16430	,15337	,13889	,12858	,11708	,10738	,9852	,
新疆维吾尔自治区	,	,19427	,17948	,16550	,15575	,14056	,13122	,11975	,11045	,10183	,
数据来源：国家统计局
