数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,27349	,26277	,23745	,23574	,20913	,21881	,20195	,18810	,17329	,
天津市	,	,23129	,21553	,18934	,19285	,16844	,17843	,16863	,16386	,15912	,
河北省	,	,18412	,17244	,16271	,15391	,12644	,12372	,11383	,10536	,9798	,
山西省	,	,14626	,13684	,12091	,11410	,10290	,9728	,9172	,8424	,8029	,
内蒙古自治区	,	,19631	,18650	,15444	,15691	,13594	,13816	,12661	,12184	,11463	,
辽宁省	,	,16742	,16040	,14326	,14606	,12311	,12030	,11455	,10787	,9953	,
吉林省	,	,15467	,14354	,12729	,13411	,11864	,11457	,10826	,10279	,9521	,
黑龙江省	,	,17295	,16453	,15162	,15225	,12360	,12495	,11417	,10524	,9424	,
上海市	,	,32320	,30782	,27430	,27205	,22095	,22449	,19965	,18090	,17071	,
江苏省	,	,26975	,25029	,22597	,21130	,17022	,17716	,16567	,15612	,14428	,
浙江省	,	,33043	,30468	,27483	,25415	,21555	,21352	,19707	,18093	,17359	,
安徽省	,	,20154	,18905	,17980	,17163	,15024	,14546	,12748	,11106	,10287	,
福建省	,	,23179	,21746	,20467	,19290	,16339	,16281	,14943	,14003	,12911	,
江西省	,	,19692	,18421	,16984	,15663	,13579	,12497	,10885	,9870	,9128	,
山东省	,	,17253	,16075	,14687	,14299	,12660	,12309	,11270	,10342	,9519	,
河南省	,	,17515	,16638	,14824	,14073	,12201	,11546	,10392	,9212	,8587	,
湖北省	,	,21326	,20922	,18991	,17647	,14472	,15328	,13946	,11633	,10938	,
湖南省	,	,20068	,19210	,18078	,16951	,14974	,13969	,12721	,11534	,10630	,
广东省	,	,23057	,22209	,20800	,20012	,17132	,16949	,15411	,13200	,12415	,
广西壮族自治区	,	,16525	,15435	,14658	,14165	,12431	,12045	,10617	,9437	,8351	,
海南省	,	,18415	,16924	,15145	,15487	,13169	,12418	,10956	,9599	,8921	,
重庆市	,	,18918	,17964	,16727	,16096	,14140	,13112	,11977	,10936	,9954	,
四川省	,	,18878	,17901	,17199	,16444	,14953	,14056	,12723	,11397	,10192	,
贵州省	,	,14802	,14260	,13172	,12557	,10818	,10222	,9170	,8299	,7533	,
云南省	,	,16214	,15147	,13309	,12386	,11069	,10260	,9123	,8027	,7331	,
西藏自治区	,	,13985	,12619	,11139	,10577	,8917	,8418	,7452	,6691	,6070	,
陕西省	,	,16731	,15647	,14094	,13158	,11376	,10935	,10071	,9306	,8568	,
甘肃省	,	,13107	,12575	,11494	,11206	,9923	,9694	,9065	,8030	,7487	,
青海省	,	,15421	,14790	,12516	,13300	,12134	,11343	,10352	,9903	,9222	,
宁夏回族自治区	,	,15622	,14649	,12825	,13536	,11724	,11465	,10790	,9982	,9138	,
新疆维吾尔自治区	,	,14738	,13645	,12169	,12821	,10778	,10318	,9421	,8713	,8277	,
数据来源：国家统计局
