数据库：分省年度数据 
时间：2016年-2025年 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,	,38.20	,73.04	,60.63	,66.88	,65.28	,67.77	,65.14	,61.51	,54.71	,
天津市	,	,71.50	,70.90	,52.47	,62.04	,57.60	,39.24	,36.91	,40.32	,92.19	,
河北省	,	,621.10	,595.85	,471.25	,476.09	,454.73	,501.57	,505.16	,615.16	,600.78	,
山西省	,	,209.60	,194.01	,156.16	,156.43	,140.27	,104.90	,101.42	,99.26	,97.52	,
内蒙古自治区	,	,182.00	,178.14	,103.29	,119.79	,107.96	,91.16	,85.51	,78.90	,71.09	,
辽宁省	,	,203.30	,191.68	,130.05	,167.92	,159.19	,176.97	,306.22	,528.01	,489.80	,
吉林省	,	,92.90	,87.05	,58.77	,72.31	,69.08	,54.88	,54.85	,52.96	,51.13	,
黑龙江省	,	,125.80	,120.23	,86.27	,117.14	,112.20	,85.64	,82.80	,79.77	,77.47	,
上海市	,	,13.10	,12.42	,6.09	,11.32	,10.18	,1102.04	,1053.42	,1013.20	,983.22	,
江苏省	,	,706.10	,610.47	,542.02	,520.22	,479.61	,1949.11	,1933.14	,1887.99	,1869.27	,
浙江省	,	,648.10	,574.25	,575.63	,424.46	,343.02	,1026.73	,1008.31	,976.65	,926.09	,
安徽省	,	,395.00	,341.72	,305.92	,280.41	,268.17	,189.15	,180.79	,171.31	,161.62	,
福建省	,	,362.80	,341.19	,277.45	,311.73	,294.62	,417.92	,403.87	,388.38	,384.45	,
江西省	,	,224.10	,200.37	,186.49	,167.16	,160.81	,119.24	,112.47	,108.50	,104.58	,
山东省	,	,657.00	,607.92	,463.20	,507.75	,485.14	,435.92	,416.24	,488.45	,488.84	,
河南省	,	,603.60	,568.85	,505.53	,451.43	,426.52	,353.83	,330.59	,328.82	,317.23	,
湖北省	,	,312.10	,277.16	,232.39	,203.56	,204.05	,178.55	,165.21	,156.57	,152.86	,
湖南省	,	,330.60	,317.25	,332.52	,331.23	,309.88	,132.98	,130.82	,128.56	,126.70	,
广东省	,	,806.90	,764.21	,564.51	,690.40	,615.42	,1448.04	,1443.10	,1414.77	,1334.78	,
广西壮族自治区	,	,288.70	,270.63	,211.99	,236.83	,211.61	,126.47	,108.25	,103.53	,95.37	,
海南省	,	,83.90	,76.21	,46.13	,62.65	,54.87	,18.68	,17.41	,15.52	,13.89	,
重庆市	,	,106.30	,90.47	,88.36	,85.57	,82.50	,80.90	,79.53	,80.18	,78.69	,
四川省	,	,377.50	,328.25	,293.65	,273.15	,256.56	,205.80	,198.62	,188.44	,183.08	,
贵州省	,	,199.60	,186.51	,164.23	,167.95	,160.46	,104.94	,98.41	,95.11	,85.25	,
云南省	,	,216.20	,204.83	,165.74	,173.75	,163.98	,120.42	,104.94	,102.34	,95.26	,
西藏自治区	,	,10.40	,8.12	,5.35	,4.79	,3.63	,2.48	,1.59	,1.34	,1.21	,
陕西省	,	,227.60	,182.11	,156.92	,154.29	,142.07	,137.82	,133.60	,130.85	,118.68	,
甘肃省	,	,135.70	,135.87	,108.92	,114.01	,104.15	,61.69	,59.08	,55.85	,54.22	,
青海省	,	,18.70	,17.36	,14.55	,14.48	,13.94	,7.14	,6.55	,6.42	,5.94	,
宁夏回族自治区	,	,56.60	,51.77	,33.35	,40.63	,36.08	,16.12	,15.05	,14.63	,14.16	,
新疆维吾尔自治区	,	,336.40	,313.06	,218.72	,269.92	,217.37	,124.83	,119.54	,111.13	,108.16	,
注：1. 2008年起乡村办水电站统计口径变更为农村水电，1978-2007年历史数据为乡村办水电站口径。农村水电是指装机容量5万千瓦及以下水电站和配套电网。
数据来源：国家统计局
