数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,268.52	,269.60	,273.53	,268.93	,279.82	,284.84	,289.58	,292.61	,300.84	,
农业总产值 (亿元) 	,	,144.20	,145.25	,149.26	,144.94	,138.00	,145.81	,150.09	,146.40	,146.58	,
林业总产值 (亿元) 	,	,8.03	,7.18	,8.32	,8.68	,15.16	,18.27	,15.80	,15.31	,13.20	,
牧业总产值 (亿元) 	,	,50.10	,47.01	,46.36	,45.34	,55.06	,48.24	,48.32	,61.17	,80.17	,
渔业总产值 (亿元) 	,	,48.88	,52.71	,51.21	,47.72	,50.95	,54.95	,56.21	,58.39	,50.31	,
农林牧渔业总产值指数 (上年=100) 	,	,99.4	,99.3	,98.9	,93.3	,93.0	,92.7	,97.7	,95.7	,90.8	,
农业总产值指数 (上年=100) 	,	,98.8	,98.7	,99.6	,95.5	,93.7	,92.2	,100.7	,99.8	,90.3	,
林业总产值指数 (上年=100) 	,	,97.0	,86.9	,88.8	,57.7	,81.4	,111.4	,96.6	,114.3	,110.0	,
牧业总产值指数 (上年=100) 	,	,105.0	,107.2	,103.9	,98.9	,90.8	,80.9	,82.6	,76.0	,88.9	,
渔业总产值指数 (上年=100) 	,	,96.4	,97.7	,102.7	,86.7	,90.0	,100.1	,93.0	,108.5	,90.2	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
