数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,6846.86	,6834.50	,6635.80	,6351.82	,5920.52	,4935.73	,4108.88	,3872.93	,3704.69	,
农业总产值 (亿元) 	,	,4023.68	,4041.84	,3629.90	,3441.47	,2902.24	,2680.16	,2234.74	,1982.52	,1888.83	,
林业总产值 (亿元) 	,	,595.58	,485.17	,492.20	,497.33	,429.50	,395.54	,396.88	,381.53	,330.37	,
牧业总产值 (亿元) 	,	,1869.18	,1969.32	,2192.30	,2113.31	,2315.41	,1600.73	,1237.12	,1289.45	,1286.06	,
渔业总产值 (亿元) 	,	,134.12	,125.37	,119.90	,112.38	,103.98	,105.38	,98.25	,87.70	,76.39	,
农林牧渔业总产值指数 (上年=100) 	,	,102.6	,104.3	,105.5	,110.4	,105.8	,105.6	,106.3	,106.0	,105.8	,
农业总产值指数 (上年=100) 	,	,105.1	,104.5	,105.1	,107.8	,107.0	,108.7	,106.8	,106.2	,106.1	,
林业总产值指数 (上年=100) 	,	,107.0	,107.0	,106.9	,105.5	,106.4	,101.6	,109.9	,110.7	,111.1	,
牧业总产值指数 (上年=100) 	,	,95.8	,103.4	,105.9	,115.0	,103.6	,101.6	,104.2	,104.4	,102.9	,
渔业总产值指数 (上年=100) 	,	,105.6	,103.9	,103.0	,102.7	,103.4	,104.0	,109.8	,109.4	,111.1	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
