数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,4832.59	,4447.31	,4316.76	,3815.12	,3472.36	,3176.34	,2985.32	,2813.54	,2803.55	,
农业总产值 (亿元) 	,	,2552.72	,2288.03	,2208.47	,1879.55	,1699.01	,1606.34	,1512.50	,1434.73	,1477.56	,
林业总产值 (亿元) 	,	,185.14	,116.85	,107.50	,94.06	,89.78	,100.89	,100.31	,99.91	,98.64	,
牧业总产值 (亿元) 	,	,1938.59	,1898.72	,1876.28	,1755.27	,1603.36	,1390.46	,1294.31	,1200.56	,1149.75	,
渔业总产值 (亿元) 	,	,35.87	,32.16	,31.30	,29.82	,27.79	,27.82	,29.25	,31.30	,33.03	,
农林牧渔业总产值指数 (上年=100) 	,	,105.7	,105.5	,104.9	,105.1	,101.8	,102.1	,103.0	,103.2	,103.1	,
农业总产值指数 (上年=100) 	,	,106.0	,104.4	,103.9	,104.8	,100.3	,103.4	,103.9	,103.5	,102.8	,
林业总产值指数 (上年=100) 	,	,113.8	,106.8	,109.0	,106.1	,93.8	,101.0	,100.8	,102.4	,100.3	,
牧业总产值指数 (上年=100) 	,	,104.9	,106.6	,105.5	,105.4	,104.2	,100.9	,102.2	,103.1	,103.6	,
渔业总产值指数 (上年=100) 	,	,105.8	,104.2	,105.3	,102.7	,99.5	,93.3	,97.6	,99.0	,102.8	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
