数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,256.05	,252.62	,268.18	,269.51	,263.43	,281.70	,296.77	,308.32	,338.06	,
农业总产值 (亿元) 	,	,139.61	,135.60	,129.77	,122.98	,107.57	,102.33	,114.75	,129.83	,145.20	,
林业总产值 (亿元) 	,	,64.09	,65.87	,86.52	,88.80	,97.74	,115.63	,95.13	,58.82	,52.21	,
牧业总产值 (亿元) 	,	,41.65	,41.99	,42.29	,46.27	,45.21	,49.32	,71.97	,101.37	,122.69	,
渔业总产值 (亿元) 	,	,5.08	,4.04	,3.85	,4.37	,4.09	,5.28	,6.15	,9.61	,9.23	,
农林牧渔业总产值指数 (上年=100) 	,	,101.9	,95.4	,98.0	,102.8	,93.3	,93.7	,94.0	,93.1	,90.1	,
农业总产值指数 (上年=100) 	,	,103.0	,104.7	,102.8	,111.3	,105.9	,89.2	,81.1	,88.1	,95.0	,
林业总产值指数 (上年=100) 	,	,97.3	,76.4	,97.4	,91.5	,84.5	,121.6	,161.7	,112.7	,91.1	,
牧业总产值指数 (上年=100) 	,	,102.7	,105.8	,89.8	,111.3	,88.9	,63.5	,73.6	,89.6	,84.4	,
渔业总产值指数 (上年=100) 	,	,125.1	,103.5	,94.8	,103.5	,79.0	,86.2	,66.0	,100.8	,78.6	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
