数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,3031.29	,3128.02	,3217.91	,2972.32	,2976.00	,2442.73	,2184.34	,2064.29	,2167.89	,
农业总产值 (亿元) 	,	,1443.73	,1494.51	,1512.73	,1302.91	,1231.84	,1014.12	,992.96	,895.83	,948.98	,
林业总产值 (亿元) 	,	,75.42	,70.05	,69.49	,72.59	,71.92	,68.09	,73.28	,69.38	,72.64	,
牧业总产值 (亿元) 	,	,1344.07	,1402.18	,1482.58	,1454.25	,1547.38	,1239.58	,1001.64	,982.37	,1033.40	,
渔业总产值 (亿元) 	,	,68.67	,65.44	,61.59	,54.39	,41.43	,40.12	,39.02	,41.72	,40.25	,
农林牧渔业总产值指数 (上年=100) 	,	,104.5	,105.0	,104.1	,107.5	,101.8	,102.3	,102.2	,102.4	,103.2	,
农业总产值指数 (上年=100) 	,	,102.9	,103.7	,102.8	,106.5	,103.0	,105.5	,102.8	,107.0	,105.3	,
林业总产值指数 (上年=100) 	,	,107.7	,105.3	,101.4	,101.9	,112.4	,94.5	,92.3	,94.6	,100.1	,
牧业总产值指数 (上年=100) 	,	,106.0	,106.2	,105.4	,108.0	,100.2	,99.7	,102.7	,100.5	,100.9	,
渔业总产值指数 (上年=100) 	,	,110.1	,109.2	,112.4	,138.6	,102.9	,102.7	,95.7	,103.3	,106.9	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
