数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,10297.54	,9977.76	,9859.75	,9383.32	,9216.40	,7889.35	,7195.65	,6955.55	,6816.92	,
农业总产值 (亿元) 	,	,6075.78	,5821.66	,5528.76	,5089.48	,4701.88	,4395.04	,4153.71	,4004.20	,3701.64	,
林业总产值 (亿元) 	,	,565.62	,481.80	,438.22	,408.44	,379.82	,372.21	,358.74	,346.80	,329.31	,
牧业总产值 (亿元) 	,	,2977.36	,3035.62	,3281.67	,3305.28	,3613.81	,2647.88	,2246.08	,2199.72	,2405.54	,
渔业总产值 (亿元) 	,	,377.40	,359.09	,343.11	,327.82	,287.54	,263.47	,247.94	,234.92	,220.01	,
农林牧渔业总产值指数 (上年=100) 	,	,102.5	,104.0	,104.5	,107.5	,105.6	,102.6	,103.9	,104.5	,104.0	,
农业总产值指数 (上年=100) 	,	,104.6	,104.9	,104.5	,105.0	,104.5	,105.5	,104.6	,105.2	,111.3	,
林业总产值指数 (上年=100) 	,	,109.9	,109.9	,106.5	,105.4	,102.9	,102.1	,101.7	,105.4	,105.0	,
牧业总产值指数 (上年=100) 	,	,96.6	,101.6	,104.3	,111.1	,107.8	,96.6	,102.4	,101.2	,93.8	,
渔业总产值指数 (上年=100) 	,	,105.1	,104.7	,104.5	,105.1	,104.6	,104.1	,104.9	,105.2	,104.9	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
