数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,538.12	,511.26	,521.44	,509.26	,476.44	,414.35	,390.50	,382.07	,395.57	,
农业总产值 (亿元) 	,	,290.77	,269.39	,276.80	,258.39	,228.76	,202.91	,197.21	,183.17	,181.89	,
林业总产值 (亿元) 	,	,6.42	,5.98	,8.86	,9.50	,15.73	,24.92	,12.73	,8.98	,8.35	,
牧业总产值 (亿元) 	,	,143.36	,145.55	,147.23	,142.48	,145.47	,100.39	,95.76	,107.96	,118.99	,
渔业总产值 (亿元) 	,	,77.70	,71.91	,70.46	,80.93	,68.09	,71.42	,71.13	,69.81	,74.39	,
农林牧渔业总产值指数 (上年=100) 	,	,104.1	,101.3	,102.9	,102.1	,101.4	,100.6	,100.9	,102.1	,103.3	,
农业总产值指数 (上年=100) 	,	,105.7	,96.0	,106.9	,101.8	,104.8	,103.2	,99.1	,103.2	,105.5	,
林业总产值指数 (上年=100) 	,	,107.6	,83.3	,102.7	,52.7	,65.9	,195.8	,141.8	,107.5	,107.9	,
牧业总产值指数 (上年=100) 	,	,100.8	,109.6	,97.9	,109.8	,100.6	,83.5	,94.8	,102.6	,98.7	,
渔业总产值指数 (上年=100) 	,	,103.7	,107.2	,99.0	,99.9	,102.4	,97.9	,107.7	,97.9	,103.2	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
