数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,933.63	,885.69	,845.92	,759.81	,703.07	,584.85	,575.77	,517.42	,496.27	,
农业总产值 (亿元) 	,	,488.40	,459.51	,455.59	,412.70	,397.91	,330.78	,344.63	,308.96	,299.71	,
林业总产值 (亿元) 	,	,12.37	,10.64	,11.48	,11.38	,10.92	,11.17	,9.22	,9.69	,10.11	,
牧业总产值 (亿元) 	,	,369.98	,358.01	,323.50	,280.66	,246.59	,197.82	,176.11	,155.68	,146.55	,
渔业总产值 (亿元) 	,	,26.65	,22.83	,22.75	,24.96	,18.98	,17.42	,19.75	,18.62	,16.97	,
农林牧渔业总产值指数 (上年=100) 	,	,106.3	,107.6	,104.9	,104.8	,103.6	,103.1	,104.0	,104.5	,104.4	,
农业总产值指数 (上年=100) 	,	,104.3	,102.1	,102.0	,100.9	,102.2	,104.0	,104.2	,103.6	,103.7	,
林业总产值指数 (上年=100) 	,	,112.4	,92.7	,101.4	,108.0	,87.4	,120.5	,94.7	,93.1	,83.6	,
牧业总产值指数 (上年=100) 	,	,109.0	,116.3	,109.3	,110.8	,107.3	,101.0	,104.8	,107.2	,107.9	,
渔业总产值指数 (上年=100) 	,	,106.4	,105.7	,104.7	,105.4	,101.4	,96.8	,99.9	,105.8	,108.3	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
