数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,6400.63	,6247.89	,6277.98	,6004.31	,5680.91	,5162.13	,4672.71	,4597.94	,4432.32	,
农业总产值 (亿元) 	,	,2949.72	,2906.33	,2937.04	,2802.93	,2525.42	,2365.39	,2253.66	,2241.42	,2137.03	,
林业总产值 (亿元) 	,	,522.00	,479.88	,473.34	,412.90	,387.47	,351.28	,332.94	,319.08	,291.08	,
牧业总产值 (亿元) 	,	,1746.37	,1746.31	,1812.53	,1810.86	,1900.19	,1628.90	,1315.84	,1321.69	,1319.74	,
渔业总产值 (亿元) 	,	,723.09	,689.48	,660.28	,621.66	,542.57	,521.31	,505.65	,476.21	,466.11	,
农林牧渔业总产值指数 (上年=100) 	,	,103.5	,104.4	,104.5	,109.3	,102.7	,102.3	,102.6	,103.5	,103.4	,
农业总产值指数 (上年=100) 	,	,103.2	,102.9	,102.9	,103.4	,102.3	,103.4	,102.1	,104.4	,102.5	,
林业总产值指数 (上年=100) 	,	,111.1	,106.8	,109.5	,98.5	,107.7	,104.3	,103.1	,109.6	,104.9	,
牧业总产值指数 (上年=100) 	,	,100.4	,105.6	,105.0	,121.3	,101.7	,98.2	,101.9	,101.9	,102.0	,
渔业总产值指数 (上年=100) 	,	,105.2	,104.2	,104.0	,104.2	,102.2	,103.3	,103.2	,103.2	,103.1	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
