数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,12832.34	,12531.90	,12130.71	,11468.01	,10190.58	,9671.67	,9397.39	,9140.36	,9075.60	,
农业总产值 (亿元) 	,	,6753.21	,6462.43	,6206.54	,5814.56	,5168.36	,4914.43	,4678.26	,4403.23	,4387.51	,
林业总产值 (亿元) 	,	,251.94	,244.47	,227.29	,219.94	,214.20	,197.70	,181.63	,165.09	,147.48	,
牧业总产值 (亿元) 	,	,2948.53	,2973.68	,3003.54	,2904.24	,2571.87	,2412.06	,2432.67	,2501.37	,2620.29	,
渔业总产值 (亿元) 	,	,1739.40	,1807.64	,1729.65	,1652.60	,1432.08	,1397.42	,1425.91	,1475.96	,1409.65	,
农林牧渔业总产值指数 (上年=100) 	,	,103.9	,105.1	,104.8	,108.6	,103.0	,100.8	,103.0	,104.0	,104.4	,
农业总产值指数 (上年=100) 	,	,103.4	,104.1	,104.7	,104.3	,103.4	,103.1	,103.9	,104.4	,105.0	,
林业总产值指数 (上年=100) 	,	,105.2	,109.9	,108.5	,101.7	,106.3	,109.2	,109.3	,109.9	,109.5	,
牧业总产值指数 (上年=100) 	,	,102.8	,106.4	,103.5	,119.2	,102.3	,95.4	,99.9	,103.7	,102.6	,
渔业总产值指数 (上年=100) 	,	,104.7	,104.4	,104.4	,105.9	,101.3	,97.4	,100.8	,99.5	,102.0	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
