数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,2341.38	,2291.70	,2211.59	,2134.02	,1935.84	,1626.54	,1460.64	,1418.73	,1429.91	,
农业总产值 (亿元) 	,	,1355.77	,1332.70	,1288.41	,1223.14	,1075.94	,936.76	,894.95	,861.89	,824.42	,
林业总产值 (亿元) 	,	,176.19	,177.35	,174.52	,159.80	,137.08	,101.31	,99.90	,97.66	,92.74	,
牧业总产值 (亿元) 	,	,664.56	,642.75	,615.81	,624.39	,606.32	,478.57	,361.53	,358.84	,415.59	,
渔业总产值 (亿元) 	,	,10.10	,9.59	,9.06	,9.12	,6.62	,6.91	,6.88	,7.69	,7.64	,
农林牧渔业总产值指数 (上年=100) 	,	,104.1	,104.0	,105.0	,109.9	,105.8	,102.0	,102.2	,103.0	,103.2	,
农业总产值指数 (上年=100) 	,	,103.1	,103.7	,104.8	,104.4	,105.7	,102.5	,101.5	,104.2	,103.3	,
林业总产值指数 (上年=100) 	,	,98.7	,94.4	,100.2	,109.4	,91.4	,102.2	,104.1	,108.2	,106.6	,
牧业总产值指数 (上年=100) 	,	,107.6	,107.5	,106.7	,120.6	,109.2	,100.7	,102.7	,99.4	,101.9	,
渔业总产值指数 (上年=100) 	,	,105.0	,104.5	,104.4	,108.7	,101.2	,100.2	,98.8	,103.6	,100.2	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
