数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,9718.61	,9202.09	,8892.29	,8305.84	,7901.92	,7175.89	,6318.12	,5969.87	,5817.55	,
农业总产值 (亿元) 	,	,4706.31	,4430.96	,4308.23	,3951.14	,3769.26	,3530.21	,3089.57	,2889.97	,2763.79	,
林业总产值 (亿元) 	,	,603.41	,562.69	,549.15	,495.44	,414.29	,408.48	,390.62	,356.14	,330.04	,
牧业总产值 (亿元) 	,	,1735.83	,1696.79	,1680.24	,1707.82	,1778.18	,1404.13	,1184.72	,1202.30	,1318.89	,
渔业总产值 (亿元) 	,	,2097.81	,2005.31	,1898.24	,1747.34	,1581.54	,1524.78	,1383.81	,1276.11	,1179.15	,
农林牧渔业总产值指数 (上年=100) 	,	,103.8	,105.1	,104.8	,107.1	,104.0	,103.5	,104.2	,103.6	,102.9	,
农业总产值指数 (上年=100) 	,	,103.0	,103.5	,104.2	,104.7	,105.6	,105.8	,105.1	,104.6	,103.6	,
林业总产值指数 (上年=100) 	,	,108.8	,108.2	,107.8	,100.8	,101.2	,105.1	,106.5	,104.9	,106.4	,
牧业总产值指数 (上年=100) 	,	,99.7	,107.0	,103.9	,115.1	,96.8	,94.8	,101.1	,99.2	,99.0	,
渔业总产值指数 (上年=100) 	,	,105.2	,104.9	,104.6	,104.6	,105.7	,103.8	,103.7	,103.7	,103.4	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
