数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,7634.12	,7229.34	,6938.53	,6524.39	,5913.28	,5498.81	,4909.24	,4698.71	,4560.20	,
农业总产值 (亿元) 	,	,4523.39	,4253.52	,3977.68	,3690.73	,3268.80	,3102.27	,2717.48	,2538.87	,2342.20	,
林业总产值 (亿元) 	,	,598.68	,543.70	,548.46	,538.10	,437.36	,410.54	,379.86	,346.43	,323.53	,
牧业总产值 (亿元) 	,	,1567.24	,1505.31	,1509.55	,1437.58	,1423.75	,1189.68	,1072.32	,1128.57	,1281.46	,
渔业总产值 (亿元) 	,	,585.88	,583.01	,575.80	,555.06	,508.30	,538.93	,504.29	,470.97	,423.70	,
农林牧渔业总产值指数 (上年=100) 	,	,104.1	,104.7	,105.0	,109.2	,105.0	,104.8	,105.6	,104.4	,103.3	,
农业总产值指数 (上年=100) 	,	,104.1	,104.4	,105.3	,106.4	,106.5	,107.4	,106.8	,105.3	,104.7	,
林业总产值指数 (上年=100) 	,	,110.5	,106.0	,104.7	,107.6	,107.7	,107.3	,106.3	,105.1	,105.9	,
牧业总产值指数 (上年=100) 	,	,102.0	,105.0	,105.1	,119.0	,102.1	,96.1	,102.7	,101.4	,98.3	,
渔业总产值指数 (上年=100) 	,	,103.0	,103.6	,103.0	,102.6	,101.1	,106.2	,104.8	,104.5	,104.3	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
