数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,5350.01	,5648.25	,5469.04	,5143.12	,4315.61	,3850.65	,3637.79	,3326.59	,3165.92	,
农业总产值 (亿元) 	,	,3747.24	,3991.42	,3753.98	,3488.99	,2936.33	,2616.30	,2541.16	,2313.24	,2201.74	,
林业总产值 (亿元) 	,	,56.86	,55.62	,53.50	,79.12	,66.00	,65.56	,62.70	,54.26	,50.28	,
牧业总产值 (亿元) 	,	,1122.04	,1210.60	,1305.28	,1265.69	,1038.08	,915.27	,796.42	,748.53	,720.71	,
渔业总产值 (亿元) 	,	,39.27	,33.56	,32.13	,35.95	,27.24	,27.53	,28.09	,23.23	,22.19	,
农林牧渔业总产值指数 (上年=100) 	,	,106.8	,106.5	,105.8	,108.8	,104.7	,103.5	,105.1	,108.2	,106.0	,
农业总产值指数 (上年=100) 	,	,107.9	,106.0	,105.7	,107.3	,105.8	,104.9	,105.3	,105.0	,106.4	,
林业总产值指数 (上年=100) 	,	,105.8	,108.8	,63.1	,107.9	,108.3	,99.5	,108.5	,107.5	,107.4	,
牧业总产值指数 (上年=100) 	,	,101.6	,107.7	,106.5	,113.0	,100.9	,99.5	,103.3	,104.2	,104.4	,
渔业总产值指数 (上年=100) 	,	,111.3	,108.8	,100.7	,113.7	,95.2	,90.8	,109.5	,108.6	,106.6	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
