数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,9284.65	,8935.53	,8733.80	,8279.72	,7952.59	,7503.15	,7192.46	,7161.21	,7178.96	,
农业总产值 (亿元) 	,	,5010.93	,4844.11	,4685.72	,4426.06	,4102.16	,3828.60	,3735.02	,3764.73	,3663.42	,
林业总产值 (亿元) 	,	,196.37	,188.42	,185.65	,178.15	,172.85	,162.00	,147.25	,136.73	,129.33	,
牧业总产值 (亿元) 	,	,1239.08	,1230.13	,1294.18	,1215.87	,1315.84	,1213.02	,1091.31	,1157.98	,1326.67	,
渔业总产值 (亿元) 	,	,1995.01	,1903.21	,1856.93	,1833.51	,1774.00	,1740.99	,1707.87	,1623.43	,1621.88	,
农林牧渔业总产值指数 (上年=100) 	,	,103.7	,103.9	,103.9	,104.3	,102.0	,100.7	,100.9	,102.4	,100.8	,
农业总产值指数 (上年=100) 	,	,103.6	,102.9	,103.3	,103.2	,102.8	,102.8	,100.8	,103.5	,100.5	,
林业总产值指数 (上年=100) 	,	,106.3	,104.9	,105.0	,101.5	,104.3	,105.2	,105.5	,106.1	,104.2	,
牧业总产值指数 (上年=100) 	,	,99.7	,105.0	,103.9	,112.5	,100.7	,92.3	,97.2	,99.4	,98.9	,
渔业总产值指数 (上年=100) 	,	,104.5	,104.0	,102.0	,101.1	,100.6	,99.3	,102.4	,100.6	,101.2	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
