数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,4494.06	,4198.93	,4223.81	,3998.09	,3820.74	,3481.29	,3148.57	,3069.01	,3019.87	,
农业总产值 (亿元) 	,	,2167.96	,2003.39	,1916.68	,1796.31	,1689.88	,1624.25	,1549.22	,1489.29	,1435.31	,
林业总产值 (亿元) 	,	,433.11	,399.77	,416.89	,398.91	,367.81	,342.81	,319.56	,296.49	,294.61	,
牧业总产值 (亿元) 	,	,1034.63	,978.34	,1094.39	,1051.36	,1125.41	,888.94	,672.18	,709.68	,770.51	,
渔业总产值 (亿元) 	,	,574.12	,554.10	,553.16	,548.31	,473.50	,476.52	,473.92	,453.06	,408.11	,
农林牧渔业总产值指数 (上年=100) 	,	,103.6	,104.2	,104.3	,108.9	,102.7	,103.0	,103.5	,104.4	,104.1	,
农业总产值指数 (上年=100) 	,	,103.2	,103.9	,102.8	,104.0	,103.9	,104.0	,104.2	,105.7	,104.8	,
林业总产值指数 (上年=100) 	,	,108.2	,107.9	,106.7	,104.9	,105.5	,105.1	,106.0	,106.9	,107.5	,
牧业总产值指数 (上年=100) 	,	,100.8	,102.1	,104.6	,120.2	,100.1	,100.6	,100.8	,101.1	,102.1	,
渔业总产值指数 (上年=100) 	,	,104.6	,104.8	,104.4	,104.1	,100.3	,101.1	,102.4	,103.8	,102.6	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
