数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,7916.10	,7770.85	,7667.41	,7018.67	,6742.49	,6061.46	,5707.00	,5373.38	,5299.66	,
农业总产值 (亿元) 	,	,4166.75	,4081.04	,4035.67	,3645.02	,3413.34	,3114.86	,3085.86	,2890.60	,2772.86	,
林业总产值 (亿元) 	,	,267.80	,259.13	,266.56	,263.66	,255.35	,231.38	,186.64	,175.54	,148.30	,
牧业总产值 (亿元) 	,	,2374.82	,2394.97	,2391.71	,2239.50	,2309.72	,2035.42	,1813.82	,1735.82	,1846.23	,
渔业总产值 (亿元) 	,	,363.46	,351.21	,342.29	,298.02	,243.22	,212.54	,207.49	,195.86	,190.30	,
农林牧渔业总产值指数 (上年=100) 	,	,103.8	,103.0	,104.6	,107.1	,103.5	,101.9	,103.0	,104.0	,103.5	,
农业总产值指数 (上年=100) 	,	,104.5	,101.8	,103.9	,103.6	,104.2	,101.7	,102.0	,104.9	,103.2	,
林业总产值指数 (上年=100) 	,	,103.9	,102.7	,101.5	,102.6	,105.6	,104.8	,99.0	,107.9	,106.4	,
牧业总产值指数 (上年=100) 	,	,101.3	,103.7	,104.8	,112.4	,101.0	,100.4	,104.2	,102.1	,103.0	,
渔业总产值指数 (上年=100) 	,	,103.6	,104.2	,106.1	,107.6	,103.9	,100.6	,101.3	,98.2	,103.8	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
