数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,10632.62	,10304.58	,10952.24	,10501.20	,9956.35	,8541.77	,7757.94	,7562.53	,7405.42	,
农业总产值 (亿元) 	,	,6680.45	,6471.19	,6948.30	,6564.83	,6244.84	,5408.59	,4973.68	,4552.68	,4459.29	,
林业总产值 (亿元) 	,	,176.11	,162.24	,149.55	,134.08	,126.69	,140.76	,129.01	,128.88	,121.28	,
牧业总产值 (亿元) 	,	,2609.89	,2595.99	,2832.30	,2942.06	,2855.83	,2316.50	,2067.71	,2368.92	,2355.99	,
渔业总产值 (亿元) 	,	,144.65	,141.51	,147.45	,143.41	,117.63	,118.16	,122.71	,107.79	,107.27	,
农林牧渔业总产值指数 (上年=100) 	,	,103.6	,102.2	,105.1	,107.1	,102.7	,103.0	,103.9	,104.5	,104.5	,
农业总产值指数 (上年=100) 	,	,103.6	,102.1	,105.4	,101.0	,103.1	,105.2	,103.6	,105.0	,105.9	,
林业总产值指数 (上年=100) 	,	,106.6	,109.7	,106.6	,104.2	,109.8	,105.9	,107.4	,106.3	,104.9	,
牧业总产值指数 (上年=100) 	,	,101.4	,100.7	,103.3	,120.4	,99.9	,94.8	,102.4	,102.5	,101.0	,
渔业总产值指数 (上年=100) 	,	,106.0	,105.0	,103.7	,106.7	,101.9	,109.9	,106.0	,106.4	,105.5	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
