数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,4171.74	,3978.02	,3752.31	,3579.21	,3496.94	,3355.25	,3157.25	,3093.36	,3038.49	,
农业总产值 (亿元) 	,	,1960.09	,1871.94	,1769.83	,1697.86	,1593.96	,1594.96	,1517.96	,1494.49	,1455.29	,
林业总产值 (亿元) 	,	,202.61	,198.25	,183.01	,168.25	,189.56	,185.48	,177.01	,170.16	,158.15	,
牧业总产值 (亿元) 	,	,410.06	,393.16	,405.66	,402.74	,472.63	,395.16	,331.80	,371.29	,455.60	,
渔业总产值 (亿元) 	,	,1450.01	,1375.25	,1261.18	,1188.32	,1130.63	,1080.93	,1043.27	,979.28	,899.07	,
农林牧渔业总产值指数 (上年=100) 	,	,103.7	,104.2	,103.4	,103.0	,101.7	,101.8	,101.7	,102.3	,102.5	,
农业总产值指数 (上年=100) 	,	,103.3	,102.9	,101.7	,102.5	,102.4	,102.5	,102.9	,104.6	,103.4	,
林业总产值指数 (上年=100) 	,	,101.4	,108.5	,107.3	,89.0	,100.1	,102.3	,105.9	,106.6	,101.2	,
牧业总产值指数 (上年=100) 	,	,101.7	,107.9	,105.6	,111.2	,94.4	,94.3	,92.0	,89.9	,93.7	,
渔业总产值指数 (上年=100) 	,	,104.7	,104.2	,104.1	,102.0	,102.9	,102.2	,102.1	,103.6	,105.2	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
