数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,2605.41	,2410.33	,2272.04	,2014.79	,1821.02	,1689.40	,1535.73	,1488.86	,1433.88	,
农业总产值 (亿元) 	,	,1404.94	,1319.74	,1236.81	,1049.56	,874.81	,819.58	,729.51	,707.42	,676.56	,
林业总产值 (亿元) 	,	,156.01	,111.41	,118.69	,118.25	,121.15	,106.39	,110.44	,107.71	,97.76	,
牧业总产值 (亿元) 	,	,317.25	,334.24	,340.48	,327.65	,357.07	,300.85	,245.32	,245.05	,276.94	,
渔业总产值 (亿元) 	,	,595.03	,523.04	,466.61	,435.16	,390.80	,390.90	,387.44	,372.77	,333.15	,
农林牧渔业总产值指数 (上年=100) 	,	,102.4	,104.8	,103.5	,105.1	,102.4	,102.6	,104.1	,103.5	,104.3	,
农业总产值指数 (上年=100) 	,	,101.9	,103.4	,104.1	,106.1	,106.1	,105.4	,105.1	,105.7	,104.8	,
林业总产值指数 (上年=100) 	,	,118.5	,101.3	,96.9	,91.5	,112.6	,105.3	,105.4	,102.5	,104.0	,
牧业总产值指数 (上年=100) 	,	,92.5	,107.1	,103.0	,108.4	,91.9	,93.9	,103.9	,99.4	,103.2	,
渔业总产值指数 (上年=100) 	,	,105.1	,106.4	,102.7	,103.0	,99.3	,100.7	,101.2	,103.0	,103.5	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
