数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,9844.05	,9106.87	,8939.33	,8296.44	,7303.64	,6681.85	,6207.83	,6129.72	,5863.98	,
农业总产值 (亿元) 	,	,4845.67	,4428.78	,4193.14	,3912.47	,3492.54	,3257.85	,3033.76	,2962.49	,2794.79	,
林业总产值 (亿元) 	,	,408.16	,356.25	,311.22	,302.70	,245.37	,258.47	,235.23	,213.26	,203.43	,
牧业总产值 (亿元) 	,	,1986.43	,1934.32	,2128.19	,1990.16	,1864.78	,1521.49	,1386.53	,1478.10	,1527.29	,
渔业总产值 (亿元) 	,	,1727.01	,1602.02	,1584.34	,1458.88	,1156.78	,1152.68	,1105.95	,1089.08	,1030.01	,
农林牧渔业总产值指数 (上年=100) 	,	,103.7	,104.4	,104.4	,114.3	,100.7	,103.5	,103.4	,103.2	,104.9	,
农业总产值指数 (上年=100) 	,	,102.6	,103.4	,102.7	,104.1	,103.9	,103.9	,103.8	,104.6	,105.0	,
林业总产值指数 (上年=100) 	,	,110.9	,111.4	,107.7	,120.3	,97.1	,109.7	,109.1	,110.1	,112.0	,
牧业总产值指数 (上年=100) 	,	,101.4	,103.8	,104.0	,136.9	,92.5	,97.1	,102.5	,102.6	,99.0	,
渔业总产值指数 (上年=100) 	,	,104.9	,104.7	,105.6	,107.3	,101.2	,106.7	,99.8	,102.7	,107.8	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
