数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,8715.68	,8199.35	,8160.13	,7662.36	,7511.96	,6405.06	,5361.62	,5213.48	,5057.52	,
农业总产值 (亿元) 	,	,4441.92	,4141.54	,3973.21	,3532.87	,3364.77	,3052.06	,2664.30	,2597.63	,2485.49	,
林业总产值 (亿元) 	,	,554.92	,513.65	,477.44	,455.82	,428.00	,430.66	,387.15	,325.01	,321.60	,
牧业总产值 (亿元) 	,	,2301.73	,2232.06	,2466.86	,2542.51	,2721.63	,2003.09	,1464.59	,1505.78	,1549.59	,
渔业总产值 (亿元) 	,	,683.89	,635.03	,617.81	,570.82	,477.55	,441.82	,417.21	,393.06	,354.95	,
农林牧渔业总产值指数 (上年=100) 	,	,103.3	,103.7	,103.8	,110.4	,104.1	,103.2	,103.6	,104.0	,103.6	,
农业总产值指数 (上年=100) 	,	,103.4	,104.1	,103.1	,103.6	,104.1	,103.7	,103.2	,103.0	,103.9	,
林业总产值指数 (上年=100) 	,	,109.1	,108.3	,106.9	,109.5	,108.3	,109.5	,109.4	,109.1	,108.3	,
牧业总产值指数 (上年=100) 	,	,99.9	,100.6	,103.1	,120.6	,102.5	,98.1	,101.1	,103.0	,100.5	,
渔业总产值指数 (上年=100) 	,	,105.5	,105.9	,103.5	,104.3	,104.3	,106.9	,107.5	,106.4	,106.4	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
