数据库：分省年度数据 
时间：2016年-2025年 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农林牧渔业总产值 (亿元) 	,	,2930.85	,2927.69	,2680.74	,2439.54	,2103.61	,1887.58	,1659.36	,1559.64	,1443.12	,
农业总产值 (亿元) 	,	,1977.88	,2001.64	,1806.43	,1623.21	,1423.85	,1306.41	,1166.10	,1068.61	,985.73	,
林业总产值 (亿元) 	,	,36.92	,37.26	,36.43	,32.82	,31.73	,38.09	,33.07	,31.57	,30.83	,
牧业总产值 (亿元) 	,	,711.74	,700.13	,662.23	,619.85	,495.29	,395.57	,318.88	,308.97	,285.91	,
渔业总产值 (亿元) 	,	,1.85	,1.77	,1.75	,1.96	,1.97	,2.03	,1.97	,2.09	,2.22	,
农林牧渔业总产值指数 (上年=100) 	,	,106.7	,106.1	,105.9	,111.3	,105.2	,105.8	,103.7	,103.8	,104.2	,
农业总产值指数 (上年=100) 	,	,105.7	,105.0	,105.5	,106.4	,105.5	,106.6	,105.4	,105.4	,104.4	,
林业总产值指数 (上年=100) 	,	,99.1	,102.3	,109.4	,103.4	,83.3	,109.4	,104.8	,103.1	,107.6	,
牧业总产值指数 (上年=100) 	,	,109.5	,109.2	,107.0	,127.8	,107.8	,104.2	,102.4	,109.0	,102.5	,
渔业总产值指数 (上年=100) 	,	,104.7	,101.6	,89.1	,102.3	,105.6	,102.9	,96.1	,102.7	,101.1	,
注：1. 根据第三次全国农业普查结果，2007-2017年年度农林牧渔业总产值进行了修订。
2. 2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
3. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2017年起执行新国民经济行业分类标准。
4. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2018年起执行新国民经济行业分类标准。
5. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2019年起执行新国民经济行业分类标准。
6. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2020年起执行新国民经济行业分类标准。
7. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2021年起执行新国民经济行业分类标准。
8. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2022年起执行新国民经济行业分类标准。
9. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2023年起执行新国民经济行业分类标准。
10. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2024年起执行新国民经济行业分类标准。
11. 2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2025年起执行新国民经济行业分类标准。
数据来源：国家统计局
